Article	Table type	Table Image	"paragraphs just before the table (with title, if any)"	Table_Caption	Keywords_Phrases	Table_Footnote_KEY_Abbreviations	Measurements	Measurement Unit	Method	Plant Material	Targets	"Non-Plant Control Substances, Solvents, Media, Substrate"	Notes	Table Type	Col1	Col2	Col3	Col4	Col5	Col6
PMC5590066	antiBacterial_MIC_DD		"3.3. Antibacterial Activity of EO
Antibacterial effect of EO was evaluated in vitro against nine pathogenic bacteria species (Table 3). Gram-positive bacteria were more delicate to the EO than Gram-negative bacteria. B. cereus was the most susceptible bacteria to A. millefolium oil at the applied concentrations (5 and 10 µg/mL). The smallest inhibition zones were obtained in S. typhimurium and S. agona cultures while St. epidermidis, S. enteritidis, and E. coli were resistant against all concentrations of A. millefolium oil. MIC for B. cereus and St. aureus were 100 and 120 µg/mL, respectively; while the MIC for B. subtilis was 310 µg/mL. Among the Gram-negative tested bacteria, a remarkable antibacterial effect was observed only for S. typhimurium and S. agona with their respective MIC values 2000 and 1000 µg/mL. The effect of A. millefolium oil from Turkey [3] was also tested against St. aureus and B. cereus; it was found that the MIC was 72 mg/mL, which is remarkably higher than the MIC of A. millefolium oil measured in our study. As was shown, the composition of A. millefolium oils from various locations may be rather different. The properties and the content of individual constituents may have an important power on the antibacterial effect of oil against different bacteria species. For instance, sabinene, 1,8-cineole, and camphor, which were abundant in A. millefolium oil studied in this work, are well-known natural chemicals with antibacterial potentials [21]. The EO also studied in our work also contained 12% of germacrene-D and 7.3% of (E)-nerolidol, which were absent in the Turkish oil. The antibacterial activities of germacrene-D and (E)-nerolidol were previously reported as well [22].
"	Antibacterial activity of Achillea millefolium L. EO against bacterial pathogens.	[ACTIVITY(S)] activity of  [PLANT(S)] [EXTRACT(S)] against [TARGET(S)].	"± was an SD from at least three independent trials;   a Diameter of inhibition area (mm);   b Each well contained 10 µL of ethanolic solution of essential oil (10 and 5 µg/mL);   c Ceftazidime/Clavulanic Acid (30/10 µg/disc) was a positive control;   d MIC: minimum inhibitory concentration (values in µg/mL);   e na: no activity."	"Inhibition Zone Diameter (mm)  EO: 10 µg/mL  | 5 µg/mL Antibiotic: (30/10) µg MIC: µg/mL  ± was an Standard Deviation SD from at least three independent trials;   a Diameter of inhibition area (mm);   b Each well contained 10 µL of ethanolic solution of essential oil (10 and 5 µg/mL);   c Ceftazidime/Clavulanic Acid (30/10 µg/disc) was a positive control;   d MIC: minimum inhibitory concentration (values in µg/mL);   e na: no activity."						THIS IS A COMPLEX TABLE		Microorganism	Gram +/−	"Inhibition Zone Diameter (mm) a  Essential Oil b          Antibiotic c
"			"Essential Oil  MIC d"
PMC5590066			"3.4. Antifungal Activity of EO
EO of A. millefolium showed remarkable antifungal activity against all plant fungi tested (Table 4) at 5 µL (1000 ppm/disc). It exhibited an inhibitory result on the development of R. stolonifer (65.7%) V. dahliae (56.3%), C. gloeosporioides (60.9%), Botrytis cinerea (50.8%), and Aspergillus niger (40.7%). The inhibitory effects might be related to the presence of mono- (55.7%) and sesquiterpenes (36.5%) in the EO [23]."	Antifungal activity of Achillea millefolium L. EO (5 µL corresponding to 1000 ppm/disc).	[ACTIVITY(S)] activity of  [PLANT(S)] [EXTRACT(S)] (5 µL corresponding to 1000 ppm/disc).	± was an SD from at least three independent trials; a expressed in mm from radial evolution; % of radial growth inhibition.									Fungal Strain	mm	%			
"PMC5590066
"	AntibacterialMIC		"The MICs defined as the deepest concentrations of the EO that allows for full progress inhibition of R. stolonifer, V. dahliae, C. gloeosporioides, B. cinerea, and A. niger were 1.6, 3.1, 3.4, 3.6, and 4.7 mg/mL, respectively (Table 5). R. stolonifer was discovered to be the greatest sensitive fungal pathogens towards the A. millefolium EO."	Minimum inhibitory concentration (MIC) of A. millefolium L. EO.	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] 										Fungal Strain	MIC a				
PMC5590067	AntiFungal_ZOI		"3.3. Antimicrobial Activity
Regarding antimicrobial activity, initially, disk diffusion assays were conducted with the yeasts and bacterial strains listed in Table 1 in order to screen for antimicrobial activity. No bacterial strains were sensitive to essential oil from Z. monogynum, but the crude oil was sensitive to yeast, especially Cryptococcus sp. (Supplementary Table S1). Since no biological activity was detected for bacterial strain in this qualitative assay, no further experiments were conducted with these microorganisms. However, the MIC test applied to the yeast species listed in Table 1 confirmed that all yeast strains were sensitive to essential oil at concentrations ranging from 0.75 (S. cerevisae) to 6.0 mg/mL (Candida sp.) with 90% growth inhibition (Table 4)."	Minimum inhibitory concentrations (MICs) for Z. monogynum essential oil and positive control (fluconazole) both expressed in mg/mL. Numbers in parenthesis represent the average percentage inhibition for each MIC followed by the standard deviation.	[MEASUREMENT(S)] for [PLANT(S)] [EXTRACT(S)] and positive control [CONTROL(S)] both expressed in [UNIT(S)]. 		Minimum inhibitory concentrations (MICs)	"mg/mL
Numbers in parenthesis represent the average percentage inhibition for each MIC followed by the standard deviation"				fluconazole			Species	OEZM (mg/mL)	Fluconazol (mg/mL)			
PMC5590070	Mixed with Antimicrobial		"We evaluated the biological properties of T. vulgare essential oil, including anti-inflammatory, antioxidant, antibiotic, and cytotoxic effects, in vitro using cellular models. Our results for anti-inflammatory activity (Table 2), showed that the T. vulgare essential oil inhibited NO production (induced by LPS) with an IC50 of 72 µg·mL−1. Evaluation of the anti-inflammatory properties of the main compounds present in the oil showed that the most active compound was α-humulene with an IC50 of 15 µg·mL−1 (Table 2). Fernandes et al. [27] reported that α-humulene reduced rat paw edema that had been induced by carrageenan. It also inhibited COX-2 and iNOS expression. Moreover, the authors concluded that α-humulene might represent an important compound for the management and/or treatment of inflammatory diseases [27]. Other compounds, including α-terpinene, α-pinene, and β-pinene were also effective with an IC50 ranging from 30 to 46 µg·mL−1 while caryophyllene oxide also inhibited NO production induced by LPS with an IC50 of 183 µg·mL−1. In a previous study, α-pinene was shown to inhibit NF-κB and JNK activation as well as the expression of iNOS [28]. The anti-inflammatory properties of β-pinene and α-terpinene have also been reported [29,30] as has caryophyllene oxide in vivo on mice models [31]."	"Anti-inflammation, antioxidant, antibacterial, and cytotoxic activities of T. vulgare essential oil and its main constituents"	[ACTIVITY(S)] activities of [PLANT(S)] [EXTRACT(S)] and its main constituents	"nd: not determined; L-NAME (1 mM), used as an anti-inflammatory positive control, produced an inhibition of NO production of 64.1%; Quercetin, used as an antioxidant positive control, had an IC50 of 0.043 ± 0.002 µg·mL−1; Gentamycin and chloramphenicol were used as antibiotic positive controls. Gentamycin had an MIC90 of 0.9 ± 0.2 µg·mL−1 for E. coli and 0.0050 ± 0.00005 µg·mL−1 for S. aureus. Chloramphenicol had an MIC90 of 0.9 ± 0.1 µg·mL−1 for E. coli and 0.73 ± 0.03 µg·mL−1 for S. aureus; Etoposide, used as a cytotoxic positive control, had an IC50 of 2.3 ± 0.2 µM, 2.8 ± 0.4 µM and 19 ± 3 µM for A-549, DLD-1, and WS1, respectively; All the experiments were carried out in triplicate and presented results are representative of at least three different experiments."	Antibacterial IC50 	(µg·mL−1)	"We tested the antibacterial activities of T. vulgare essential oil and compounds against gram-negative Escherichia coli (ATCC bacteria 25922) and gram-positive Staphylococcus aureus (ATCC bacteria 25923) using the antibacterial hydrophobic assay as described by Côté et al. [25]. This new method was developed and used in this work as classical methods including disc diffusion and microdilution assays are sometimes inefficient for testing a matrix or compounds of a hydrophobic nature. Briefly, after microorganisms passed 16–18 h at 37 °C in a nutrient broth base (Difco), we transferred 20 µL methanol containing growing concentrations of essential oil and compounds (3.1 to 200 µg·mL−1) onto nutrient agar of 96-well plates. We then added bacterial strains having a concentration of 5 × 103 colony forming units (CFU) per mL of nutrient broth. Bacterial suspension without treatment was used as negative control and bacterial suspension plus solvent was tested in parallel to demonstrate the absence of solvent toxicity. The blank consisted of culture medium only and was subtracted from all subsequent measurements of every other well. The 96-well plates were then incubated at 37 °C for 5 h to foster bacterial growth. We then added 100 µL of resazurin sodium salt solution having a concentration of 50 µg·mL−1 (Sigma R-2127, St-Louis, MO, USA) to each well. Fluorescence was read on an automated Fluoroskan Ascent FLTM plate reader (Labsystems, Milford, MA, USA) after two hours for S. aureus and three hours for E. coli. The IC50 was determined as the lowest concentration resulting in 50% inhibition of bacterial growth."	T. vulgare essential oil and its main constituents		"Gentamycin and chloramphenicol were used as antibiotic positive controls. 

Gentamycin had an MIC90 of 0.9 ± 0.2 µg·mL−1 for E. coli and 0.0050 ± 0.00005 µg·mL−1 for S. aureus. Chloramphenicol had an MIC90 of 0.9 ± 0.1 µg·mL−1 for E. coli and 0.73 ± 0.03 µg·mL−1 for S. aureus;"			Compounds	Anti-Inflammation IC50 (µg·mL−1)	Antioxidant IC50 (µg·mL−1)	"Antibacterial IC50 (µg·mL−1)

E. coli
S. aureus"	Cytotoxicity IC50 (µg·mL−1)	
PMC5592951			"Proposed EOROT
The suggested EOs presented in Table 1 are commonly characterized by their antibacterial effects, especially for certain types of bacteria listed in Table 2. The influence of the EO on inhibiting the bacteria activity can be measured by several methods such as the minimum bactericidal concentration (MBC) and minimum inhibitory concentration (MIC).8 The selected 24 EOs were tested on 17 types of bacteria, and the activities of the EOs against these bacteria were studied via the presence or the absence of inhibition zones according to MIC measure, as displayed in Table 2.8–26 The MIC can be defined as the lowest concentration of the EO at which the bacteria do not show visible growth after overnight incubation.8"	EOs and their MIC percentage rate on the selected bacteria	[EXTRACT(S)] and their [MEASUREMENT(S)] percentage rate on the selected [TARGET(S)]	"Abbreviations: EO, essential oil; MIC, minimum inhibitory concentration."									No.	EO/MIC	Bacteria			
PMC5597067	antiMicrobialMIC		"3.2. Antimicrobial Activity of Fingered Citron Oils
The MICs of three fingered citron oils against Gram-positive bacteria, Gram-negative bacteria, and fungi, are reported in Table 2. In particular, the ultrafiltration oil showed notable in vitro antimicrobial activity against Staphylococcus aureus (MIC = 156 μg/mL), Bacillus cereus (MIC = 156 μg/mL), Pseudomonas aeruginosa (MIC = 39 μg/mL), and Aspergillus niger (MIC = 20 μg/mL).The vacuum distillation oil was only marginally active against Staphylococcus aureus (MIC = 625 μg/mL), Bacillus cereus (MIC = 313 μg/mL), and Pseudomonas aeruginosa (MIC = 625 μg/mL), but was also strongly active against Aspergillus niger (MIC = 156 μg/mL)."	Antimicrobial activity of fingered citron peel oils.	[ACTIVITY(S)] activity of fingered citron peel oils	a G+ is short for Gram-positive; b G− is short for Gram-negative.	"Antimicrobial Activity (MIC, μg/mL)"	μg/mL							Sample	"Antimicrobial Activity (MIC, μg/mL)"				
PMC5602841	antiBacterial_DD		"All strains (n = 35) of S. aureus were sensitive to PAEO and carvacrol with inhibition zones ranging from 16 to 38 mm and 23 to 42 mm, respectively (Table 3). The standard strain of S. aureus ATCC 6538 showed a inhibitory halo of 34 and 47, respectively, for PAEO and carvacrol."	"Distribution of the Staphylococcus aureus strains according to inhibition zone size against the essential oil Plectranhus amboinicus, carvacrol and tetracycline"	"Distribution of the [TARGET(S)] strains according to [METHOD(S)] against the [EXTRACT(S)] [PLANT(S)], [CONTROL(S)]"	PAEO Plectranthus amboinicus essential oil. TCY tetracycline 30 μg. n number of bacterial strains. mm millimeters	"inhibition zone size Inhibition halos interval"	(mm)				"carvacrol  tetracycline"	Plectranthus is misspelled		"Sample
[Vacuum distillation oil,
Ultrafiltration oil,
Hydrodistillation oil]"	"Antimicrobial Activity (MIC, μg/mL)"				
PMC5613177	Antibacterial_MIC_MBC		"Antibacterial activities of essential oils
The antibacterial activities of 2016 season essential oils treatments were compared as shown in Table 
Table6.
6. There were increases in the antibacterial activities with increasing either salinity or SA treatment concentration. Essential oils MIC were in the range of 0.0001–0.011 mg mL−1, whereas the MBC were in the range of 0.0004–0.030 mg mL−1. The highest antibacterial activities were found against S. aureus compared to other bacteria. The essential oil of plants treated with 4,000 ppm NaCl and 300 ppm SA showed the highest antibacterial activity ranges with MIC and MBC of 0.0010–0.0001 and 0.0021–0.0004 mg mL−1, respectively. The antibacterial activities of rosemary essential oils were much higher than antibiotics."	Antibacterial activities (mg mL−1) of rosemary leaves essential oils in 2016 season following salinity (ppm) and salicylic acid (ppm) treatments.	[ACTIVITY(S)] activities [UNIT(S)] of [PLANT(S)] [PART(S)] [EXTRACT(S)] in [YEAR/SEASON] following salinity (ppm) and salicylic acid (ppm) treatments.		"MIC
MBC"	ppm				salinity (ppm) and salicylic acid (ppm) treatments			Salinity (ppm)	Salicylic acid (ppm)	"MIC
MBC"			
PMC5625792			"Antibacterial activity
The antibacterial activity of the ROEO was evaluated by the micro-dilution method against two Gram positive bacterial strains, Staphylococcus aureus and Staphylococcus epidermidis which represent species that are commonly found in multi-resistant infections. ROEO produced inhibitory and bactericidal effects against the tested strains. Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) values are summarized in Table 3. ROEO exhibited important antibacterial effect against the two bacteria. It inhibited Staphylococcus aureus ATCC 9144 and Staphylococcus epidermidis S61 with MIC values in the range of [1.25–2.5] and [0.312–0.625] μl ml−1, respectively, whereas bactericidal activities against Staphylococcus aureus and Staphylococcus epidermidis reached higher concentrations values in the order of 5 and 2.5 μl ml−1, respectively."	Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of ROEO against Staphylococcus strains	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] against [TARGET(S)] strains		"MIC (μl ml−1)
MBC (μl ml−1)"	μl ml−1							Strains	MIC (μl ml−1)				
PMC5653886			"Antibacterial activity. The results of in vitro antibacterial activity of M. officinalis and D. moldavica EOs against tested food borne bacteria strains were assessed by agar disk diffusion and broth micro-well dilution assays, (Table 3). The examined gram negative bacteria (E. coli and S. typhimurium) were more resistant to the antibacterial activity of the EOs than gram positive bacteria (S. aureus and L. monocytogenes). Among the tested bacterial strains by disc diffusion assay, E. coli and S. aureus showed the lowest and the highest sensitivity to the tested concentrations of the EOs, respectively."	Antibacterial activity of M. officinalis and D. moldavica Eos determined by agar disk diffusion assay and micro-well dilution assay	[ACTIVITY(S)] activity of [PLANT(S)] [EXTRACT(S)] determined by [METHOD(S)]	MEO: M. officinalis Essential oil; DEO: D. moldavica Essential oil; NG: No growth.	"MIC (mg mL-1)
MBC (mg mL-1)
Diameter of inhibition zone (mm)"					"Vancomycin
Ampicillin"			Bacteria	MIC (mg mL-1)	MBC (mg mL-1)	Diameter of inhibition zone (mm)		
PMC5694611			"3.2. Antimicrobial Activity
The essential oil of R. chalepensis from Jerusalem, Hebron, and Jenin regions of Palestine extracted by microwave-ultrasonic method exhibited interesting potential bioactivity against the growth of all microbes examined in this study. However, the highest antibacterial activity (lowest MIC) against bacterial pathogen examined was for R. chalepensis essential oil from Jerusalem and was seen against E. coli, P. aeruginosa, S. aureus, and MRSA with MIC values of 0.75 mg/ml, 7 mg/ml, 2.5 mg/ml, and 4 mg/ml, respectively, in comparison with gentamycin which has MIC values of 0.5 mg/ml, 2 mg/ml, 0.5 mg/ml, and 1.5 mg/ml, respectively. On the other hand, the best antifungal activity against C. albicans was for R. chalepensis essential oil from Jenin region which showed MIC value close to 2.75 mg/ml in comparison with amphotericin B which had MIC value around 2 mg/ml. The antifungal and antibacterial activity for the three essential oils are shown in Table 3."	Antimicrobial activities for R. chalepensis three studied essential oils.	[ACTIVITY(S)] activities for [PLANT(S)] three studied [EXTRACT(S)]							"Gentamycin (antibacterial reference)
Amphotericin B (antifungal reference)"			Studied samples	[strains]				
PMC5747963			"The MIC values measured against Staphylococcus aureus and Streptococcus pyogenes for NLC o/e and for eucalyptus EO, at the same EO concentration, are reported in Table 2."	MIC values against Staphylococcus aureus and Streptococcus pyogenes for eucalyptus essential oil and NLC o/e	[MEASUREMENT(S)] values against [TARGET(S)] for [PLANT(S)] and [CONTROL(S)]	"Abbreviations: ATCC, American Type Culture Collection; MIC, minimum inhibitory concentration; NLC, nanostructured lipid carriers; e, eucalyptus oil; o, olive oil."	MIC (mg/mL)	mg/mL							Strain	MIC (mg/mL)				
PMC5778779			"Seventeen compounds were identified in the EO of C. citriodora leaves (Table 2). The major constituents were α-citronellal (56.0%), α-citronellol (14.7%), citronellol acetate (12.3%), isopulegol (7.6%), eucalyptol (2.0%), citronellic acid (1.4%), caryophyllene oxide (1.2%), and (+)-rose oxide (1.2%).
Antibacterial activity
The MIC values of EO from C. citriodora leaves ranged from 0.06 mg/mL against E. coli to 0.20 mg/mL against S. aureus, and those values were lower than the MIC values of streptomycin (Table 2). Additionally, activity of this oil was comparable or even higher than reference antibiotic in case of Agrobacterium tumefaciens or B. cereus. EO from C. macrocarpa branchlets showed less activity against bacterial strains. The MIC values ranged from 0.07 mg/mL against E. coli to 0.31 mg/mL against S. aureus. The MBC values of EO from C. citriodora ranged from 0.12 mg/mL against E. coli to 0.41 mg/mL against S. aureus, whereas, the values were between 0.15 mg/mL (E. coli) and 0.63 mg/mL (S. aureus) using EO from C. macrocarpa branchlets. The EO of C. citriodora and C. macrocarpa showed noticeable activity against phytopathogenic bacteria including Pectobacterium atrosepticum, P. carotovorum, and Dickeya solani, which causes many diseases in potato production, such as the blackleg in the field and soft rot during storage. Furthermore, all MIC values reported against the potato pathogenic bacteria were lower than those reported for the negative control, streptomycin."	Minimum inhibitory (MIC) and bactericidal concentration (MBC) of the essential oil (mg/mL) of Corymbia citriodora leaves Hook and C. macrocarpa branchlets	[MEASUREMENT(S)] of the [EXTRACT(S)] [UNIT(S)] of [PLANT(S)] [PART(S)]	Means with the same letters within the same column are not significantly different (p < 0.05)	"MIC
MBC"	mg/mL				Streptomycin			Bacterial strains	MIC	MBC			
PMC5778779			"Antifungal activity
The antifungal activities of the EOs against several fungi are shown in Table 3. The MIC values of the EO from C. citriodora ranged from 0.11 mg/mL (A. niger) to 0.52 mg/mL (P. funiculosum), while the MFC values ranged from 0.25 mg/mL (A. niger) to 0.95 mg/mL (P. funiculosum). The MIC values of the EO from C. macrocarpa ranging from 0.29 mg/mL (P. ochrochloron) to 3.21 mg/mL (C. albicans), and the MFC values ranged from 0.53 mg/mL (P. ochrochloron) to > 5 mg/mL (C. albicans). It was noted that the MIC and MFC values of EOs against P. funiculosum were lower than those obtained from KTZ. In addition, the EO from C. citriodora leaves showed more potency than the EO of C. macrocarpa needles against the tested fungi."	Minimum inhibitory concentration (MIC) and fungicidal concentration (MFC) of different leaf extracts (mg/mL) of Corymbia citriodora and Cupressus macrocarpa	[MEASUREMENT(S)] of different [PART(S)] extracts [EXTRACT(S)] [UNIT(S)] of [PLANT(S)]	"N.D. Not detected
KTZ Ketoconazole
Means with the same letters within the same column are not significantly different (p < 0.05)"	"MIC
MFC"	mg/mL				KTZ Ketoconazole			Fungal strains	MIC	MFC			
PMC5788217	antiBacterial_MIC		"Antibacterial properties of ZEO and SNP
The inhibitory effects of ZEO and SNP alone and in combination against Staph. aureus and Salm. Typhimurium were investigated using microtiter plate assay. For Staph. aureus, the MIC values of ZEO and SNP were 1250 and 25 μg/mL and for Salm. Typhimurium the values were 2500 and 25 μg/mL, respectively. In all cases, MBC values were similar to MICs. The ZEO was found to be more effective on gram-positive than gram-negative bacteria whereas SNP displayed similar antibacterial activity on both bacteria. The MICs for SNP - ZEO combination were 0.78 and 12.5 μg/ mL against Staph. aureus and Salm. Typhimurium, respectively. ZEO-SNP combination inhibited S. aureus and Salm. Typhimurium at 625 μg/ mL. Based on the FICI scale (Table 2), the combination displayed a synergistic action on Staph. aureus (FICI=0.81) and Salm. Typhimurium (FICI= 0.75)."	Survival population (log CFU/ mL) of Staph. aureus and Salm. Typhimurium treated with ZEO and SNP alone and in combination during 15 min contact time at room temperature.	Survival population (log CFU/ mL) of [TARGET(S)] treated with ZEO and SNP alone and in combination during 15 min contact time at room temperature.	"*Initial bacterial counts: 106 CFU mL-1. Different letters for each column of indicate a statistically significant difference (P < 0.05).  Zataria multiflora essential oil (ZEO) and silver nanoparticle (SNP) "	"Minimum Inhibitory Concentration (MIC)  Survival population   Optimal Inhibitory Combination (OIC)  the combination displayed a synergistic action on Staph. aureus (FICI=0.81) and Salm. Typhimurium (FICI= 0.75). "	"(log CFU/ mL)  μg/ mL"	"microtiter plate assay  determined according to fractional inhibitory concentration (FIC) method.   Biofilm removal potential and leakage pattern of 260-nm absorbing material from the bacterial cell during exposure to the compounds were also investigated.
"	Zataria multiflora essential oil (ZEO)		"Colloid Nanosilver
and silver nanoparticle (SNP) "	"the combination displayed a synergistic action on Staph. aureus (FICI=0.81) and Salm. Typhimurium (FICI= 0.75).  EO names were abbreviated to their first letter followed by “EO”"		Microorganism*	"Alone at MIC concentration (ZEO, SNP)  (ZEO
SNP
)"	"Alone at MIC concentration  (OIC
1/2OIC
1/4OIC
)"			
PMC5795983	"antifungalMIC, MFC"	 	"2.4. Antifungal Activity
As shown in Table 3, antifungal activity was not observed against Candida spp., Cryptococcus neoformans and Microsporum canis. A weak action against Trichophyton mentagrophytes was found, and Paracoccidioides brasiliensis demonstrated a moderate degree of sensitivity to the essential oil based on the minimal inhibitory concentration (MIC) classification adopted by Holetz et al. (2002) [44]."	Minimal inhibitory concentration (μg·mL−1) for tested fungi.	[MEASUREMENT(S)] [UNIT(S)] for tested fungi.	Six replicates; amphotericin B: positive control. Different letters in a column represent significant differences in the minimum inhibitory concentration between microorganism for the same treatment; * differences when minimal inhibitory concentration value is compared to positive control; p < 0.05.	Minimal inhibitory concentration (μg·mL−1) 	(μg·mL−1)							Fungi Strains	Fungi				
PMC5795983	AntiBacterial_MIC		"2.5. Antibacterial Activity
Antibacterial activity of the essential oil from leaves of B. salicifolius was determined against some microorganisms of clinical importance, as shown in Table 4."	Minimal inhibitory concentration 90% (μg·mL−1) for tested bacteria.	[MEASUREMENT(S)] 90% [UNIT(S)] for tested [TARGET(S)].	n = 7:1 ATCC and 6 clinical isolates; MRSA: methicillin-resistant Staphylococcus aureus; MSSA: methicillin-sensitive Staphylococcus aureus. Polymyxin B and cephalothin: positive controls. Different letters in a column represent significant differences in the minimum inhibitory concentration between microorganism for the same treatment; * differences when MIC value is compared to its respective positive control; p < 0.05.									Gram Staining Reaction					
PMC5806308	AntiMicrobial_MIC		"Minimal inhibitory concentration
The results of the MIC test (Table 1) suggested that the fungi Candida albicans was the most susceptible microorganism to the ethanolic and aqueous extracts. The essential oil exerted the least antimicrobial effect which was indicated through displaying the highest value of MIC in all tested microorganisms. The ethanolic and aqueous extracts showed the same antimicrobial effect against Staphylococcus aureus, Bacillus subtilis, and Pseudomonas aeruginosa, microorganisms with different Gram, and therefore different cell wall chemistry. The positive controls, amikacin, and nystatin showed an antimicrobial effect at 4 mg/L and 2 mg/L respectively, because the wells of the plate, where the antibiotics were deposited with the different microorganisms, did not present a color change when the solution of iodonitrotetrazolium chloride was added during the MIC assay."	Antimicrobial activity of essential oil and extracts of Ocimum micranthum Willd leaves	[ACTIVITY(S)] activity of [EXTRACT(S)] and extracts of [PLANT(S)] Willd [PART(S)]					"Willd leaves

(also... Wild is spelled wrong, so we may need to spell check before extracting.)"			"EXTRAC TYPES INCLUDE:
Ethanolic
Aqueous
Essential oil

(also... Wild is spelled wrong, so we may need to spell check before extracting.)"		Plant	Extract	"Minimal Inhibitory Concentration (μL/mL)
"			
PMC5830750	antiBacterial_MIC_DD		"The antimicrobial activities of flower, leaf and root oils of E. ilicifolius were assayed against six Gram-positive and Gram-negative bacteria and results are showed in table 2. The flower, root and leaf oils have significant activity against all Gram-positive and Gram-negative bacteria. Staphylococcus aureus and S. epidermidis were the more susceptible to flower oil than other bacteria. Leaf oil showed a stronger antibacterial effect on S. aureus, E. faecalis, P. mirabilis, E. coli and P. aeruginosa, and a moderate activity against S. epidermidis, while the antibacterial effect was higher against E. faecalis and P. mirabilis than S. epidermidis, P. mirabilis, E. coli and P. aeruginosa in root oil. The present study shows that there is positive correlation between the chemical content of the oil and their antibacterial activities."	"Antibacterial activity of flower, leaf and root oils of Echinops ilicifolius. IZ: inhibition zone (mm); MIC: minimum inhibitory concentration (µg ml−1); values were expressed as mean ± s.d. (n = 3), values in the same line with different superscripts (a–e) are differences as significant at p < 0.05 by the Duncan test using SPSS."	[ACTIVITY(S)] activity of [PART(S)] [EXTRACT(S)] of [PLANT(S)].		"MIC (µg ml−1)
IZ 50 µl"	"IZ: inhibition zone (mm); MIC: minimum inhibitory concentration (µg ml−1); values were expressed as mean ± s.d. (n = 3), values in the same line with different superscripts (a–e) are differences as significant at p < 0.05 by the Duncan test using SPSS."		"Flower Oil
Leaf Oil
Root Oil"	bacteria	ofloxacin			bacteria	Gram +/-	MIC (µg ml−1)	IZ 50 µl	IZ 100 µl	
PMC5846372	Antimicrobial		"3.4. Antimicrobial Bioassay
According to in vitro antimicrobial tests (Table 4) against two Gram-positive bacteria (S. aureus and S. epidermidis) and four Gram-negative ones (E. coli, E. cloacae, K. pneumoniae, and P. aeruginosa), as well as against oral pathogens (S. mutans and S. viridans) and three human pathogenic fungi (Candida albicans, C. tropicalis, and C. glabrata), the herbal teas exhibited a broad spectrum of strong antimicrobial activity, while KN3 herbal tea appeared to be the most active against all tested microorganisms, which can be explained by the high percentage of cinnamic aldehyde and β-caryophyllene that appears in herbal tea of KN3 as shown in Table 1."	Antimicrobial activity of herbal teas and methanol extracts.	Antimicrobial activity of herbal teas and methanol extracts.					herbal teas and methanol extracts					[plant] Samples	Organisms				
PMC5848570										"Chemical composition and antibacterial activity of oils from Chrysicthys nigrodigitatus and Hepsetus odoe, two freshwater fishes from Yabassi, Cameroon"			This paper is not about Plants or EOs							
PMC5849899	antiBacterial_MIC		"3.2. Inhibitory potential of EOs in PDB culture medium
Table 3 shows the inhibitory effects of EOs against A. flavus growth and aflatoxin B1 production by A. flavus in the PDB medium. As we expected, according to the obtained data, clove EO showed higher inhibitory effect than thyme EO. In this regard, clove EO showed inhibitory effect of 100% against A. flavus growth at concentration of 300 ppm, but for thyme EO the strongest inhibition effect (75%) was seen at concentration of 400 ppm. In a similar study, Razeghi‐Abyaneh et al. investigated and confirmed the antimicrobial effects of thymol and carvacrol in PDB medium against A. flavus growth."	Effect of clove EO and thyme EO on Aspergillus flavus growth in PDB medium culture	Effect of [PLANT(S)] [EXTRACT(S)] on [TARGET(S)] growth in [SUBSTRATE] PDB medium culture	"In each column different superscript letters indicate significant differences (p < .05).
EO, essential oil; PDB, potato dextrose broth."	"Hyphae weight (mg) concentration of [x] ppm inhibition effect ([x]%) Inhibition (%) "				"hypha Hyphae A hypha is a long, branching filamentous structure of a fungus, oomycete, or actinobacterium. In most fungi, hyphae are the main mode of vegetative growth"	"PDB, potato dextrose broth."		Titration	EO concentration (ppm)	Hyphae weight (mg)	Inhibition (%)			
