PMCID	activity	activity_method	activity_result	table_no	table_title	notes
PMC5592951	antifungal
PMC5324201	antifungal
PMC5661929	antifungal
PMC5970210	antifungal
PMC5925846	antifungal
PMC5330108	antifungal
PMC5750605	antifungal
PMC5551175	antifungal
PMC5958191	antifungal
PMC5884000	antifungal
PMC5603114	antifungal
PMC5669080	antifungal
PMC5933010	antifungal
PMC5590066	antifungal
PMC5543433	antifungal
PMC5958151	antifungal
PMC5746745	antifungal
PMC6015887	antifungal
PMC5485486	antifungal
PMC5867556	antifungal
PMC6006875	antifungal
PMC5590063	antifungal
PMC5674267	antifungal
PMC5789270	antifungal
PMC5307902	antifungal
PMC5858069	antifungal
PMC5717781	antifungal
PMC5694587	antifungal
PMC5897738	antifungal
PMC5622390	antifungal
PMC5694611	antifungal
PMC5282690	antifungal
PMC5795983	antifungal
PMC5885327	antifungal
PMC5651092	antifungal
PMC5747963	antifungal
PMC5750594	antifungal
PMC5788217	antifungal
PMC5668225	antifungal
PMC5590067	antifungal
PMC5778779	antifungal
PMC5937106	antifungal
PMC5871294	antifungal
PMC5960548	antifungal
PMC5344628	antifungal
PMC5735349	antifungal
PMC5622403	antifungal
PMC5997812	antifungal
PMC5653886	antifungal
PMC5807769	antifungal
PMC5878871	antifungal
PMC5660901	antifungal
PMC5597067	antifungal
PMC5427463	antifungal
PMC5622382	antifungal
PMC5622398	antifungal
PMC5527698	antifungal
PMC5750594	anti-genotoxic
PMC5964621	antigenotoxic
PMC5905578	genotoxic
PMC5603114	genotoxic
PMC5997812	genotoxic
PMC5674267	genotoxic
PMC5964621	genotoxic
PMC5615285	genotoxic
PMC5933692	genotoxic
PMC5750605	genotoxic
PMC5923693	genotoxic
PMC5750594	genotoxic
PMC5674267	radioprotective
PMC5964621	radioprotective
PMC5750605	antidiabetic
PMC5958191	antidiabetic
PMC5954905	antidiabetic
PMC5427463	antidiabetic
PMC5282690	antidiabetic
PMC5622398	antidiabetic
PMC5668225	antidiabetic
PMC5569441	antidiabetic
PMC5393100	antidiabetic
PMC5938542	antidiabetic
PMC6011056	antidiabetic
PMC5964621	antidiabetic
PMC5535876	antidiabetic
PMC5661929	antidiabetic
PMC5947909	antidiabetic
PMC5822514	antidiabetic
PMC5838999	antidiabetic
PMC5590070	antidiabetic
PMC5905578	antidiabetic
PMC5669111	antidiabetic
PMC5751248	antidiabetic
PMC5674267	antidiabetic
PMC5546729	antidiabetic
PMC5750605	anti-diabetic
PMC5569441	anti-diabetic
PMC5921405	anti-diabetic
PMC5958191	anti-diabetic
PMC5615139	anti-diabetic
PMC5963643	anti-diabetic
PMC5964621	antiarthritic
PMC5964621	antifertility
PMC5964621	anticataract
PMC5423258	antihemorrhagic
PMC5603114	antihypertensive
PMC5590070	antihypertensive
PMC5964621	antihypertensive
PMC5535876	antihypertensive
PMC5282690	antihypertensive
PMC5958191	antihypertensive
PMC6011244	anti-hyperglycemic
PMC5859817	antihyperglycemic
PMC5535876	antihyperglycemic
PMC5958191	antihyperglycemic
PMC5674267	antihyperglycemic
PMC5747963	antihyperglycemic
PMC5884000	anti-histaminic
PMC5878871	antihistaminic
PMC5964621	antihistaminic
PMC5884000	antihistaminic
PMC5859817	anti-infective
PMC5958191	anti-infective
PMC5957362	anti-infective
PMC5905578	anti-infective
PMC5905578	anti-inflammatory
PMC5830750	anti-inflammatory
PMC5964621	anti-inflammatory
PMC5423258	anti-inflammatory
PMC5933692	anti-inflammatory
PMC5568258	anti-inflammatory
PMC5203915	anti-inflammatory
PMC5993771	anti-inflammatory
PMC5954905	anti-inflammatory
PMC5806308	anti-inflammatory
PMC5569441	anti-inflammatory
PMC5535876	anti-inflammatory
PMC5080681	anti-inflammatory
PMC5507808	anti-inflammatory
PMC5615139	anti-inflammatory
PMC5751248	anti-inflammatory
PMC5877547	anti-inflammatory
PMC5745743	anti-inflammatory
PMC5977410	anti-inflammatory
PMC5330108	anti-inflammatory
PMC5603114	anti-inflammatory
PMC5958191	anti-inflammatory
PMC5884000	anti-inflammatory
PMC5669080	anti-inflammatory
PMC5896384	anti-inflammatory
PMC5946457	anti-inflammatory
PMC5859817	anti-inflammatory
PMC5625792	anti-inflammatory
PMC5902937	anti-inflammatory
PMC5669111	anti-inflammatory
PMC5811758	anti-inflammatory
PMC5674267	anti-inflammatory
PMC5974043	anti-inflammatory
PMC5945564	anti-inflammatory
PMC5426739	anti-inflammatory
PMC5938542	antiinflammatory
PMC5694587	antiinflammatory
PMC5307902	antiinflammatory
PMC5897738	antiinflammatory
PMC5813356	antiinflammatory
PMC5923693	antiinflammatory
PMC5885327	antiinflammatory
PMC5937097	antiinflammatory
PMC5668225	antiinflammatory
PMC5788217	antiinflammatory
PMC5778779	antiinflammatory
PMC5794096	antiinflammatory
PMC5871294	antiinflammatory
PMC5735349	antiinflammatory
PMC5761127	antiinflammatory
PMC5590070	antiinflammatory
PMC5878871	antiinflammatory
PMC5577677	antiinflammatory
PMC5132230	antiinflammatory
PMC5524814	antiinflammatory
PMC5838999	antiinflammatory
PMC5615139	antiinflammatory
PMC5535876	antiinflammatory
PMC5797122	skin irritant
PMC5813356	anti-leishmanial
PMC5874608	anti-leishmanial
PMC5794096	anti-leishmanial
PMC5813356	antileishmanial
PMC5964621	antileishmanial
PMC5874608	antileishmanial
PMC5723952	antileukemic
PMC5620597	anti-malarial
PMC5937106	antimalarial
PMC5660901	antimalarial
PMC5964621	antimalarial
PMC5957362	antimalarial
PMC5546729	antimalarial
PMC5933692	antimalarial
PMC5641611	antimalarial
PMC5551175	antimalarial
PMC5874608	anti-microbial
PMC5590067	anti-microbial
PMC5958191	anti-microbial
PMC5569441	anti-microbial
PMC5745743	anti-microbial
PMC5412227	anti-microbial
PMC5615285	anti-microbial
PMC6011056	antimicrobial
PMC5485486	antimicrobial
PMC5448358	antimicrobial
PMC5723952	antimicrobial
PMC5694587	antimicrobial
PMC5507808	antimicrobial
PMC5747963	antimicrobial
PMC5324201	antimicrobial
PMC5590067	antimicrobial
PMC5937106	antimicrobial
PMC5871294	antimicrobial
PMC5884000	antimicrobial
PMC5592951	antimicrobial
PMC5778779	antimicrobial
PMC5920421	antimicrobial
PMC5958151	antimicrobial
PMC5411863	antimicrobial
PMC5745743	antimicrobial
PMC5203915	antimicrobial
PMC5859817	antimicrobial
PMC5905578	antimicrobial
PMC5871051	antimicrobial
PMC5849899	antimicrobial
PMC5838999	antimicrobial
PMC5876267	antimicrobial
PMC5615285	antimicrobial
PMC5846372	antimicrobial
PMC5974043	antimicrobial
PMC5590062	antimicrobial
PMC5669080	antimicrobial
PMC5921405	antimicrobial
PMC5622401	antimicrobial
PMC5590066	antimicrobial
PMC5543433	antimicrobial
PMC5603114	antimicrobial
PMC5848570	antimicrobial
PMC5748641	antimicrobial
PMC5668225	antimicrobial
PMC5877547	antimicrobial
PMC5878871	antimicrobial
PMC5993771	antimicrobial
PMC5497343	antimicrobial
PMC5674267	antimicrobial
PMC5412227	antimicrobial
PMC5615139	antimicrobial
PMC5933022	antimicrobial
PMC5750654	antimicrobial
PMC5622390	antimicrobial
PMC5897738	antimicrobial
PMC5486035	antimicrobial
PMC5641611	antimicrobial
PMC5954905	antimicrobial
PMC5885327	antimicrobial
PMC5788217	antimicrobial
PMC5344628	antimicrobial
PMC5132230	antimicrobial
PMC5789270	antimicrobial
PMC5622398	antimicrobial
PMC5423258	antimicrobial
PMC5602841	antimicrobial
PMC5751248	antimicrobial
PMC5858069	antimicrobial
PMC5397855	antimicrobial
PMC5977410	antimicrobial
PMC5669111	antimicrobial
PMC6011244	antimicrobial
PMC5625792	antimicrobial
PMC6006875	antimicrobial
PMC5830750	antimicrobial
PMC5960548	antimicrobial
PMC5527698	antimicrobial
PMC5454990	antimicrobial
PMC5577677	antimicrobial
PMC5590060	antimicrobial
PMC5964621	antimicrobial
PMC6015887	antimicrobial
PMC5797122	antimicrobial
PMC5307902	antimicrobial
PMC4391421	antimicrobial
PMC5597067	antimicrobial
PMC5874608	antimicrobial
PMC5364420	antimicrobial
PMC5938542	antimicrobial
PMC5661929	antimicrobial
PMC5551175	antimicrobial
PMC5248495	antimicrobial
PMC5772139	antimicrobial
PMC5813356	antimicrobial
PMC5622397	antimicrobial
PMC5807769	antimicrobial
PMC5750605	antimicrobial
PMC5535876	antimicrobial
PMC5750594	antimicrobial
PMC5568258	antimicrobial
PMC5806308	antimicrobial
PMC5822514	antimicrobial
PMC5080681	antimicrobial
PMC5427463	antimicrobial
PMC5997812	antimicrobial
PMC5237462	antimicrobial
PMC5886561	antimicrobial
PMC5660901	antimicrobial
PMC5620597	antimicrobial
PMC5622403	antimicrobial
PMC5925846	antimicrobial
PMC5702920	antimicrobial
PMC5575638	antimicrobial
PMC5590063	antimicrobial
PMC5653886	antimicrobial
PMC5849928	antimicrobial
PMC5702407	antimicrobial
PMC5717781	antimicrobial
PMC5694611	antimicrobial
PMC5958191	antimicrobial
PMC5795983	antimicrobial
PMC5978029	antimicrobial
PMC5761127	antimicrobial
PMC5794096	antimicrobial
PMC5921405	anti-mutagenic
PMC5877547	anti-mutagenic
PMC5958191	anti-mutagenic
PMC5622398	antimutagenic
PMC5723952	antimutagenic
PMC5364420	antimutagenic
PMC5080681	antimutagenic
PMC5694587	antimutagenic
PMC5958191	antimutagenic
PMC5237462	antimutagenic
PMC5954905	antimutagenic
PMC5344628	anti-neuralgic
PMC5859817	antineuralgic
PMC6011244	anti-obesity
PMC5954905	antiobesity
PMC5884000	anti-oxidant
PMC5590060	anti-oxidant
PMC5507808	anti-oxidant
PMC5546729	anti-oxidant
PMC5569441	anti-oxidant
PMC5958191	anti-oxidant
PMC5867556	anti-oxidant
PMC5535876	anti-oxidant
PMC5717781	anti-oxidant
PMC5622390	antioxidant
PMC5694587	antioxidant
PMC5551175	antioxidant
PMC5735349	antioxidant
PMC5871051	antioxidant
PMC5615285	antioxidant
PMC5896386	antioxidant
PMC5577677	antioxidant
PMC5993771	antioxidant
PMC5806308	antioxidant
PMC4391421	antioxidant
PMC5878871	antioxidant
PMC5963643	antioxidant
PMC5902937	antioxidant
PMC5884000	antioxidant
PMC5543433	antioxidant
PMC5080681	antioxidant
PMC5448358	antioxidant
PMC5925846	antioxidant
PMC5920425	antioxidant
PMC5590062	antioxidant
PMC5592951	antioxidant
PMC5486035	antioxidant
PMC5590060	antioxidant
PMC5920421	antioxidant
PMC5717781	antioxidant
PMC5507808	antioxidant
PMC5822514	antioxidant
PMC5905184	antioxidant
PMC5237462	antioxidant
PMC6011056	antioxidant
PMC5330108	antioxidant
PMC5569441	antioxidant
PMC5849894	antioxidant
PMC5590070	antioxidant
PMC5838999	antioxidant
PMC5957362	antioxidant
PMC5747963	antioxidant
PMC5694611	antioxidant
PMC5546729	antioxidant
PMC5938542	antioxidant
PMC5723952	antioxidant
PMC5575638	antioxidant
PMC5947909	antioxidant
PMC5527698	antioxidant
PMC5622398	antioxidant
PMC5974043	antioxidant
PMC5497343	antioxidant
PMC5858069	antioxidant
PMC5684592	antioxidant
PMC5622403	antioxidant
PMC5958191	antioxidant
PMC5848570	antioxidant
PMC5597067	antioxidant
PMC5858457	antioxidant
PMC5603114	antioxidant
PMC5855832	antioxidant
PMC5937106	antioxidant
PMC5877547	antioxidant
PMC5412227	antioxidant
PMC5761127	antioxidant
PMC5625792	antioxidant
PMC5745743	antioxidant
PMC5613177	antioxidant
PMC5344628	antioxidant
PMC5535876	antioxidant
PMC5970210	antioxidant
PMC5788217	antioxidant
PMC5905578	antioxidant
PMC5615139	antioxidant
PMC5964621	antioxidant
PMC5921405	antioxidant
PMC5669111	antioxidant
PMC5248495	antioxidant
PMC5694991	antioxidant
PMC5324201	antioxidant
PMC6011244	antioxidant
PMC5960548	antioxidant
PMC5794096	antioxidant
PMC5859817	antioxidant
PMC5852288	antioxidant
PMC5203915	antioxidant
PMC5364420	antioxidant
PMC5778779	antioxidant
PMC5393100	antioxidant
PMC5846372	antioxidant
PMC5307246	antioxidant
PMC5524814	antioxidant
PMC5830750	antioxidant
PMC5750654	antioxidant
PMC5954905	antioxidant
PMC5132230	antioxidant
PMC5423258	antioxidant
PMC5778200	antioxidant
PMC5661929	antioxidant
PMC5426739	antioxidant
PMC5772139	antioxidant
PMC5867545	antioxidant
PMC5933010	antioxidant
PMC5590066	antioxidant
PMC5590065	antioxidant
PMC5789270	antioxidant
PMC5282690	antioxidant
PMC5668225	antioxidant
PMC5750605	antioxidant
PMC5427463	antioxidant
PMC5702920	antioxidant
PMC5653886	antioxidant
PMC5923693	antioxidant
PMC5789316	antioxidant
PMC5997812	antioxidant
PMC5901951	antioxidant
PMC6011059	antioxidant
PMC5702407	antioxidant
PMC5977410	antioxidant
PMC5867556	antioxidant
PMC5742650	antioxidant
PMC5933692	antioxidant
PMC5674267	antioxidant
PMC5849928	antioxidant
PMC5622398	anti-parasitic
PMC5925846	anti-parasitic
PMC5813356	anti-parasitic
PMC5937097	anti-parasitic
PMC5933692	anti-parasitic
PMC5905578	antiparasitic
PMC5813356	antiparasitic
PMC5933010	antiparasitic
PMC5838999	antiparasitic
PMC5575638	antiparasitic
PMC5795983	antiparasitic
PMC5938542	antiparasitic
PMC5794096	antiparasitic
PMC5237462	antiparasitic
PMC5858457	antiparasitic
PMC5344628	antiparasitic
PMC5918559	antiparasitic
PMC5568258	antiparasitic
PMC5876267	antiparasitic
PMC5203915	antiparasitic
PMC5937097	antiparasitic
PMC5813356	antiplasmodial
PMC5876267	acetylcholinesterase inhibition
PMC5964621	acetylcholinesterase inhibition
PMC5813356	acetylcholinesterase inhibition
PMC5830750	antiprotozoal
PMC5590065	antiprotozoal
PMC5454990	antiprotozoal
PMC5806308	antiprotozoal
PMC5788217	antiprotozoal
PMC5761127	antipruritic
PMC5694611	antipruritic
PMC5237462	antipruritic
PMC5778779	antipyretic
PMC5937106	antipyretic
PMC5485486	antipyretic
PMC5964621	antipyretic
PMC5524814	antipyretic
PMC5694611	antipyretic
PMC5830750	antipyretic
PMC5423258	antipyretic
PMC5597067	anti-radical
PMC5497343	antiradical
PMC5486035	antiradical
PMC5590060	antiradical
PMC5838999	antiradical
PMC5248495	antiradical
PMC5933692	antiradical
PMC5684592	antiradical
PMC5852288	antiradical
PMC5674267	antiradical
PMC5963643	antiradical
PMC5364420	antiradical
PMC5761127	antiradical
PMC5902937	antiradical
PMC5964621	antirheumatic
PMC5423258	antirheumatic
PMC5524814	anti-rheumatic
PMC5838999	antiatherosclerotic
PMC5964621	antiatherosclerotic
PMC5905578	antiatherosclerotic
PMC5535876	antiatherosclerotic
PMC5669080	antiseptic
PMC4391421	antiseptic
PMC5668225	antiseptic
PMC5622398	antiseptic
PMC5921405	antiseptic
PMC5080681	antiseptic
PMC6011056	antiseptic
PMC5933022	antiseptic
PMC5761127	antiseptic
PMC5964621	antiseptic
PMC5622401	antiseptic
PMC6006875	antiseptic
PMC5884000	antiseptic
PMC5694611	antiseptic
PMC5806308	antiseptic
PMC5543433	antiseptic
PMC5867556	antiseptic
PMC5858069	antiseptic
PMC5694587	antiseptic
PMC5527698	antiseptic
PMC5507808	antiseptic
PMC5920425	antiseptic
PMC5747963	antiseptic
PMC5877547	antiseptic
PMC5905578	antiseptic
PMC5344628	antiseptic
PMC5423258	antiseptic
PMC5859817	antiseptic
PMC5886561	antiseptic
PMC5750605	anti-spasmodic
PMC5958191	anti-spasmodic
PMC5324201	antispasmodic
PMC5750605	antispasmodic
PMC5958191	antispasmodic
PMC5702407	antispasmodic
PMC4391421	antispasmodic
PMC5590066	antispasmodic
PMC5761127	antispasmodic
PMC5080681	antispasmodic
PMC5897738	antispasmodic
PMC5933022	antispasmodic
PMC5615139	antispasmodic
PMC5795983	antispasmodic
PMC5964621	antispasmodic
PMC5615285	antispasmodic
PMC5694611	antispasmodic
PMC5717781	antispasmodic
PMC5590070	antispasmodic
PMC5485486	antispasmodic
PMC5905578	antispasmodic
PMC5876267	antispasmodic
PMC5237462	antispasmodic
PMC5937097	antispasmodic
PMC5486035	antispasmodic
PMC5603114	antispasmodic
PMC5423258	antispasmodic
PMC5964621	antistress
PMC5535876	antistress
PMC5923693	thromboxane synthesis modulator	"3.1. Historical Notes, Biochemistry and the Role of Palm Oil in the Food Industry >> modulating the synthesis of thromboxane"
PMC5884000	inhibition of thromboxane	"The anti-histaminic, anti-oxidant and anti-inflammatory effects ofÊN. sativaÊseed fixed oil >> In animal model of allergic asthma, cyclooxygenase and 5-lipoxygenase pathways of rat peritoneal leukocytes inhibited byÊN. sativaÊfixed oil, by inhibition of thromboxane BÊ2Êand leukotriene BÊ4Êmetabolites"
PMC5884000	TNF inhibitor	"3.1
The anti-histaminic, anti-oxidant and anti-inflammatory effects ofÊN. sativaÊseed fixed oil
>> N. sativaÊseed fixed oil reduced the serum levels of TNF-_ and high sensitivity C-reactive protein in calorie restricted obese women"
PMC5551175	Anti-trypanosomal
PMC5958191	Anti-trypanosomal
PMC5551175	Antitrypanosomal
PMC5958191	Antitrypanosomal
PMC5813356	Antitrypanosomal
PMC5778779	Antitrypanosomal
PMC5590067	anti-tumor
PMC5745743	anti-tumor
PMC5877547	anti-tumor
PMC5661929	anti-tumor
PMC5324201	anti-tumor
PMC5535876	anti-tumor
PMC5622398	anti-tumour
PMC5694587	antitumour
PMC5324201	antitumor
PMC5745743	antitumor
PMC5669080	antitumor
PMC5592951	antitumor
PMC5427463	antitumor
PMC5963643	antitumor
PMC5282690	antitumor
PMC5625792	antitumor
PMC5772139	antitumor
PMC5590067	antitumor
PMC5702920	antitumor
PMC5964621	antitumor
PMC5615285	antitumor
PMC5750654	antitumor
PMC5485486	antitumor
PMC5905578	antitumor
PMC5669111	antitumor
PMC5877547	antitumor
PMC5132230	antitumor
PMC5237462	antitumor
PMC5933692	antitumor
PMC5568258	antitumor
PMC5674267	antitumor
PMC5344628	antitumor
PMC5603114	antitumor
PMC5546729	antitumor
PMC5723952	antitussive
PMC4391421	antitussive
PMC5524814	antitussive
PMC5964621	antitussive
PMC5307902	antitussive
PMC5871294	antitussive
PMC5694611	antitussive
PMC5795983	antitussive
PMC5958191	anti-ulcer
PMC5977410	antiulcer
PMC5964621	antiulcer
PMC5954905	antiulcer
PMC5876267	antiulcer
PMC5344628	antiulcer
PMC5546729	antiulcer
PMC5978029	antiviral
PMC5958191	antiviral
PMC5575638	antiviral
PMC5622398	antiviral
PMC5921405	antiviral
PMC5080681	antiviral
PMC5330108	antiviral
PMC6011056	antiviral
PMC5723952	antiviral
PMC5668225	antiviral
PMC5964621	antiviral
PMC5748641	antiviral
PMC5884000	antiviral
PMC5750654	antiviral
PMC5957362	antiviral
PMC5867556	antiviral
PMC5307902	antiviral
PMC5905578	antiviral
PMC5877547	antiviral
PMC5925846	antiviral
PMC5933692	antiviral
PMC5788217	antiviral
PMC5344628	antiviral
PMC5674267	antiviral
PMC5954905	appetite suppressant
PMC5938542	apoptotic
PMC5486035	apoptotic
PMC5958191	apoptotic
PMC5622398	apoptotic
PMC5920425	apoptotic
PMC5535876	apoptotic
PMC5546729	apoptotic
PMC5877547	apoptotic
PMC5954905	apoptotic
PMC5937106	apoptotic
PMC5615285	apoptotic
PMC5940754	apoptotic
PMC5364420	apoptotic
PMC5997812	apoptotic
PMC5977410	apoptotic
PMC5324201	bactericidal
PMC5871294	bactericidal
PMC5669080	bactericidal
PMC5978029	bactericidal
PMC5497343	bactericidal
PMC5427463	bactericidal
PMC5778779	bactericidal
PMC5592951	bactericidal
PMC5622398	bactericidal
PMC5625792	bactericidal
PMC5838999	bactericidal
PMC6011056	bactericidal
PMC5535876	bactericidal
PMC5849928	bactericidal
PMC5960548	bactericidal
PMC5527698	bactericidal
PMC5485486	bactericidal
PMC5871051	bactericidal
PMC5203915	bactericidal
PMC5905578	bactericidal
PMC5653886	bactericidal
PMC5248495	bactericidal
PMC5858069	bactericidal
PMC5602841	bactericidal
PMC5876267	bactericidal
PMC5568258	bactericidal
PMC5132230	bactericidal
PMC5937097	bactericidal
PMC5412227	bactericidal
PMC5788217	bactericidal
PMC5486035	bactericidal
PMC5423258	bactericidal
PMC5613177	bactericidal
PMC5248495	bacteriostatic
PMC5806308	bacteriostatic
PMC6011056	bacteriostatic
PMC5203915	bacteriostatic
PMC5132230	bacteriostatic
PMC5788217	bacteriostatic
PMC5978029	bacteriostatic
PMC5535876	bacteriostatic
PMC5723952	bronchodilator
PMC5307902	bronchodilator
PMC5694611	bronchodilator
PMC5884000	bronchodilator
PMC5694587	carcinogenic
PMC5960541	carcinogenic
PMC5885327	carcinogenic
PMC5622382	carcinogenic
PMC5964621	carcinogenic
PMC5344628	carcinogenic
PMC5923693	carcinogenic
PMC5694611	carcinogenic
PMC5877547	carcinogenic
PMC5543433	carcinogenic
PMC5947909	carcinogenic
PMC5993771	carcinogenic
PMC5620597	carcinogenic
PMC5203915	carcinogenic
PMC5364420	carcinogenic
PMC5997812	carcinogenic
PMC5723952	carcinogenic
PMC5324201	carminative
PMC5702407	carminative
PMC5575638	carminative
PMC4391421	carminative
PMC5622398	carminative
PMC5761127	carminative
PMC5080681	carminative
PMC5897738	carminative
PMC5393100	carminative
PMC6011056	carminative
PMC5597067	carminative
PMC5964621	carminative
PMC5615285	carminative
PMC5963643	carminative
PMC5884000	carminative
PMC5822514	carminative
PMC5590070	carminative
PMC5905578	carminative
PMC5237462	carminative
PMC5674267	carminative
PMC5486035	carminative
PMC5344628	carminative
PMC5742650	chemopreventive
PMC5877547	chemopreventive
PMC5625792	chemopreventive
PMC5761127	chemoprotective
PMC5964621	chemoprotective
PMC5964621	choleretic
PMC5615139	cns depressant
PMC5622403	PMC5622403
PMC5938542	PMC5938542
PMC5535876	PMC5535876
PMC5615139	PMC5615139
PMC5964621	PMC5964621
PMC5132230	PMC5132230
PMC5750605	PMC5750605
PMC5668225	PMC5668225
PMC5878871	PMC5878871
PMC5282690	COX inhibitor
file://PMC5905578	COX inhibitor	" >> RegardingÊin vitroÊstudies, the anti-inflammatory and analgesic studies were based on the evaluation of the expression of inflammatory cytokines (IL-1_, IL-6, TNF-_, etc.), COX-1/COX-2, iNOS and evaluation of nitric oxide production in RAW 264.7 macrophages cells"
PMC5905578	COX-2 Inhibitor
PMC5590070	COX-2 Inhibitor
PMC5878871	COX-2 Inhibitor
PMC5203915	COX-2 Inhibitor
PMC5694587	COX-2 Inhibitor
PMC5569441	COX-2 Inhibitor
PMC5735349	COX-2 Inhibitor
PMC5954905	COX-2 Inhibitor
PMC5717781	COX-2 Inhibitor
PMC5745743	cytochrome p450	"Target proteins and related pathways >> Pathway analysis was applied on target proteins ofÊO. fragransÊvar.ÊthunbergiiÊessential oil for further interpretation, and the results showed that these proteins were involved in 70 biological pathways (Additional fileÊ3), calcium signaling pathway, nitrogen metabolism, pentose and glucuronate interconversions, cytochrome P450, and so on.Ê"
file://PMC5203915	Cytokine Modulation	"3.4. Decrease of IL-1Ê_, IL-6, and TNF-Ê_ÊLevels in LPS-Stimulated Astrocytes after Treatment ofÊR. carthamoidesÊHR and SGR Essential Oils >> A single concentration of essential oils known to be the most effective for reducing of the levels of pro- and anti-inflammatory cytokines, as determined by an ELISA, was used in this experiment."
PMC5964621	Cytokine Modulator	3.8.1.ÊScutellaria lateriflora >> reduced cytokine expression
PMC5877547	Cytokine Modulator	"6. Conclusions >> They are also found to modulate the human immune system, affecting proliferation of the white blood cells and the production of cytokines.
"
PMC5794096	Cytokine Modulator	"Discussion >> BRP reduces nitric oxide levels and diminishes the levels of some pro-inflammatory cytokines, chemokines and genes associated with inflammatory signaling in macrophagesÊ"
PMC5905578	cytotoxic
PMC5454990	cytotoxic
PMC5964621	cytotoxic
PMC5933692	cytotoxic
PMC5237462	cytotoxic
PMC5568258	cytotoxic
PMC5957362	cytotoxic
PMC5806308	cytotoxic
PMC5954905	cytotoxic
PMC5364420	cytotoxic
PMC5486035	cytotoxic
PMC5535876	cytotoxic
PMC5590062	cytotoxic
PMC5874608	cytotoxic
PMC5921405	cytotoxic
PMC5877547	cytotoxic
PMC5745743	cytotoxic
PMC5977410	cytotoxic
PMC5324201	cytotoxic
PMC5723952	cytotoxic
PMC5330108	cytotoxic
PMC5750605	cytotoxic
PMC5551175	cytotoxic
PMC5958191	cytotoxic
PMC5603114	cytotoxic
PMC5669080	cytotoxic
PMC5859817	cytotoxic
PMC5963643	cytotoxic
PMC5625792	cytotoxic
PMC5485486	cytotoxic
PMC5674267	cytotoxic
PMC5615285	cytotoxic
PMC5858069	cytotoxic
PMC5717781	cytotoxic
PMC5938542	cytotoxic
PMC5694587	cytotoxic
PMC5622390	cytotoxic
PMC5813356	cytotoxic
PMC5795983	cytotoxic
PMC5885327	cytotoxic
PMC5651092	cytotoxic
PMC5747963	cytotoxic
PMC5937097	cytotoxic
PMC5590067	cytotoxic
PMC5412227	cytotoxic
PMC5933509	cytotoxic
PMC5794096	cytotoxic
PMC5937106	cytotoxic
PMC5735349	cytotoxic
PMC5622403	cytotoxic
PMC5590070	cytotoxic
PMC5878871	cytotoxic
PMC5920421	cytotoxic
PMC5132230	cytotoxic
PMC5622382	cytotoxic
PMC5622398	cytotoxic
PMC5603114	decongestant
PMC5702920	decongestant
PMC5871294	decongestant
PMC5423258	decongestant
PMC5717781	deodorant
PMC5964621	sensitizer
PMC5750654	dermatitigenic	"1. Introduction >> For example, topical application of EOs containing oxidized terpenoids may show skin-sensitizing effects, thus inducing allergic contact dermatitis"
PMC5921405	disinfectant
PMC5958191	disinfectant
PMC5905578	disinfectant
PMC5507808	disinfectant
PMC5788217	disinfectant
PMC5575638	diuretic
PMC5963643	diuretic
PMC4391421	diuretic
PMC5977410	diuretic
PMC5897738	diuretic
PMC5393100	diuretic
PMC6011056	diuretic
PMC5964621	diuretic
PMC5615285	diuretic
PMC5622401	diuretic
PMC5884000	diuretic
PMC5937106	diuretic
PMC5590070	diuretic
PMC5905578	diuretic
PMC5877547	diuretic
PMC5830750	diuretic
PMC5933692	diuretic
PMC5622390	diuretic
PMC5735349	diuretic
PMC5674267	diuretic
PMC5423258	diuretic
PMC5546729	diuretic
PMC5897738	emetic
PMC5964621	emetic
PMC5237462	emetic
PMC5761127	emetic
PMC5960541	enterotoxic
PMC5964621	antiepileptogenic
PMC5497343	gastroprotective
PMC5964621	gastroprotective
PMC5954905	gastroprotective
PMC5750594	gastroprotective
PMC5603114	antineoplastic
PMC5877547	antineoplastic
PMC5750594	antineoplastic
PMC5905184	antineoplastic
PMC5905578	expectorant
PMC5603114	expectorant
PMC5486035	expectorant
PMC5080681	expectorant
PMC5933022	expectorant
PMC5597067	expectorant
PMC5344628	expectorant
PMC5575638	expectorant
PMC5964621	expectorant
PMC5307902	expectorant
PMC5963643	expectorant
PMC4391421	expectorant
PMC5997812	fungicide
PMC5778779	fungicide
PMC5330108	fungicide
PMC5794096	fungicide
PMC5933022	fungicide
PMC5622397	fungicide
PMC5963643	fungicide
PMC6015887	fungicide
PMC5806308	fungicide
PMC5789270	fungicide
PMC5590063	fungicide
PMC5871294	fungicidal
PMC5849899	fungicidal
PMC5669080	fungicidal
PMC5778779	fungicidal
PMC5427463	fungicidal
PMC5997812	fungicidal
PMC5622398	fungicidal
PMC5330108	fungicidal
PMC5838999	fungicidal
PMC5795983	fungicidal
PMC6006875	fungicidal
PMC5849928	fungicidal
PMC5750654	fungicidal
PMC5527698	fungicidal
PMC5694587	fungicidal
PMC6015887	fungicidal
PMC5543433	fungicidal
PMC5622403	fungicidal
PMC5590063	fungicidal
PMC5876267	fungicidal
PMC5789270	fungicidal
PMC5423258	fungicidal
PMC5324201	bactericidal
PMC5871294	bactericidal
PMC5669080	bactericidal
PMC5978029	bactericidal
PMC5497343	bactericidal
PMC5427463	bactericidal
PMC5778779	bactericidal
PMC5592951	bactericidal
PMC5622398	bactericidal
