Essoil DB Correction needed	Multi CAIDs	caid	caname	unique/synonym	uactivityMatch	uactivity	caName and Synonyms	ActivityClass	(Phytomedicinal Activity) ActionType	Activity Description (AMBRISH: Please try to extract the activity descriptions into a new column/field. These need to be verified somehow)	Specific ActivityTarget	Reported Uses (Diseases, Symptoms, etc.)	MannyNotes_Compound Activity	Route of use: Topical Oral Uncertain Both	VC Product Class	VC Utitlity		caname
		143	Motor-Depressant	F	F	Cytotoxic		CAUTION! - Adverse Reactions | Muscular	Motor-Depressant	Motor-Depressant: An agent, or drug, that reduces the normal functioning level of motor neurons, mainly in voluntary muscles.	Motor-Depressant				CAUTION	Bad		Motor-Depressant
		167	Spasmogenic	F	F	Decongestant		CAUTION! - Adverse Reactions | Muscular	Spasmogenic	Spasmogenic: An agnent that causes spasms, which are sudden involuntary muscular contraction or convulsive movement.	Spasmogenic				CAUTION	Bad		Spasmogenic
			Teratogenic	F	F	Deliriant		CAUTION! - Developmental	Developmental toxicity (General term)	Teratogenic: - Developmental toxicity (General term) | adversely affects the developing embryo or fetus. : Developmental toxicity pertains to adverse toxic effects to the developing embryo or fetus. It can result from toxicant exposure to either parent before conception or to the mother and her developing embryo or fetus. The three basic types of developmental toxicity are: 1) Embryolethality — failure to conceive, spontaneous abortion, or stillbirth. 2) Embryotoxicity — growth retardation or delayed growth of specific organ systems. 3) Teratogenicity — irreversible conditions that leave permanent birth defects in live offspring, such as cleft palette or missing limbs.  Chemicals cause developmental toxicity in two ways:   1) They act directly on cells of the embryo, causing cell death or cell damage, leading to abnormal organ development. 2)  They induce a mutation in a parent's germ cell, which is transmitted to the fertilized ovum. Some mutated fertilized ova develop into abnormal embryos.					CAUTION	Bad		Teratogenic
			Teratogenic	S	F	Deodorant		CAUTION! - Developmental	Teratogenic	Teratogenic | Promotes abortion or birth defects: Teratogenic compounds: A teratogen is an agent that can disturb the development of the embryo or fetus. Teratogens halt the pregnancy or produce a congenital malformation (a birth defect). Classes of teratogens include radiation, maternal infections, chemicals, and drugs.					CAUTION	Bad		Teratogenic
		135	Insectiphile	F	F	Dermal sensitizer		CAUTION! - Insectiphile	Insectiphile	Attracts Insects - Undefined Types					CAUTION	Bad		Insectiphile
		104	Dermatitigenic	F	F	Dermatitigenic		CAUTION! - Irritant	Dermatitigenic (Dermatitic)	Dermatitigenic (Dermatitic) | Skin irritant : An agent that causes inflammation of the skin (dermatitis).	Dermatitigenic				CAUTION	Bad		Dermatitigenic
		136	Gastric irritant	F	F	Detoxicant		CAUTION! - Irritant	Gastric Irritant	Gastric Irritant : An agent that causes slight inflammation or other discomfort to the body.	Irritant				CAUTION	Bad		Gastric irritant
		136	Irritant	F	F	Detoxifier		CAUTION! - Irritant	Irritant (Generic term)	Irritant (Generic term): An agent that causes slight inflammation or other discomfort to the body.	Irritant				CAUTION	Bad		Irritant
		150	Occuloirritant	F	F	Diuretic		CAUTION! - Irritant	Occuloirritant	Occuloirritant | Eye irritant: Dryness and soreness were the most frequently reported symptoms of ocular irritation.			Irritant (occulo/eyes?) hyphen before irritant? as in Ozone Scavenger?		CAUTION	Bad		Occuloirritant
		162	Renoirritant	F	F	Ecbolic		CAUTION! - Irritant	Renoirritant	Renoirritant | Kidney irritant: An agent that causes irritation or inflammation of kydney tissue.			Irritates kidneys?		CAUTION	Bad		Renoirritant
			Cardiotoxic	F	F	Emetic		CAUTION! - Organ specific toxin	Cardiotoxic	Cardiotoxic | having a toxic effect on the heart	Heart				CAUTION	Bad		Cardiotoxic
			Dermal sensitizer	F	F	Enterocontractant		CAUTION! - Organ specific toxin	Dermal sensitizer	Dermal sensitizer | makes skin sensitive or hypersensitive					CAUTION	Bad		Dermal sensitizer
			Dermal sensitizer	S		Enterorelaxant	Dermal toxicity, Dermal Toxin	CAUTION! - Organ specific toxin	Dermal toxicity, Dermal Toxin	Dermal toxicity (Dermal Irritant): Toxicity of the skin, which can range from mild irritation to corrosivity, hypersensitivity, and skin cancer.  It can result from direct contact or internal distribution of the xenobiotic to the skin.  Dermal Toxicity can occur when a toxicant comes into direct contact with the skin or is distributed to it internally. Effects range from mild irritation to severe changes, such as irreversible damage, hypersensitivity, and skin cancer. Examples of dermal toxicity include:  a) Dermal irritation from skin exposure to gasoline. b) Dermal corrosion from skin exposure to sodium hydroxide (lye). c) Dermal itching, irritation, and sometimes painful rash from poison ivy, caused by urushiol. d) Skin cancer due to ingestion of arsenic or skin exposure to UV light.					CAUTION	Bad		Dermal sensitizer
			Epigenetic	F	F	Epigenetic		CAUTION! - Organ specific toxin	Epigenetic	Epigenetic | mutations/alterations changing genetic programming. Epigenetic alterations, changing genetic programming. Epigenetics is an emerging area in toxicology. In the field of genetics, epigenetics involves studying how external or environmental factors can switch genes on and off and change the programming of cells. More specifically, epigenetics refers to stable changes in the programming of gene expression which can alter the phenotype without changing the DNA sequence (genotype). Epigenetic modifications include DNA methylation, covalent modifications of histone tails, and regulation by non-coding RNAs, among others. Toxicants are examples of factors that can alter genetic programming.					CAUTION	Bad		Epigenetic
		121	Glaucomagenic	F	F	Epileptogenic		CAUTION! - Organ specific toxin	Glaucomagenic	Glaucomagenic: Promotes glaucoma, a disease of the eye marked by increased pressure within the eyeball that can result in damage to the optic disk and gradual loss of vision					CAUTION	Bad		Glaucomagenic
			Hemotoxic	F	F	Expectorant		CAUTION! - Organ specific toxin	Hemotoxic	Hemotoxic: Blood and Cardiovascular/Cardiac Toxicity results from xenobiotics acting directly on cells in circulating blood, bone marrow, and the heart. Examples of blood and cardiovascular/cardiac toxicity are:  a) Hypoxia due to carbon monoxide binding of hemoglobin preventing transport of oxygen. b) Decrease in circulating leukocytes due to chloramphenicol damage to bone marrow cells. c) Leukemia due to benzene damage of bone marrow cells. d) Arteriosclerosis due to cholesterol accumulation in arteries and veins. e) Death of normal cells in and around the heart as a result of exposure to drugs used to treat cancer.					CAUTION	Bad		Hemotoxic
			Hepatotoxic	F	F	Flammable		CAUTION! - Organ specific toxin	Hepatotoxic	Hepatotoxicity is toxicity to the liver, bile duct, and gall bladder. Because of its extensive blood supply and significant role in metabolism, the liver is particularly susceptible to xenobiotics Thus, it is exposed to high doses of the toxicant or its toxic metabolites. The primary forms of hepatotoxicity are:   a) Steatosis — lipid accumulation in the hepatocytes. b) Chemical hepatitis — inflammation of the liver. c) Hepatic necrosis — death of the hepatocytes. d) Intrahepatic cholestasis — backup of bile salts into the liver cells. e) Hepatic cancer — cancer of the liver. f) Cirrhosis — chronic fibrosis, often due to alcohol. g) Hypersensitivity — immune reaction resulting in hepatic necrosis.  	Liver cells				CAUTION	Bad		Hepatotoxic
		179	Immunotoxic	F	F	Flavor	Immunotoxicity	CAUTION! - Organ specific toxin	Immunotoxic	Immunotoxicity is toxicity of the immune system. It can take several forms, such as: a)     Hypersensitivity (allergy and autoimmunity), b) Immunodeficiency, c) Uncontrolled proliferation (leukemia and lymphoma)  The normal function of the immune system is to recognize and defend against foreign invaders. This is accomplished by production of cells that engulf and destroy the invaders or by antibodies that inactivate foreign material. Examples include:  a) Contact dermatitis due to exposure to poison ivy. b) Systemic lupus erythematosus (lupus) in workers exposed to hydrazine. c) Immunosuppression by cocaine. d) Leukemia induced by benzene.	Ulcerogenic				CAUTION	Bad		Immunotoxic
		179	Nephrotoxicity	F	F	Fluoride		CAUTION! - Organ specific toxin	Nephrotoxicity	Nephrotoxicity | affecting the kidneys: The kidney is highly susceptible to toxicants because a high volume of blood flows through the organ and it filters large amounts of toxins which can concentrate in the kidney tubules.  Nephrotoxicity is toxicity to the kidneys. It can result in systemic toxicity causing:  a) Decreased ability to excrete body wastes. b) Inability to maintain body fluid and electrolyte balance. c) Decreased synthesis of essential hormones (for example, erythropoietin, which increases the rate of blood cell production).	Ulcerogenic				CAUTION	Bad		Nephrotoxicity
		149	Neurotoxic	F	F	for preparation of vitamins E and K1		CAUTION! - Organ specific toxin	Neurotoxic	Neurotoxicity represents toxicant damage to cells of the central nervous system (brain and spinal cord) and the peripheral nervous system (nerves outside the CNS). The primary types of neurotoxicity are:   a) Neuronopathies (neuron injury) b) Axonopathies (axon injury) c) Demyelination (loss of axon insulation) d) Interference with neurotransmission	Neurotoxic				CAUTION	Bad		Neurotoxic
		179	Optical toxicity	F	F	Fragrance		CAUTION! - Organ specific toxin	Optical toxicity	Optical toxicity | adversely affecting the eyes: Eye Toxicity results from direct contact with or internal distribution to the eye. Because the cornea and conjunctiva are directly exposed to toxicants, conjunctivitis and corneal erosion may be observed following occupational exposure to chemicals. Many household items can cause conjunctivitis. Chemicals in the circulatory system can distribute to the eye and cause corneal opacity, cataracts, and retinal and optic nerve damage. For example:  a) Acids and strong alkalis may cause severe corneal corrosion. b) Corticosteroids may cause cataracts. c) Methanol (wood alcohol) may damage the optic nerve.  					CAUTION	Bad		Optical toxicity
			Reproductive toxicity	F	F	Fungicide		CAUTION! - Organ specific toxin	Reproductive toxicity (General term)	Reproductive toxicity (General term) | damaging to the male or female reproductive system: Toxicity of the male or female reproductive system.  Toxic effects can include damage to the reproductive organs or offspring.   Reproductive Toxicity involves toxicant damage to either the male or female reproductive system. Toxic effects may cause:    A) Decreased libido and impotence. B) Infertility. C) Interrupted pregnancy (abortion, fetal death, or premature delivery). D) Infant death or childhood morbidity. E) Altered sex ratio and multiple births. F) Chromosome abnormalities and birth defects. G) Childhood cancer.					CAUTION	Bad		Reproductive toxicity
		163	Respirainhibitor	F	F	Fungiphilic		CAUTION! - Organ specific toxin	Respirainhibitor	Respirainhibitor | Inhibits breathing			Double-check my action type definition		CAUTION	Bad		Respirainhibitor
			Respiratory toxicity	S	F	Fungistat		CAUTION! - Organ specific toxin	Respiratory toxicity	Respiratory toxicity | affecting the respiratory system: Respiratory Toxicity relates to effects on the upper respiratory system (nose, pharynx, larynx, and trachea) and the lower respiratory system (bronchi, bronchioles, and lung alveoli). The primary types of respiratory toxicity are:  a) Pulmonary irritation b) Asthma/bronchitis c) Reactive airway disease d) Emphysema e) Allergic alveolitis f) Fibrotic lung disease g) Pneumoconiosis h) Lung cancer			Double-check my action type definition		CAUTION	Bad		Respiratory toxicity
		179	Ulcerogenic	F	F	GABA-nergic		CAUTION! - Organ specific toxin	Ulcerogenic	Ulcerogenic | tending to produce or develop into ulcers or ulceration	Ulcerogenic				CAUTION	Bad		Ulcerogenic
		179	Ulcerogenic	S	F	Gastric irritant		CAUTION! - Organ specific toxin	Ulcerogenic						CAUTION	Bad		Ulcerogenic
		3	Abortifacient	F	F	Glaucomagenic	Abortive	CAUTION! - Reproductive	Abortifacient (Abortive)	Abortifacient (Abortive): A substance that causes or induces abortions.					CAUTION	Bad		Abortifacient
			Ecbolic	F	F	GST-Inducer		CAUTION! - Reproductive	Ecbolic	Ecbolic | Induces expulsion of a fetus : inducing contractions of the uterus leading to expulsion of a fetus.					CAUTION	Bad		Ecbolic
			Oxytocic	F	F	Hemotoxic		CAUTION! - Reproductive	Oxytocic	Oxytocic | Uterine hyperstimulation: inducing contraction of uterine smooth muscle	Uterous				CAUTION	Bad		Oxytocic
					F	Hepatoprotective		CAUTION! - Systemic toxin	Acute toxicity	Acute toxicity occurs almost immediately (seconds/minutes/hours/days) after an exposure. An acute exposure is usually a single dose or a series of doses received within a 24-hour period. Death can be a major concern in cases of acute exposures. For example: A) In 1989, 5,000 people died and 30,000 were permanently disabled due to exposure to methyl isocyanate from an industrial accident in India. B) Many people die each year from inhaling carbon monoxide from faulty heaters.					CAUTION	Bad		
		90	Carcinogenic	F	F	Hepatotoxic	Carcinogenicity	CAUTION! - Systemic toxin	Carcinogenic (Generic term)	Carcinogenic: Carcinogenicity is a complex multistage process of abnormal cell growth and differentiation that can lead to cancer. The two stages of carcinogenicity are:  1) Initiation — a normal cell undergoes irreversible changes.  2) Promotion — initiated cells are stimulated to progress to cancer.  Chemicals can act as initiators or promoters. The initial transformation that causes normal cells to undergo irreversible changes results from the mutation of the cellular genes that control normal cell functions. The mutation may lead to abnormal cell growth. It may involve a loss of suppresser genes that usually restrict abnormal cell growth. Many other factors are involved, such as growth factors, immune suppression, and hormones.  A tumor (neoplasm) is simply an uncontrolled growth of cells: A) Benign tumors grow at the site of origin; do not invade adjacent tissues or metastasize; and generally are treatable. B) Malignant tumors (cancer) invade adjacent tissues or migrate to distant sites (metastasis). They are more difficult to treat and often cause death. 					CAUTION	Bad		Carcinogenic
		202	Carcinogenic (Mild)	F	F	Herbicide		CAUTION! - Systemic toxin	Carcinogenic (Generic term)	Carcinogenicity is a complex multistage process of abnormal cell growth and differentiation that can lead to cancer. The two stages of carcinogenicity are:  1) Initiation — a normal cell undergoes irreversible changes.  2) Promotion — initiated cells are stimulated to progress to cancer.  Chemicals can act as initiators or promoters. The initial transformation that causes normal cells to undergo irreversible changes results from the mutation of the cellular genes that control normal cell functions. The mutation may lead to abnormal cell growth. It may involve a loss of suppresser genes that usually restrict abnormal cell growth. Many other factors are involved, such as growth factors, immune suppression, and hormones.  A tumor (neoplasm) is simply an uncontrolled growth of cells: A) Benign tumors grow at the site of origin; do not invade adjacent tissues or metastasize; and generally are treatable. B) Malignant tumors (cancer) invade adjacent tissues or migrate to distant sites (metastasis). They are more difficult to treat and often cause death. 					CAUTION	Bad		Carcinogenic (Mild)
					F	Histaminic		CAUTION! - Systemic toxin	Chronic toxicity	Chronic toxicity represents cumulative damage to specific organ systems and takes many months or years to become a recognizable clinical disease. Damage due to subclinical individual exposures may go unnoticed. With repeated exposures or long-term continual exposure, the damage from this type of exposure slowly builds up (cumulative damage) until the damage exceeds the threshold for chronic toxicity. Ultimately, the damage becomes so severe that the organ can no longer function normally and a variety of chronic toxic effects may result.  Examples of chronic toxic effects include:  A) Cirrhosis in alcoholics who have ingested ethanol for several years. B) Chronic kidney disease in workmen with several years of exposure to lead. C) Chronic bronchitis in long-term cigarette smokers. D) Pulmonary fibrosis in coal miners (black lung disease).  					CAUTION	Bad		
		100	Cytotoxic	F	F	Hypnotic		CAUTION! - Systemic toxin	Cytotoxic	Cytotoxic | toxic to living cells					CAUTION	Bad		Cytotoxic
					F	Hypocholesterolemic		CAUTION! - Systemic toxin	Genetic toxicity	Genetic toxicity results from damage to DNA and altered genetic expression. This process is known as mutagenesis. The genetic change is referred to as a mutation and the agent causing the change is called a mutagen. There are three types of genetic changes:  1) Gene mutation — change in DNA sequence within a gene.2) Chromosome aberration — changes in the chromosome structure. 3) Aneuploidy or polyploidy — increase or decrease in number of chromosomes.   If the mutation occurs in a germ cell, the effect is heritable. This means there is no effect on the exposed person; rather, the effect is passed on to future generations.   If the mutation occurs in a somatic cell, it can cause altered cell growth (for example, cancer) or cell death (for example, teratogenesis) in the exposed person.					CAUTION	Bad		
					F	Hypoglycemic		CAUTION! - Systemic toxin	Subchronic toxicity	Subchronic toxicity results from repeated exposure for several weeks or months. This is a common human exposure pattern for some pharmaceuticals and environmental agents. For example: A) Ingestion of warfarin (Coumadin®) tablets (blood thinners) for several weeks as a treatment for venous thrombosis can cause internal bleeding. B) Workplace exposure to lead over a period of several weeks can result in anemia. 					CAUTION	Bad		
					F	Hypothermic		CAUTION! - Systemic toxin	Systemic Toxin	Systemic toxic effects | (Generic term) | can occur at multiple sites					CAUTION	Bad		
		177	Tumor-promotor	F	F	Immunomodulator		CAUTION! - Systemic toxin	Tumor-promotor	Caution - Carcinogenic | Tumor-promotor: Carcinogenicity is a complex multistage process of abnormal cell growth and differentiation that can lead to cancer. The two stages of carcinogenicity are:  1) Initiation — a normal cell undergoes irreversible changes.  2) Promotion — initiated cells are stimulated to progress to cancer.  Chemicals can act as initiators or promoters. The initial transformation that causes normal cells to undergo irreversible changes results from the mutation of the cellular genes that control normal cell functions. The mutation may lead to abnormal cell growth. It may involve a loss of suppresser genes that usually restrict abnormal cell growth. Many other factors are involved, such as growth factors, immune suppression, and hormones.  A tumor (neoplasm) is simply an uncontrolled growth of cells: A) Benign tumors grow at the site of origin; do not invade adjacent tissues or metastasize; and generally are treatable. B) Malignant tumors (cancer) invade adjacent tissues or migrate to distant sites (metastasis). They are more difficult to treat and often cause death. 			Carcinogenic (Tumor promotor)??		CAUTION	Bad		Tumor-promotor
			Calcium	F	F	Immunotoxic		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Calcium			RENEW	Good		Calcium
			Chloride	F	F	Insect Attractant		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Chloride			RENEW	Good		Chloride
			Chromium	F	F	Insect Attractant | Mosquito		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Chromium			RENEW	Good		Chromium
			Copper	F	F	Insect Repellent		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Copper			RENEW	Good		Copper
			Fluoride	F	F	Insecticide		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Fluoride			RENEW	Good		Fluoride
			Iodine	F	F	Insectifuge		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Iodine			RENEW	Good		Iodine
			Iron	F	F	Insectiphile		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Iron			RENEW	Good		Iron
			Magnesium	F	F	Iodine		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Magnesium			RENEW	Good		Magnesium
			Manganese	F	F	Iron		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Manganese			RENEW	Good		Manganese
			Molybdenum	F	F	Irritant		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Molybdenum			RENEW	Good		Molybdenum
			Phosphorus	F	F	Juvabional		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Phosphorus			RENEW	Good		Phosphorus
			Potassium	F	F	L. Braziliensis		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Potassium			RENEW	Good		Potassium
			Selenium	F	F	Larvicide		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Selenium			RENEW	Good		Selenium
			Sodium	F	F	Laxative		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Sodium			RENEW	Good		Sodium
			Sulphur	F	F	lipid anchor in biomembranes		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Sulphur			RENEW	Good		Sulphur
			Zinc	F	F	Lipolytic		Cellular Nutrition	Nutritive | Mineral			Nutrient Deficiency | Mineral: Zinc			RENEW	Good		Zinc
			Omega-3: Alpha-linolenic Acid (18:3)	F	F	Magnesium		Cellular Nutrition	Nutritive | Omega-3			Nutrient Deficiency | Omega-3: Alpha-linolenic Acid (18:3)			RENEW	Good		Omega-3: Alpha-linolenic Acid (18:3)
			Omega-3: Docosaehexaenoic Acid (Dha, 22:6)	F	F	Manganese		Cellular Nutrition	Nutritive | Omega-3			Nutrient Deficiency | Omega-3: Docosaehexaenoic Acid (Dha, 22:6)			RENEW	Good		Omega-3: Docosaehexaenoic Acid (Dha, 22:6)
			Omega-3: Docosapentaenoic Acid (22:5)	F	F	Molybdenum		Cellular Nutrition	Nutritive | Omega-3			Nutrient Deficiency | Omega-3: Docosapentaenoic Acid (22:5)			RENEW	Good		Omega-3: Docosapentaenoic Acid (22:5)
			Omega-3: Eicosapentaenoic Acid (Epa, 20:5)	F	F	Motor-Depressant		Cellular Nutrition	Nutritive | Omega-3			Nutrient Deficiency | Omega-3: Eicosapentaenoic Acid (Epa, 20:5)			RENEW	Good		Omega-3: Eicosapentaenoic Acid (Epa, 20:5)
			Omega-3: Eicosatetraenoic Acid (20:4)	F	F	Myorelaxant		Cellular Nutrition	Nutritive | Omega-3			Nutrient Deficiency | Omega-3: Eicosatetraenoic Acid (20:4)			RENEW	Good		Omega-3: Eicosatetraenoic Acid (20:4)
			Omega-3: Stearidonic Acid (18:4)	F	F	Nematicide		Cellular Nutrition	Nutritive | Omega-3			Nutrient Deficiency | Omega-3: Stearidonic Acid (18:4)			RENEW	Good		Omega-3: Stearidonic Acid (18:4)
			Omega-6: Adrenic Acid (22:4)	F	F	Nephrotoxicity		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Adrenic Acid (22:4)			RENEW	Good		Omega-6: Adrenic Acid (22:4)
			Omega-6: Arachidonic Acid (Aa, Ara) (20:4)	F	F	Neurotoxic		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Arachidonic Acid (Aa, Ara) (20:4)			RENEW	Good		Omega-6: Arachidonic Acid (Aa, Ara) (20:4)
			Omega-6: Calendic Acid (18:3)	F	F	NO-genic		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Calendic Acid (18:3)			RENEW	Good		Omega-6: Calendic Acid (18:3)
			Omega-6: Dihomo-vamma-linolenic Acid (Dgla) (20:3)	F	F	Occuloirritant		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Dihomo-vamma-linolenic Acid (Dgla) (20:3)			RENEW	Good		Omega-6: Dihomo-vamma-linolenic Acid (Dgla) (20:3)
			Omega-6: Docosadienoic Acid (22:2)	F	F	Omega-3: Alpha-linolenic Acid (18:3)		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Docosadienoic Acid (22:2)			RENEW	Good		Omega-6: Docosadienoic Acid (22:2)
			Omega-6: Eicosadienoic Acid (20:2)	F	F	Omega-3: Docosaehexaenoic Acid (Dha, 22:6)		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Eicosadienoic Acid (20:2)			RENEW	Good		Omega-6: Eicosadienoic Acid (20:2)
			Omega-6: Gamma-linolenic Acid (Gla) (18:3)	F	F	Omega-3: Docosapentaenoic Acid (22:5)		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Gamma-linolenic Acid (Gla) (18:3)			RENEW	Good		Omega-6: Gamma-linolenic Acid (Gla) (18:3)
			Omega-6: Linoleic Acid (La) (18:2)	F	F	Omega-3: Eicosapentaenoic Acid (Epa, 20:5)		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Linoleic Acid (La) (18:2)			RENEW	Good		Omega-6: Linoleic Acid (La) (18:2)
			Omega-6: Osbond Acid (22:50	F	F	Omega-3: Eicosatetraenoic Acid (20:4)		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Osbond Acid (22:50			RENEW	Good		Omega-6: Osbond Acid (22:50
			Omega-6: Tetracosapentaenoic Acid (24:5)	F	F	Omega-3: Stearidonic Acid (18:4)		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Tetracosapentaenoic Acid (24:5)			RENEW	Good		Omega-6: Tetracosapentaenoic Acid (24:5)
			Omega-6: Tetracosatetraenoic Acid (24:4)	F	F	Omega-6: Adrenic Acid (22:4)		Cellular Nutrition	Nutritive | Omega-6			Nutrient Deficiency | Omega-6: Tetracosatetraenoic Acid (24:4)			RENEW	Good		Omega-6: Tetracosatetraenoic Acid (24:4)
			Omega-9: Elaidic Acid (18:1)	F	F	Omega-6: Arachidonic Acid (Aa, Ara) (20:4)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Elaidic Acid (18:1)			RENEW	Good		Omega-9: Elaidic Acid (18:1)
			Omega-9: Erucic Acid (22:1)	F	F	Omega-6: Calendic Acid (18:3)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Erucic Acid (22:1)			RENEW	Good		Omega-9: Erucic Acid (22:1)
			Omega-9: Gondoic Acid (20:1)	F	F	Omega-6: Dihomo-vamma-linolenic Acid (Dgla) (20:3)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Gondoic Acid (20:1)			RENEW	Good		Omega-9: Gondoic Acid (20:1)
			Omega-9: Mead Acid (20:3)	F	F	Omega-6: Docosadienoic Acid (22:2)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Mead Acid (20:3)			RENEW	Good		Omega-9: Mead Acid (20:3)
			Omega-9: Nervonic Acid (24:1)	F	F	Omega-6: Eicosadienoic Acid (20:2)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Nervonic Acid (24:1)			RENEW	Good		Omega-9: Nervonic Acid (24:1)
			Omega-9: Oleic Acid (18:1)	F	F	Omega-6: Gamma-linolenic Acid (Gla) (18:3)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Oleic Acid (18:1)			RENEW	Good		Omega-9: Oleic Acid (18:1)
			Omega-9: Palmitic Acid C16:0 14%	F	F	Omega-6: Linoleic Acid (La) (18:2)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Palmitic Acid C16:0 14%			RENEW	Good		Omega-9: Palmitic Acid C16:0 14%
			Omega-9: Stearic Acid C18:1 36%	F	F	Omega-6: Osbond Acid (22:50		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Stearic Acid C18:1 36%			RENEW	Good		Omega-9: Stearic Acid C18:1 36%
			Omega-9: Ximenic Acid (26:1)	F	F	Omega-6: Tetracosapentaenoic Acid (24:5)		Cellular Nutrition	Nutritive | Omega-9			Nutrient Deficiency | Omega-9: Ximenic Acid (26:1)			RENEW	Good		Omega-9: Ximenic Acid (26:1)
			Vitamin A: Retinol	F	F	Omega-6: Tetracosatetraenoic Acid (24:4)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin A: Retinol			RENEW	Good		Vitamin A: Retinol
			Vitamin B1: Thiamine	F	F	Omega-9: Elaidic Acid (18:1)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B1: Thiamine			RENEW	Good		Vitamin B1: Thiamine
			Vitamin B12: Cobalamin	F	F	Omega-9: Erucic Acid (22:1)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B12: Cobalamin			RENEW	Good		Vitamin B12: Cobalamin
			Vitamin B2: Riboflavin	F	F	Omega-9: Gondoic Acid (20:1)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B2: Riboflavin			RENEW	Good		Vitamin B2: Riboflavin
			Vitamin B3: Niacin	F	F	Omega-9: Mead Acid (20:3)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B3: Niacin			RENEW	Good		Vitamin B3: Niacin
			Vitamin B5: Pantothenic Acid	F	F	Omega-9: Nervonic Acid (24:1)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B5: Pantothenic Acid			RENEW	Good		Vitamin B5: Pantothenic Acid
			Vitamin B6: Pyroxidine	F	F	Omega-9: Oleic Acid (18:1)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B6: Pyroxidine			RENEW	Good		Vitamin B6: Pyroxidine
			Vitamin B7: Biotin	F	F	Omega-9: Palmitic Acid C16:0 14%		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B7: Biotin			RENEW	Good		Vitamin B7: Biotin
			Vitamin B9: Folate	F	F	Omega-9: Stearic Acid C18:1 36%		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin B9: Folate			RENEW	Good		Vitamin B9: Folate
			Vitamin C: Ascorbic acid (C6H8O6)	F	F	Omega-9: Ximenic Acid (26:1)		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin C: Ascorbic acid (C6H8O6)			RENEW	Good		Vitamin C: Ascorbic acid (C6H8O6)
			Vitamin E: Tocopherols	F	F	Optical toxicity		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin E: Tocopherols			RENEW	Good		Vitamin E: Tocopherols
