"Status of existing checking account";"Duration in months";"Credit history";"Purpose";"Credit amount";"Savings account/bonds";"Present employment since";"Installment rate in percentage of disposable income";"Personal status and sex";"Other debtors / guarantors";"Present residence since";"Property";"Age in years";"Other installment plans";"Housing";"Number of existing credits at this bank";"Job";"Number of people being liable to provide maintenance for";"Telephone";"Foreign worker";"Score"
"0 - 200";15;"existing credits paid back duly till now";"radio/television";802;"less than 100";"more than 7 years";4;"male (single)";"none";3;"car or other";37;"none";"own";1;"skilled employee / official";2;"none";"Yes";"bad"
"No checking account";36;"critical account/ other credits existing (not at this bank)";"business";6304;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"real estate";36;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";24;"existing credits paid back duly till now";"radio/television";1533;"less than 100";"less than 1 year";4;"female (divorced/separated/married)";"none";3;"car or other";38;"stores";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";14;"existing credits paid back duly till now";"car (new)";8978;"less than 100";"more than 7 years";1;"male (divorced/separated)";"none";4;"building society savings agreement/ life insurance";45;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"No";"bad"
"No checking account";24;"existing credits paid back duly till now";"radio/television";999;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";2;"car or other";25;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";18;"existing credits paid back duly till now";"car (new)";2662;"unknown / no savings account";"4 to 7 years";4;"male (single)";"none";3;"building society savings agreement/ life insurance";32;"none";"own";1;"skilled employee / official";1;"none";"No";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"furniture/equipment";1402;"500 to 1000";"4 to 7 years";3;"female (divorced/separated/married)";"none";4;"car or other";37;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";48;"all credits at this bank paid back duly";"car (new)";12169;"unknown / no savings account";"Unemployed";4;"male (single)";"co-Applicant";4;"unknown / no property";36;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";48;"existing credits paid back duly till now";"radio/television";3060;"less than 100";"4 to 7 years";4;"male (single)";"none";4;"real estate";28;"none";"own";2;"skilled employee / official";1;"none";"Yes";"bad"
"Negative";30;"existing credits paid back duly till now";"repairs";11998;"less than 100";"less than 1 year";1;"male (divorced/separated)";"none";1;"unknown / no property";34;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";9;"existing credits paid back duly till now";"radio/television";2697;"less than 100";"1 to 4 years";1;"male (single)";"none";2;"real estate";32;"none";"own";1;"skilled employee / official";2;"none";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"radio/television";2404;"less than 100";"1 to 4 years";2;"female (divorced/separated/married)";"none";2;"car or other";26;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"Negative";12;"existing credits paid back duly till now";"furniture/equipment";1262;"unknown / no savings account";"more than 7 years";2;"male (divorced/separated)";"none";4;"building society savings agreement/ life insurance";49;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";6;"existing credits paid back duly till now";"furniture/equipment";4611;"less than 100";"less than 1 year";1;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";32;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";24;"existing credits paid back duly till now";"radio/television";1901;"100 to 500";"1 to 4 years";4;"male (single)";"none";4;"car or other";29;"none";"rent";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";15;"critical account/ other credits existing (not at this bank)";"car (used)";3368;"more than 1000";"more than 7 years";3;"male (single)";"none";4;"unknown / no property";23;"none";"rent";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"existing credits paid back duly till now";"furniture/equipment";1574;"less than 100";"1 to 4 years";4;"male (single)";"none";2;"real estate";50;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Over 200";18;"all credits at this bank paid back duly";"radio/television";1445;"unknown / no savings account";"4 to 7 years";4;"male (single)";"none";4;"car or other";49;"bank";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"No checking account";15;"critical account/ other credits existing (not at this bank)";"furniture/equipment";1520;"unknown / no savings account";"more than 7 years";4;"male (single)";"none";4;"building society savings agreement/ life insurance";63;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";24;"critical account/ other credits existing (not at this bank)";"car (new)";3878;"100 to 500";"less than 1 year";4;"male (divorced/separated)";"none";2;"car or other";37;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";47;"existing credits paid back duly till now";"car (new)";10722;"less than 100";"less than 1 year";1;"female (divorced/separated/married)";"none";1;"real estate";35;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"good"
"Negative";48;"existing credits paid back duly till now";"car (used)";4788;"less than 100";"4 to 7 years";4;"male (single)";"none";3;"building society savings agreement/ life insurance";26;"none";"own";1;"skilled employee / official";2;"none";"Yes";"good"
"0 - 200";48;"delay in paying off in the past";"others";7582;"100 to 500";"Unemployed";2;"male (single)";"none";4;"unknown / no property";31;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"radio/television";1092;"less than 100";"1 to 4 years";4;"female (divorced/separated/married)";"guarantor";4;"real estate";49;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";24;"delay in paying off in the past";"radio/television";1024;"less than 100";"less than 1 year";4;"male (married/widowed)";"none";4;"real estate";48;"stores";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";12;"existing credits paid back duly till now";"business";1076;"less than 100";"1 to 4 years";2;"male (married/widowed)";"none";2;"real estate";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"No";"good"
"0 - 200";36;"existing credits paid back duly till now";"car (used)";9398;"less than 100";"less than 1 year";1;"male (married/widowed)";"none";4;"car or other";28;"none";"rent";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"Negative";24;"critical account/ other credits existing (not at this bank)";"car (used)";6419;"less than 100";"more than 7 years";2;"female (divorced/separated/married)";"none";4;"unknown / no property";44;"none";"for free";2;"management / self-employed / highly qualified employee / officer";2;"yes, registered under the customers name";"Yes";"good"
"Over 200";42;"critical account/ other credits existing (not at this bank)";"car (used)";4796;"less than 100";"more than 7 years";4;"male (single)";"none";4;"unknown / no property";56;"none";"for free";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";48;"critical account/ other credits existing (not at this bank)";"business";7629;"unknown / no savings account";"more than 7 years";4;"male (divorced/separated)";"none";2;"car or other";46;"bank";"own";2;"management / self-employed / highly qualified employee / officer";2;"none";"Yes";"good"
"0 - 200";48;"existing credits paid back duly till now";"furniture/equipment";9960;"less than 100";"less than 1 year";1;"female (divorced/separated/married)";"none";2;"car or other";26;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";12;"existing credits paid back duly till now";"car (used)";4675;"unknown / no savings account";"less than 1 year";1;"female (divorced/separated/married)";"none";4;"car or other";20;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";10;"existing credits paid back duly till now";"car (new)";1287;"unknown / no savings account";"more than 7 years";4;"male (single)";"co-Applicant";2;"building society savings agreement/ life insurance";45;"none";"own";1;"unskilled - resident";1;"none";"No";"good"
"No checking account";18;"existing credits paid back duly till now";"furniture/equipment";2515;"less than 100";"1 to 4 years";3;"male (single)";"none";4;"real estate";43;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";21;"critical account/ other credits existing (not at this bank)";"furniture/equipment";2745;"more than 1000";"4 to 7 years";3;"male (single)";"none";2;"car or other";32;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";6;"existing credits paid back duly till now";"car (new)";672;"less than 100";"Unemployed";1;"female (divorced/separated/married)";"none";4;"real estate";54;"none";"own";1;"unemployed / unskilled - non-resident";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";36;"no credits taken / all credits paid back duly";"radio/television";3804;"less than 100";"1 to 4 years";4;"female (divorced/separated/married)";"none";1;"car or other";42;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"Over 200";24;"critical account/ other credits existing (not at this bank)";"car (new)";1344;"unknown / no savings account";"4 to 7 years";4;"male (single)";"none";2;"real estate";37;"bank";"own";2;"unskilled - resident";2;"none";"Yes";"bad"
"Negative";10;"critical account/ other credits existing (not at this bank)";"car (new)";1038;"less than 100";"4 to 7 years";4;"male (single)";"co-Applicant";3;"building society savings agreement/ life insurance";49;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";48;"critical account/ other credits existing (not at this bank)";"car (new)";10127;"500 to 1000";"1 to 4 years";2;"male (single)";"none";2;"unknown / no property";44;"bank";"for free";1;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";6;"existing credits paid back duly till now";"furniture/equipment";1543;"more than 1000";"1 to 4 years";4;"male (divorced/separated)";"none";2;"real estate";33;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";30;"existing credits paid back duly till now";"car (used)";4811;"unknown / no savings account";"4 to 7 years";2;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";24;"stores";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"Negative";12;"existing credits paid back duly till now";"radio/television";727;"100 to 500";"less than 1 year";4;"male (married/widowed)";"none";3;"unknown / no property";33;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";8;"existing credits paid back duly till now";"furniture/equipment";1237;"less than 100";"1 to 4 years";3;"female (divorced/separated/married)";"none";4;"real estate";24;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"0 - 200";9;"existing credits paid back duly till now";"car (new)";276;"less than 100";"1 to 4 years";4;"male (married/widowed)";"none";4;"real estate";22;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";48;"existing credits paid back duly till now";"others";5381;"unknown / no savings account";"Unemployed";3;"male (single)";"none";4;"unknown / no property";40;"bank";"for free";1;"unemployed / unskilled - non-resident";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";24;"existing credits paid back duly till now";"furniture/equipment";5511;"100 to 500";"1 to 4 years";4;"male (single)";"none";1;"car or other";25;"stores";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Over 200";24;"existing credits paid back duly till now";"furniture/equipment";3749;"less than 100";"less than 1 year";2;"female (divorced/separated/married)";"none";4;"car or other";26;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";12;"existing credits paid back duly till now";"car (new)";685;"less than 100";"4 to 7 years";2;"male (married/widowed)";"none";3;"car or other";25;"bank";"own";1;"unskilled - resident";1;"none";"Yes";"bad"
"Over 200";4;"existing credits paid back duly till now";"car (new)";1494;"unknown / no savings account";"less than 1 year";1;"male (single)";"none";2;"real estate";29;"none";"own";1;"unskilled - resident";2;"none";"No";"good"
"Negative";36;"all credits at this bank paid back duly";"furniture/equipment";2746;"less than 100";"more than 7 years";4;"male (single)";"none";4;"car or other";31;"bank";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"Negative";12;"existing credits paid back duly till now";"furniture/equipment";708;"less than 100";"1 to 4 years";2;"male (single)";"guarantor";3;"building society savings agreement/ life insurance";38;"none";"own";1;"unskilled - resident";2;"none";"Yes";"good"
"0 - 200";24;"existing credits paid back duly till now";"furniture/equipment";4351;"unknown / no savings account";"1 to 4 years";1;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";48;"none";"own";1;"unskilled - resident";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"education";701;"less than 100";"1 to 4 years";4;"male (single)";"none";2;"car or other";32;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"Negative";15;"delay in paying off in the past";"furniture/equipment";3643;"less than 100";"more than 7 years";1;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";27;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";30;"critical account/ other credits existing (not at this bank)";"car (new)";4249;"less than 100";"Unemployed";4;"male (married/widowed)";"none";2;"car or other";28;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"bad"
"Negative";24;"existing credits paid back duly till now";"radio/television";1938;"less than 100";"less than 1 year";4;"male (divorced/separated)";"none";3;"building society savings agreement/ life insurance";32;"none";"own";1;"skilled employee / official";1;"none";"Yes";"bad"
"Negative";24;"existing credits paid back duly till now";"car (used)";2910;"less than 100";"4 to 7 years";2;"male (single)";"none";1;"unknown / no property";34;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"Negative";18;"existing credits paid back duly till now";"furniture/equipment";2659;"more than 1000";"1 to 4 years";4;"male (single)";"none";2;"car or other";28;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"car (new)";1028;"less than 100";"1 to 4 years";4;"female (divorced/separated/married)";"none";3;"real estate";36;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"Negative";8;"critical account/ other credits existing (not at this bank)";"car (new)";3398;"less than 100";"4 to 7 years";1;"male (single)";"none";4;"real estate";39;"none";"own";2;"unskilled - resident";1;"none";"No";"good"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"furniture/equipment";5801;"unknown / no savings account";"more than 7 years";2;"male (single)";"none";4;"building society savings agreement/ life insurance";49;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";24;"existing credits paid back duly till now";"car (new)";1525;"more than 1000";"4 to 7 years";4;"female (divorced/separated/married)";"none";3;"car or other";34;"none";"own";1;"skilled employee / official";2;"yes, registered under the customers name";"Yes";"good"
"Over 200";36;"existing credits paid back duly till now";"radio/television";4473;"less than 100";"more than 7 years";4;"male (single)";"none";2;"car or other";31;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";6;"existing credits paid back duly till now";"radio/television";1068;"less than 100";"more than 7 years";4;"male (single)";"none";4;"car or other";28;"none";"own";1;"skilled employee / official";2;"none";"Yes";"good"
"Negative";24;"critical account/ other credits existing (not at this bank)";"car (used)";6615;"less than 100";"Unemployed";2;"male (single)";"none";4;"unknown / no property";75;"none";"for free";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"education";1864;"100 to 500";"1 to 4 years";4;"female (divorced/separated/married)";"none";2;"real estate";30;"none";"own";2;"skilled employee / official";1;"none";"Yes";"bad"
"0 - 200";60;"existing credits paid back duly till now";"car (new)";7408;"100 to 500";"less than 1 year";4;"female (divorced/separated/married)";"none";2;"building society savings agreement/ life insurance";24;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"bad"
"No checking account";48;"critical account/ other credits existing (not at this bank)";"car (used)";11590;"100 to 500";"1 to 4 years";2;"female (divorced/separated/married)";"none";4;"car or other";24;"bank";"rent";2;"unskilled - resident";1;"none";"Yes";"bad"
"Negative";24;"no credits taken / all credits paid back duly";"furniture/equipment";4110;"less than 100";"more than 7 years";3;"male (single)";"none";4;"unknown / no property";23;"bank";"rent";2;"skilled employee / official";2;"none";"Yes";"bad"
"Negative";6;"critical account/ other credits existing (not at this bank)";"furniture/equipment";3384;"less than 100";"1 to 4 years";1;"male (divorced/separated)";"none";4;"real estate";44;"none";"rent";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"0 - 200";13;"existing credits paid back duly till now";"radio/television";2101;"less than 100";"less than 1 year";2;"female (divorced/separated/married)";"guarantor";4;"building society savings agreement/ life insurance";23;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"Negative";15;"existing credits paid back duly till now";"domestic appliances";1275;"unknown / no savings account";"1 to 4 years";4;"female (divorced/separated/married)";"none";2;"car or other";24;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"bad"
"Negative";24;"existing credits paid back duly till now";"furniture/equipment";4169;"less than 100";"1 to 4 years";4;"male (single)";"none";4;"building society savings agreement/ life insurance";28;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";10;"existing credits paid back duly till now";"furniture/equipment";1521;"less than 100";"1 to 4 years";4;"male (divorced/separated)";"none";2;"car or other";31;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";24;"critical account/ other credits existing (not at this bank)";"education";5743;"less than 100";"less than 1 year";2;"female (divorced/separated/married)";"none";4;"unknown / no property";24;"none";"for free";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"Negative";21;"existing credits paid back duly till now";"furniture/equipment";3599;"less than 100";"4 to 7 years";1;"female (divorced/separated/married)";"none";4;"car or other";26;"none";"rent";1;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";18;"existing credits paid back duly till now";"radio/television";3213;"500 to 1000";"less than 1 year";1;"male (married/widowed)";"none";3;"real estate";25;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";18;"existing credits paid back duly till now";"business";4439;"less than 100";"more than 7 years";1;"male (single)";"co-Applicant";1;"real estate";33;"bank";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"Over 200";10;"existing credits paid back duly till now";"car (new)";3949;"less than 100";"less than 1 year";1;"male (single)";"guarantor";1;"building society savings agreement/ life insurance";37;"none";"own";1;"unskilled - resident";2;"none";"Yes";"good"
"No checking account";15;"critical account/ other credits existing (not at this bank)";"radio/television";1459;"less than 100";"1 to 4 years";4;"female (divorced/separated/married)";"none";2;"car or other";43;"none";"own";1;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";13;"critical account/ other credits existing (not at this bank)";"radio/television";882;"less than 100";"less than 1 year";4;"male (single)";"guarantor";4;"real estate";23;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";24;"existing credits paid back duly till now";"radio/television";3758;"500 to 1000";"Unemployed";1;"female (divorced/separated/married)";"none";4;"unknown / no property";23;"none";"rent";1;"unemployed / unskilled - non-resident";1;"none";"Yes";"good"
"No checking account";6;"delay in paying off in the past";"business";1743;"100 to 500";"1 to 4 years";1;"male (single)";"none";2;"real estate";34;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"0 - 200";9;"critical account/ other credits existing (not at this bank)";"education";1136;"more than 1000";"more than 7 years";4;"male (single)";"none";3;"unknown / no property";32;"none";"for free";2;"skilled employee / official";2;"none";"Yes";"bad"
"No checking account";9;"existing credits paid back duly till now";"domestic appliances";1236;"less than 100";"less than 1 year";1;"female (divorced/separated/married)";"none";4;"real estate";23;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";9;"existing credits paid back duly till now";"furniture/equipment";959;"less than 100";"1 to 4 years";1;"female (divorced/separated/married)";"none";2;"car or other";29;"none";"own";1;"skilled employee / official";1;"none";"No";"bad"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"car (used)";3229;"unknown / no savings account";"Unemployed";2;"male (single)";"none";4;"unknown / no property";38;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"Negative";12;"no credits taken / all credits paid back duly";"radio/television";6199;"less than 100";"1 to 4 years";4;"male (single)";"none";2;"building society savings agreement/ life insurance";28;"none";"rent";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";10;"existing credits paid back duly till now";"education";727;"500 to 1000";"more than 7 years";4;"male (single)";"none";4;"unknown / no property";46;"none";"for free";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";24;"existing credits paid back duly till now";"car (new)";1246;"less than 100";"less than 1 year";4;"male (single)";"none";2;"real estate";23;"stores";"own";1;"unskilled - resident";1;"none";"Yes";"bad"
"No checking account";12;"critical account/ other credits existing (not at this bank)";"radio/television";2331;"unknown / no savings account";"more than 7 years";1;"male (single)";"co-Applicant";4;"real estate";49;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";36;"delay in paying off in the past";"radio/television";4463;"less than 100";"1 to 4 years";4;"male (single)";"none";2;"car or other";26;"none";"own";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";12;"existing credits paid back duly till now";"radio/television";776;"less than 100";"1 to 4 years";4;"male (married/widowed)";"none";2;"real estate";28;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";30;"existing credits paid back duly till now";"furniture/equipment";2406;"less than 100";"4 to 7 years";4;"female (divorced/separated/married)";"none";4;"real estate";23;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"bad"
"0 - 200";18;"existing credits paid back duly till now";"education";1239;"unknown / no savings account";"1 to 4 years";4;"male (single)";"none";4;"unknown / no property";61;"none";"for free";1;"skilled employee / official";1;"none";"Yes";"good"
"Over 200";12;"existing credits paid back duly till now";"radio/television";3399;"unknown / no savings account";"more than 7 years";2;"male (single)";"none";3;"car or other";37;"none";"own";1;"management / self-employed / highly qualified employee / officer";1;"none";"Yes";"good"
"Over 200";12;"delay in paying off in the past";"car (new)";2247;"less than 100";"1 to 4 years";2;"female (divorced/separated/married)";"none";2;"car or other";36;"stores";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";6;"existing credits paid back duly till now";"furniture/equipment";1766;"less than 100";"1 to 4 years";1;"male (married/widowed)";"none";2;"building society savings agreement/ life insurance";21;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";18;"existing credits paid back duly till now";"furniture/equipment";2473;"less than 100";"Unemployed";4;"male (single)";"none";1;"car or other";25;"none";"own";1;"unemployed / unskilled - non-resident";1;"none";"Yes";"bad"
"No checking account";12;"existing credits paid back duly till now";"business";1542;"less than 100";"4 to 7 years";2;"male (single)";"none";4;"car or other";36;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"car (used)";3850;"less than 100";"4 to 7 years";3;"male (single)";"none";1;"car or other";27;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"Negative";18;"existing credits paid back duly till now";"furniture/equipment";3650;"less than 100";"less than 1 year";1;"female (divorced/separated/married)";"none";4;"car or other";22;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"Negative";36;"existing credits paid back duly till now";"furniture/equipment";3446;"less than 100";"more than 7 years";4;"male (single)";"none";2;"car or other";42;"none";"own";1;"skilled employee / official";2;"none";"Yes";"bad"
"0 - 200";18;"existing credits paid back duly till now";"furniture/equipment";3001;"less than 100";"4 to 7 years";2;"female (divorced/separated/married)";"none";4;"real estate";40;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";36;"existing credits paid back duly till now";"car (new)";3079;"unknown / no savings account";"1 to 4 years";4;"male (single)";"none";4;"real estate";36;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"radio/television";6070;"less than 100";"more than 7 years";3;"male (single)";"none";4;"car or other";33;"none";"own";2;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"No checking account";10;"critical account/ other credits existing (not at this bank)";"furniture/equipment";2146;"less than 100";"less than 1 year";1;"female (divorced/separated/married)";"none";3;"real estate";23;"none";"rent";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";60;"critical account/ other credits existing (not at this bank)";"car (new)";13756;"unknown / no savings account";"more than 7 years";2;"male (single)";"none";4;"unknown / no property";63;"bank";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";60;"all credits at this bank paid back duly";"others";14782;"100 to 500";"more than 7 years";3;"female (divorced/separated/married)";"none";4;"unknown / no property";60;"bank";"for free";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"Negative";48;"all credits at this bank paid back duly";"business";7685;"less than 100";"4 to 7 years";2;"female (divorced/separated/married)";"guarantor";4;"car or other";37;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"bad"
"No checking account";18;"delay in paying off in the past";"radio/television";2320;"less than 100";"Unemployed";2;"male (married/widowed)";"none";3;"real estate";34;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";7;"delay in paying off in the past";"radio/television";846;"unknown / no savings account";"more than 7 years";3;"male (single)";"none";4;"unknown / no property";36;"none";"for free";1;"skilled employee / official";1;"none";"Yes";"good"
"0 - 200";36;"existing credits paid back duly till now";"car (new)";14318;"less than 100";"more than 7 years";4;"male (single)";"none";2;"unknown / no property";57;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";6;"critical account/ other credits existing (not at this bank)";"car (new)";362;"100 to 500";"1 to 4 years";4;"female (divorced/separated/married)";"none";4;"car or other";52;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"Negative";20;"existing credits paid back duly till now";"furniture/equipment";2212;"unknown / no savings account";"4 to 7 years";4;"male (single)";"none";4;"car or other";39;"none";"own";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";18;"existing credits paid back duly till now";"car (used)";12976;"less than 100";"Unemployed";3;"female (divorced/separated/married)";"none";4;"unknown / no property";38;"none";"for free";1;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"bad"
"No checking account";22;"existing credits paid back duly till now";"car (new)";1283;"unknown / no savings account";"4 to 7 years";4;"female (divorced/separated/married)";"none";4;"building society savings agreement/ life insurance";25;"none";"rent";1;"skilled employee / official";1;"none";"Yes";"good"
"Over 200";12;"existing credits paid back duly till now";"car (new)";1330;"less than 100";"less than 1 year";4;"male (single)";"none";1;"real estate";26;"none";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";30;"delay in paying off in the past";"business";4272;"100 to 500";"1 to 4 years";2;"male (single)";"none";2;"building society savings agreement/ life insurance";26;"none";"own";2;"unskilled - resident";1;"none";"Yes";"good"
"No checking account";18;"critical account/ other credits existing (not at this bank)";"radio/television";2238;"less than 100";"1 to 4 years";2;"female (divorced/separated/married)";"none";1;"car or other";25;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";18;"existing credits paid back duly till now";"radio/television";1126;"unknown / no savings account";"less than 1 year";4;"female (divorced/separated/married)";"none";2;"real estate";21;"none";"rent";1;"skilled employee / official";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";18;"critical account/ other credits existing (not at this bank)";"furniture/equipment";7374;"less than 100";"Unemployed";4;"male (single)";"none";4;"building society savings agreement/ life insurance";40;"stores";"own";2;"management / self-employed / highly qualified employee / officer";1;"yes, registered under the customers name";"Yes";"good"
"0 - 200";15;"critical account/ other credits existing (not at this bank)";"business";2326;"500 to 1000";"1 to 4 years";2;"male (single)";"none";4;"car or other";27;"bank";"own";1;"skilled employee / official";1;"none";"Yes";"good"
"No checking account";9;"existing credits paid back duly till now";"business";1449;"less than 100";"4 to 7 years";3;"female (divorced/separated/married)";"none";2;"car or other";27;"none";"own";2;"skilled employee / official";1;"none";"Yes";"good"
