PMCID	raw_table_number	raw_filename 	raw_table_title	extracted_subtable_name 	matches20191121	matches20191121_notes	matches20191121_compound	matches20191121_percent	original composition	extracted compoisition	error* (optional column)	graphic_table	compound_col_name	percent_col_name 	additional_percent_col_names	notes	FN	FP
PMC5909600	TN					FP - table:  Chemical composition and fatty acid concentrations in breast meat in broiler chickens fed diets without fat supplementation or supplemented with rapeseed oil, lard, or palm oil.										No EO composition is in article.		
PMC5918559	Table 1	table_1.xml	Relative percentage (%) of compounds from essential oils det ... 	FN	FN		FN	FN	BODY 46 FOOTER 2	Not extracted.			FN	FN		Percent titles are not regular. 	Component ; C. aurantifolia  ; A. nobilis  ; L. officinalis	
PMC5919639	TN																	
PMC5920421	TN																	
PMC5920425	TN					FP - table:  Major and trace elements composition of Terminalia ferdinandiana kernels (mg/100 g DW); table:  Proximate composition of Terminalia ferdinandiana kernels.												
PMC5921405	Table 1	table_1.xml	Chemical compositions of myrtle essential oil	FN	FN		FN	FN	BODY 30 FOOTER 0	Not extracted.		YES	FN	FN		No EO table is extracted.	Compound ; Percentage	
PMC5923693	TN																	
PMC5925846	TN					FP - table:  Effects of capsicum oleoresin, carvacrol, cinnamaldehyde and their mixtures added to broilers’ mixed feed on the composition of fatty acids in the breast meat (x ± SEM) table:  Effects of capsicum oleoresin, carvacrol, cinnamaldehyde and their mixtures added to broilers’ mixed feed on the composition of fatty acids in leg meat (x ± SEM) table:  Ingredients and chemical composition of experimental diets (as-fed basis)												
PMC5933010	Table 2	table_2.xml	Chemical composition of MPEO by GC/MS	composition_extracted_1.html					BODY 10 FOOTER 1	BODY 10 FOOTER 1			Compound	Relative %				
PMC5933022	TN																	
PMC5933509	TN																	
PMC5933692	Table 1	table_1.xml	Essential oil composition of G. rosmarinifolia. Compounds be ...	composition_extracted_1.html					BODY 34 FOOTER 1	Not extracted.			Compound	Relative amount (%)				
PMC5937097	Table 1	table_1.xml	Chemical composition of the essential oil of Piper tubercula ... 	composition_extracted_1.html					BODY 15 FOOTER 1	BODY 16 FOOTER 0*			Components	(%)				
PMC5937106	Table 1	table_1.xml	Comparative percentage composition of the stem, leaf and flo ...	composition_extracted_1.html					BODY 69 FOOTER 6	BODY 69 FOOTER 6			Compoundsa		Stem Oil (%) ; Leaf Oil (%) ; Flower Oil (%)	Three EO tables are there. Three EO profiles.		
PMC5937106	Table 2	table_2.xml	Comparative percentage composition of the stem, leaf and roo ... 	composition_extracted_2.html					BODY 59 FOOTER 6	BODY 59 FOOTER 6			Compoundsa	(%)		Three EO tables are there.		
PMC5937106	Table 3	table_3.xml	Percentage composition of the leaf oil of Ajuga chamaecistus	composition_extracted_3.html					BODY 68 FOOTER 6	BODY 68 FOOTER 6			Compoundsa		StemOil(%) ; LeafOil (%) ; FlowerOil(%)	Three EO tables are there. Three EO profiles.		
PMC5938542	Table 1	table_1.xml	Chemical composition of Pinus roxburghii essential oil	FN	FN		FN 	FN	BODY 55 FOOTER 1	Not extracted.		YES	FN	FN		No EO table is extracted.	Composition ; Composition (%)	
PMC5940754	Table 1	table_1.xml	Chemical composition of S. guianensis essentials oil samples ... 	composition_extracted_1.html			FN 	FN	BODY 20 FOOTER 1	BODY 20 FOOTER 1			Components	FN		Multiple column header and not regular..	Gurupi 1 ( sub header is %(CG/DIC) ) ; Gurupi 2 ( sub header is % (CG/DIC) )	
PMC5945564	Table 2		Yield and volatile composition of twelve essential oil samples of P. guineense	FN			FN 	FN	BODY 96 FOOTER 1	Not extracted.			FN	FN		Table is extracted into 3_floats-group. 	Constituents (%) ; PG-01 ; PG-02 ; PG-03 ; PG-04 ; PG-05 ; PG-06 ; PG-07 ; PG-08 ; PG-09 ; PG-10 ; PG-11 ; PG-12	
PMC5946457	TN																	
PMC5947909	TN																	
PMC5952513	FN								BODY 63 FOOTER 1	Not extracted.							Components ; %RAb 	
PMC5954905	TN																	
PMC5956054	TN																	
PMC5957362	TN																	
PMC5958151	FN				FN				BODY 100 FOOTER 9	Not extracted.						EO composition is not extracted.	Compounds ; Thyme EO Bear garlic EO Peppermint EO Marjoram EO Greek oregano EO	
PMC5958191	FN				FN				BODY 30 FOOTER 0	Not extracted.						EO composition is not extracted. Percent composition is not reported.	Names	
PMC5960541	TN																	
PMC5960548	Table 1	table_1.xml	Chemical composition of Melaleuca alternifolia essential oil ... 	composition_extracted_1.html			FN		BODY 13 FOOTER 1	BODY 13 FOOTER 1			Componentsa	Composition%				
PMC5961776	TN																	
PMC5963643	Table 1	table_1.xml	Chemical composition of the essential oil from O. majorana	composition_extracted_1.html			FN		BODY 05 FOOTER 1	BODY 05 FOOTER 1			Components	Composition (%)				
PMC5964621	Table 1	table_1.xml	Compounds identified by GC-MS in essential oil	FN	FN		FN	FN	BODY 205 FOOTER 0	Not extracted.			FN	FN		Tiltles are not regular. Two EO tables are there.	Compound ; Plant species names.	
PMC5964621	Table 2	table_2.xml	Compounds identified by HPLC-ESI-MS in aqueous and alcoholic extracts.	FN	FN		FN	FN	BODY 219 FOOTER 0	Not extracted.			FN	FN		Titles are not regular. Two EO tables are there.	Compound ; Plant name	
PMC5970210	TN					FP - table:  Acaricidal activities of major components of the essential oils of M. officinalis cultivated in France, Ireland, and Serbia against D. farinae and D. pteronyssinus using a contact + fumigant toxicity bioassay.							Compounds		LD50(μg/cm2) (95% CL)a ; LD90(μg/cm2) (95% CL)a	Two EO profiles.		
PMC5974043	TN					FP - table:  Percentage and proximate composition of the experimental diets containing supplement of different PSO rate.												
PMC5977410	Table 2	table_2.xml	Chemical composition of Pistacia lentiscus essential oil	composition_extracted_1.html					BODY 89 FOOTER 6	BODY 89 FOOTER 6	Compund type - not extracted.		Compounds	Percentage (%)				
PMC5978029	TN																	
PMC5985564	TN																	
PMC5993771	Table 1	table_1.xml	Main compounds of the R. officinalis essential oil identifie ...	composition_extracted_1.html					BODY 25 FOOTER 0	BODY 25 FOOTER 0			Compound	%				
PMC5997812	Table 1	table_1.xml	Chemical profile of Cymbopogon martinii essential oil (CMEO) ...	FN	FN		FN	FN	BODY 46 FOOTER 1	Not extracted.			FN	FN		EO composition is not extracted. 	Compound ; Composition (%)	
PMC6006875	TN																	
PMC6011056	Table 1	table_1.xml	Chemical composition, retention index experimental (RIExp), ... 	composition_extracted_1.html				FN	BODY 41 FOOTER 1	BODY 41 FOOTER 1			Compounds	FN		Titles are not regular.	EOCz ; EOCc	
PMC6011059	TN																	
PMC6011244	TN					FP - table:  Composition of the experimental diets (%)												
PMC6015887	Table 1	table_1.xml	Chemical compositions of CEO.	composition_extracted_1.html			FN		BODY 04 FOOTER 0	BODY 04 FOOTER 0			Components	PA (%)				
