Compound	WIKIDATA_query_id	notes
neryl acetate	neryl acetate (Q1368877)	
nitrogen components		
non-terpene derivatives		
nona-3,5-dien-2-one		
nonadecane	Nonadecane (Q150911)	
nonanal	nonanal (Q419668)	
nonane	nonane (Q150694)	
nonyl 2-methylbutanoate		
nootkanone		
o-methoxycinnamaldehyde	(Z)-O-methoxycinnamaldehyde (Q27294323)	
ocimene (e)-β	(3E)-β-ocimene (Q26777012)	
ocimene (z)-beta	(3Z)-β-ocimene (Q26777005)	
oct-1-en-3-ol	oct-1-en-3-ol (Q161667)	
octanal	caprylaldehyde (Q416673) : n-octanal	
octanol	caprylic alcohol (Q161666) : N-Octanol	
octasiloxane,1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-		
octilin	caprylic alcohol (Q161666) : Octilin	
octyl acetate	octyl acetate (Q2173897)	
octylbutyrate		
oil yield		
oleic acidb,c		
orcinol	orcinol (Q412476)	
origanene	alpha-thujene (Q27121796) : origanene	
ortho‐cymene	o-cymene (Q27161449)	
p-allylanisole	estragole (Q419495) : 3-(p-Methoxyphenyl)propene	
p-anisaldehyde	p-anisaldehyde (Q174937)	
p-cimene	p-cymene (Q284072)	
p-cymen-7-ol		
p-cymen-8-ol	p-cymen-8-ol (Q27265496)	
p-cymene	p-cymene (Q284072)	
p-cymene-8-ol acetate		
p-cymenene	p-α-dimethyl styrene (Q27162104)	
p-isobutyltoluene		
p-menth-1-en-9-ol	p-menth-1-en-9-ol (Q27261954)	
p-menth-8-en-1,7-diol		
p-mentha-1(7),8-diene (pseudolimonene)		
p-mentha-1,4,-dien-7-ol		
p-mentha-1,5-dien-8-ol		
p-menthone	Menthone (Q54015201)	
p-methylacetophenone		
p-thymol	thymol (Q408883)	
palmitic acid	palmitic acid (Q209727)	
palmitic acidb,c		
para-cymen-7-ol		
paracymene		
para‐cymenene	p-α-dimethyl styrene (Q27162104) : Para- alpha-dimethylstyrene	
penta-1,3-diynylbenzene		
pentacosane	pentacosane (Q151007)	
pentadec-1-ene	1-pentadecene (Q3374882)	
pentadecan‐2‐one	2-pentadecanone (Q27161440)	
perillic aldehyde	perillaldehyde (Q3117895) : perillic aldehyde	
perillyl alcohol	perillyl alcohol (Q15391928)	
phellandral	phellandral (Q27285352)	
phellandranal		
phenol, 2,3,5,6-tetramethyl-		
phenol, 2-methoxy-4-(1-propenyl)-		
phenol, 2-methoxy-4-(2-propenyl)-, acetate		
phenol, 2-methyl-4-(1,1,3,3-tetramethylbutyl)-		
phenol, 3,4-dimethyl-		
phenol, m-tert-butyl-		
phenyl ethyl alcohol	phenylethyl alcohol (Q209463)	
phenylpropanoid	phenylpropanoid (Q417181)	
phenylpropanoids		
phytol	Phytol (Q415945)	
pinene	(+)-α-pinene (Q2095629)	Check for isonerism. (-)-alpha-pinene (Q300852)
pinocarvyl acetate	cis-pinocarvyl acetate (Q67879802)	Check for isonerism.
pinocarvyl cis-acetate	cis-pinocarvyl acetate (Q67879802)	Check for isonerism.
pinol		
piperitone	DL-piperitone (Q2041498)	Check for isonerism.
platambin		
prenopsan-8-ol		
prenyl angelate		
propanoic acid, 2-methyl-, octyl ester		
propyl angelate	propyl 2-methylisocrotonate (Q9615235)	
pseudolimonen		
pufa/sfa		
rose oxide	rose oxide (Q417155)	
sabinense		
safrole		
salicylaldehyde	salicylaldehyde (Q414492)	
sandaracopimaradiene	(-)sandaracopimaradiene (Q27132746)	
selin-11-en-4-alpha-ol		
selin-11-en-4-α-ol		
selin-11-en-4α-ol		
selina-3,7(11)-diene		
selina-3,7-diene		
selina-4,11-diene		
sesquisabinene a	sesquisabinene A (Q74417657)	
silane	silane (Q410572)	
silphiperfol-5-ene	7-epi-silphiperfol-5-ene (Q67879650)	Check for isonerism.
silphiperfolan-6-α-ol		
silphiperfolan-6-β-ol		
silphiperfolan-7-β-ol		
soborneol		
sobrerol	Sobrerol (Q3963210)	
sorbic acid vinyl ester	Vinyl sorbate (Q65225130)	
spatulenol		
spirolepechinene		
stearic acid	stearic acid (Q209685)	
t-anethole		
t-butylhydroquinone	tert-butylhydroquinone (Q662443)	Check for isomerism.
t-cadinol		
t-calamenene	trans-calamenene (Q67880179)	
terpene hydrocarbons:		
terpenoids	terpenoids (Q56638748)	
terpin-3-en-1-ol		
terpin-4-ol		
terpine-4-ol		
terpinen-4-ol	(+/-)-4-terpineol (Q416114)	
terpinene 4-ol	(+/-)-4-terpineol (Q416114)	
terpinene-4-ol		
terpinenol		
terpinen‐4‐ol	(+/-)-4-terpineol (Q416114)	
terpineol		
terpinolen	terpinolene (Q2405051) : TerpinolenGerman	
terpinolene	terpinolene (Q2405051)	
terpinyl acetate		
tetracosane	tetracosane (Q150988)	
tetradecane	tetradecane (Q150808)	
tetradecanoic acid	myristic acid (Q422658)	
theaspirane	Theaspirane (Q27161796)	
theaspirane b	Theaspirane (Q27161796)	
thuj-3-en-10-al		
thuja-2,4(10)-diene		
thujone	thujone (Q27121853)	
thymene		
thymol	thymol (Q408883)	
trans-2-caren-4-ol		
trans-anethole	anethole (Q255564)	
trans-ascaridol glycol		
trans-beta-ocimene	(3E)-β-ocimene (Q26777012)	
trans-cadina 1(6)-4-diene		
trans-cadina-1(6),4-diene		
trans-cadina-1,4-diene		
trans-carveolfound: trans-carvyl acetate		
trans-caryophyllene	caryophyllene (Q421614)	
trans-caryophyllene oxide		
trans-chrysanthenyl acetate		
trans-cinnamaldehyde	(E)-cinnamaldehyde (Q204036)	
trans-cinnamic acid		
trans-dihydro-α-terpineol		
trans-epoxy-ocimene		
trans-geraniol	geraniol (Q410836)	
trans-geraniol (lemonol)	nerol (Q415359) : cis-geraniol	
trans-linalool oxide	trans-linalool oxide (Q27272093)	
trans-linalool oxide (furanoid)		
trans-muurola-3,5-diene		
trans-muurola-4(14),5-diene	trans-Muurola-4(14),5-diene (Q27160518)	
trans-myrtenol		
trans-nerodilol		
trans-nerolidol		
trans-ocimene	(3E)-β-ocimene (Q26777012)	
trans-p-menth-2-en-1-ol		
trans-p-mentha-2,8-dienol		
trans-pinocamphone		
trans-pinocarveol	trans-(-)-pinocarveol (Q27156713)	
trans-pinocarveol (14.7)a. oliveriana:borneol		
trans-pinocarveol + isoamyl angelate		
trans-pinocarveole		
trans-rose oxide	trans-(+)-rose oxide (Q27162314)	
trans-sesquisabinene hydrate		
trans-thujone	β-thujone (Q27121861)	
trans-α-ambrinol		
trans-α-bergamotene	(E)-(-)-α-bergamotene (Q27132147)	
trans-β-caryophyllene	caryophyllene (Q421614)	
trans-β-farnesene	(6E)-β-farnesene (Q27108631)	
trans-β-guaiene		
trans-β-ocimene	(3E)-β-ocimene (Q26777012)	
trans-γ-bisabolene		
transcarveol		
transβ-ocimène		
trans‐pinocarveol	trans-(-)-pinocarveol (Q27156713)	
trans‐p‐mentha‐1(7),8‐dien‐2‐ol		
trans‐p‐mentha‐2,8‐dien‐1‐ol		
tricosane	tricosane (Q150977)	
tricyclo [4.4.0.0(2,7)] dec-3-ene-3-methanol, 1-methyl-8-(1-methylethyl)-		
tricyclo[2.2.1.0 (2,6)] heptane, 1,7-dimethyl-7-(4-methyl-3-pentenyl)-, (−)-		
tricyclo[5.2.2.0(1.6)]undecan-3-ol, 2-methylene-6,8,8-trimethyl-		
tridecan‐2‐one	2-tridecanone (Q27147536)	
tridecene	1-tridecene (Q27162003)	
turmerone	Turmerone (Q27155090)	
umbelullone		
undecanone <2‐>	2-undecanone (Q2024187)	
unidentified		
valeric acid, 3-tridecyl ester		
verbenol		
verbenyl ethyl ether		
vilgarol b		
viridiflorene	ledene (Q27132626) : Viridiflorene	
widdra-2,4(14)-diene		
yield		
yield of eo		
yogomi alcohol		
z(e)-alpha-farnesene		
z-asarone	β-asarone (Q27089385)	
z-beta-ocimene	(3Z)-β-ocimene (Q26777005)	
z-caryophyllene		
z-cinnamaldehyde	(Z)-3-Phenyl-2-propenal (Q27161918)	
z-verbenol		
z-β-farnesene	(6Z)-β-farnesene (Q27119785)	
z-β-ocimene	(3Z)-β-ocimene (Q26777005)	
ç-cadinene		
ç-elemene		
ç-himachalene		
ɤ-muurolene		
ɤ-terpinene		
α & β-fellandrene	α-phellandrene (Q19606345) : alpha-fellandrene	check for isomerism.
α & β-pinene	(+)-α-pinene (Q2095629)	check for isomerism.
α –bisabolene	(E)-α-bisabolene (Q27121558)	(Z)-α-bisabolene (Q27121560). check for isomerism.
α –phellandrene	(-)-α-phellandrene (Q25933788)	(+)-α-phellandrene (Q25933668). check for isomerism.
α-7-epi-selinene		
α-acoradiene		
α-acorenol		
α-amorphen		
α-amorphene		
α-bisabolol	levomenol (Q179896) : bisabolol	
α-bornyl acetate		
α-bourbonene		
α-bulnesene		
α-cadinene	(+)-α-cadinene (Q27149802)	
α-cadinol	(-)-α-cadinol (Q4734900)	
α-calacorene		
α-campholenal	α-campholenal (Q27121498)	
α-campholenealdehyde		
α-camphonelal		
α-caryophyllene	caryophyllene (Q421614)	
α-cedrene		
α-citral		
α-copaene		
α-corocalene		
α-cubebene	(-)-α-cubebene (Q27108605)	
α-curcumene	α-curcumene (Q27132148)	
α-cyclocitral	α-cyclocitral (Q27266437)	
α-cyperone		
α-ethyl-p-methoxybenzyl alcohol		
α-eudesmol	α-eudesmol (Q27108609)	
α-farnesene	α-farnesene (Q419814)	
α-fenchene	(−)-α-fenchene (Q24791131)	(+)-α-fenchene (Q24791135). Check for isomerism.
α-fenchol	(-)-α-fenchyl alcohol (Q27089421)	
α-fenchyl acetate		
α-funebrene		
α-guaiene		
α-gurjunene		
α-helmiscapene		
α-himachalene	(-)-α-himachalene (Q27121538)	
α-humulen	humulene (Q1995108) : alpha -humulen	
α-humulene	humulene (Q1995108)	
α-isocomene		
α-limonene		
α-longipinene	(+)-α-longipinene (Q27132143)	
α-maaliene		
α-methylcynnamaldehyde		
α-muurolene		
α-muurolol		
α-muurolol (torreyol)		
α-ocimene	(3E)-α-ocimene (Q26776996)	(3Z)-α-ocimene (Q27283176). Check for isomerism.
α-panasinsen		
α-phellandren-8-ol		
α-phellandrene	(-)-α-phellandrene (Q25933788)	(+)-α-phellandrene (Q25933668). Check for isomerism.
α-phellandrene epoxide		
α-pinene		
α-pinene oxide		
α-santalene		
α-selinene	α-selinene (Q7448480)	
α-terpenyl acetate		
α-terpinene	α-terpinene (Q423851)	
α-terpinenol		
α-terpineol	alpha-terpineol (Q15724770)	
α-terpineol acetate	(+/-)-α-terpinyl acetate (Q4456134)	
α-terpinolene		
α-terpinyl acetate	(+/-)-α-terpinyl acetate (Q4456134)	
α-thujene	alpha-thujene (Q27121796)	
α-thujone	(−)-α-thujone (Q421838)	(+)-alpha-thujone (Q27104745). Check for isomerism.
α-trans-bergamotene	(E)-(-)-α-bergamotene (Q27132147)	
α-ylangene		
α-zingiberene		
α‐bulnesene		
α‐cadinol	(-)-α-cadinol (Q4734900)	
α‐gurjunene		
α‐phellandrene	(-)-α-phellandrene (Q25933788)	(+)-α-phellandrene (Q25933668). Check for isomerism.
α‐pinene	(+)-α-pinene (Q2095629)	
α‐selinene	α-selinene (Q7448480)	
α‐terpineol	alpha-terpineol (Q15724770)	
α‐thujene	alpha-thujene (Q27121796)	
α–pinene	(+)-α-pinene (Q2095629)	(-)-alpha-pinene (Q300852). Check for isomerism.
β –copaene	β-copaene (Q27277937)	
β –ocimene	(3Z)-β-ocimene (Q26777005)	
β-1,7-di-epi cedrene		
β-allylanisole		
β-atlantone		
β-bisabolene	β-bisabolene (Q11595687)	
β-bisabolenene		
β-bisabolol	β-bisabolol (Q27283109)	
β-bourbonene		
β-butyrolactone	β-butyrolactone (Q27155863)	
β-cadinene	β-cadinene (Q27103285)	
β-calacorene		
β-cariofilene		
β-caryophyllene	caryophyllene (Q421614)	
β-caryophyllene oxide	β-caryophyllene oxide (Q27136294)	
β-cedrene		
β-cedrene epoxide		
β-chamigrene		
β-citral (cis-citral)		
β-citronellol	(+/-)-β-citronellol (Q27122080)	
β-copaene	β-copaene (Q27277937)	
β-cubebene		
β-curcumene		
β-cymene		
β-elemene	beta-elemene (Q72470661)	
β-ethyl-p-methoxybenzyl alcohol		
β-eudesmol	β-eudesmol (Q27108630)	
β-farnesene	(6Z)-β-farnesene (Q27119785)	(6E)-β-farnesene (Q27108631). Check for isomerism.
β-funebrene		
β-guaiene	(1S,4S)-β-guaiene (Q27252250)	
β-gurjunene		
β-helmiscapene		
β-himachalol		
β-ionone	β-ionone (Q27190018)	
β-isocomene		
β-linalool	(+/-)-linalool (Q410932)	
β-maaliene		
β-mentha-1,5-dien-8-ol		
β-myrcene	myrcene (Q424577)	
β-ocimene	(3Z)-β-ocimene (Q26777005)	(3E)-β-ocimene (Q26777012). Check for isomerism.
β-oplopenone		
β-oploplenone		
β-patchoulene		
β-phellandren-8-ol		
β-phellandrene	β-phellandrene (Q19606727)	
β-pinene	beta-pinene (Q300928)	
β-santalene		
β-selinene	(+)-beta-selinene (Q27108640)	
β-sesquiphellandrene		
β-sinensal	(2E,6E)-β-sinensal (Q27108641)	(2Z,6E)-β-sinensal (Q27288606); (2E,6Z)-β-sinensal (Q27294982). Check for isomerism.    
β-spathulenol		
β-terpineol	cis-β-terpineol (Q27288363)	trans-β-terpineol (Q27261256). Check for isomerism.
β-thujene	beta-thujene (Q408209)	
β-thujone	β-thujone (Q27121861)	
β-transocimene		
β-tujeno	beta-thujene (Q408209) : β-thujene	
βinocarvone		
β‐pinene	beta-pinene (Q300928)	
β‐selinene	(+)-beta-selinene (Q27108640)	
γ-asarone		
γ-cadinene	(+)-γ-cadinene (Q27132468)	(-)-γ-cadinene (Q27132466). Check for isomerism.
γ-cuprenene		
γ-curcumene		
γ-elemene		
γ-epoxy-elemene		
γ-eudesmol		
γ-gurjunene		
γ-humulene		
γ-muurolene	(+)-γ-cadinene (Q27132468)	
γ-selinene	γ-selinene (Q70486252)	
γ-terpinene	γ-terpinene (Q423975)	
γ-terpineol	γ-terpineol (Q27155106)	
γ-terpinolene	Terpinene (Q424891) : TerpinolèneFrench	
γ‐cadinene	(+)-γ-cadinene (Q27132468)	(-)-γ-cadinene (Q27132466). Check for isomerism.
γ‐terpinene	γ-terpinene (Q423975)	
δ –cadinene	(+)-δ-cadinene (Q27089406)	
δ-2-carene		
δ-3-carene	carene (Q19414)	
δ-amorphene	(+)-δ-cadinene (Q27089406)	
δ-cadinene	(+)-δ-cadinene (Q27089406)	
δ-cadinol	delta-cadinol (Q5254530)	
δ-decalactone	δ-decalactone (Q27159530)	
δ-elemene	δ-elemene (Q63409802)	
δ-guaiene		
δ-terpineol		
δ‐cadinene	(+)-δ-cadinene (Q27089406)	
λ-gurjunene		
ρ-cymene		
ρ-cymenea,b		
τ-cadinol	tau-cadinol (Q55995547)	
τ-muurolol		
