Compound	Cleaned_cmpnames	WIKIDATA_query	WIKIDATA_id	PubChem_CID
chrysanthenone	chrysanthenone	Chrysanthenone	Q5114549	442463
cis-(z)-α-bisabolene epoxide	cis-(Z)-alpha-bisabolene epoxide			
cis-5-dodecenoic acid	cis-5-dodecenoic acid	cis-5-dodecenoic acid	Q27159277	5312378
cis-α-ambrinol	cis-alpha-ambrinol			
cis-α-bergamotene	cis-alpha-bergamotene	(-)-endo-alpha-bergamotene	Q27131278	6429303
cis-anethole	cis-anethole	anethole	Q27105777	1549040
cis-β-farnesene	cis-beta-farnesene	(6Z)-β-farnesene	Q27119785	5317319
cis-β-guaiene	cis-beta-guaiene	beta-Guaiene	Q27160891	
"cis-cadina-1(6),4-diene"	"cis-cadina-1(6),4-diene"	"cis-cadina-1(6),4-diene"		
cis-calamenene	cis-calamenene			6429077
cis-carveol	cis-carveol	(+)-cis-carveol	Q27105278	330573
cis-cinnamaldehyde	cis-cinnamaldehyde	(Z)-3-Phenyl-2-propenal	Q27161918	6428995
cis-davanone	cis-davanone			
cis-geraniol (nerol)	cis-geraniol	nerol	Q415359	643820
cis-geranylacetone	cis-geranylacetone			1713001
cis-jasmone	cis-jasmone	(EZ)-jasmone	Q65952186	1549018
cis-limonene oxide	cis-limonene oxide	cis-(-)-limonene oxide	Q27253522	6857487
cis-linalool oxide	cis-linalool oxide 	cis-linalool oxide	Q27160941	22310
cis-linalool oxide acetate (pyranoid)	cis-linalool oxide acetate			21116836
cis-muurola-3.5-diene	"cis-muurola-3,5-diene"	"cis-muurola-3,5-diene"	Q27131289	
"cis-muurola-4(14),5-diene"	"cis-muurola-4(14),5-diene"	"cis-muurola-4(14),5-diene"	Q27131290	
cis-nuciferol	cis-nuciferol			67178146
cis-ocimene	cis-ocimene	(3Z)-Î²-ocimene	Q26777005	5320250
"cis-p-mentha-1(7),8-dien-2-ol"	"cis-p-mentha-1(7),8-dien-2-ol"	"cis-p-mentha-1(7),8-dien-2-ol"		
"cis-p-mentha-2,8-dien-1-ol"	"cis-p-mentha-2,8-dien-1-ol"	"cis-p-mentha-2,8-dien-1-ol"		
cis-pinocamphone	cis-pinocamphone			
pinocarvyl cis-acetate	cis-pinocarvyl acetate (q67879802)	trans-calamenene	Q67879802	
cis-rho-menth-2-en-1-ol	cis-rho-menth-2-en-1-ol			
caranone <cis‐4‐>	cis‐4‐caranone 			
"cis‐p‐mentha‐1(7),8‐dien‐2‐ol"	"cis‐p‐mentha‐1(7),8‐dien‐2‐ol"	"cis‐p‐mentha‐1(7),8‐dien‐2‐ol"		
"cis‐p‐mentha‐2,8‐dien‐1‐ol"	"cis‐p‐mentha‐2,8‐dien‐1‐ol"	"cis‐p‐mentha‐2,8‐dien‐1‐ol"		
citral	citral	citral	Q60176530	638011
citronella	citronella			7794
citronellol acetate	citronellol acetate	citronellyl acetate	Q27138814	9017
cubenol	cubenol			11770062
culmorin	culmorin	culmorin	Q73402129	368926
cumarin	cumarin	coumarin	Q111812	323
cuminaldehyde	cuminaldehyde	cuminaldehyde	Q419952	326
cuminaldeyde	cuminaldeyde			
curlone	curlone			196216
cyclooctanone	cyclooctanone	cyclooctanone	Q20054504	10403
cyclopentadiene	cyclopentadiene	cyclopentadiene	Q424390	7612
cyclopropane	cyclopropane	cyclopropane	Q80250	6351
cymene 2.5‐dimethoxy‐para	"cymene-2,5‐dimethoxy‐para"			
cyperadiene	cyperadiene			91750187
cyperene oxide	cyperene oxide			
d-camphor	d-camphor	camphor	Q181559	159055
d-carvone	d-carvone	(Â±)-carvone	Q416800	16724
d-verbenone	d-verbenone	verbenone	Q421151	29025
"dauca-4(11),8-diene"	"dauca-4(11),8-diene"	"dauca-4(11),8-diene"		
davanone d	davanone d			88556
decanoic acid	decanoic acid	capric acid	Q422613	2969
decyne	decyne	1-decyne	Q3486511	12997
deet	deet	diethyltoluamide	Q408389	4284
"dehydro-1,8-cineole"	"dehydro-1,8-cineole"	"dehydro-1,8-cineole"		
dehydro-neotigogenin benzoate	dehydro-neotigogenin benzoate			
dehydro-sabina ketone	dehydro-sabina ketone			
dehydroaromadendrane	dehydroaromadendrane			
dehydroisolongifolene	dehydroisolongifolene			92029374
dehydrosesquicineol	dehydrosesquicineole			
δ-3-carene	delta-3-carene	carene	Q19414	26049
δ-amorphene	delta-amorphene	(+)-δ-cadinene	Q27089406	10223
δ-cadinol	delta-cadinol	delta-cadinol	Q5254530	3084311
δ-decalactone	delta-decalactone	δ-decalactone	Q27159530	12810
δ-elemene	delta-elemene	δ-elemene	Q63409802	12309449
δ-guaiene	delta-guaiene	guaienes	Q56010321	94275
di-epi-.alpha.-cedrene	di-epi-.alpha.-cedrene			521207
diallyl disulfide	diallyl disulfide	allyl disulfide	Q419633	16590
dihydroedulan ia	dihydroedulan ia	dihydroedulan i	Q67879843	6432687
dihydroedulan iia	dihydroedulan iia	(-)-dihydroedulan II	Q27159863	522517
diisobutyl phthalate	diisobutyl phthalate	diisobutyl phthalate	Q162259	6782
e-asarone	E-asarone			
e-β-farnesene	E-beta-farnesene	(6E)-β-farnesene	Q27108631	15228937
e-caryophyllene	E-caryophyllene	caryophyllene	Q421614	5281522
e-cinnamaldehyde	E-cinnamaldehyde	(E)-cinnamaldehyde	Q204036	637511
e-cinnamoyl acetate	E-cinnamoyl acetate			
e-cinnamyl alcohol	E-cinnamyl alcohol	(E)-cinnamyl alcohol	Q204030	5315892
e-methoxi-cinnamaldehyde	E-methoxi-cinnamaldehyde			
e-nerolidol	E-nerolidol	(6E)-(+/-)-nerolidol	Q415421	
"e,e-farnesal"	"E,E-farnesal"	"E,E-farnesal"	Q27098285	
"e,e-farnesylacetate"	"E,E-farnesyl acetate"	"E,E-farnesyl acetate"		
e.e-farnesyl acetone	"E,E-farnesyl acetone"	"(5E,9E)-farnesyl acetone"	Q27135719	
elemol	elemol	elemol	Q27282855	92138
endo-fenchol	endo-fenchol	(1R)-endo-(+)-fenchol	Q64224715	439711
endo-fenchyl acetate	endo-fenchyl acetate			
epi-α-cadinol	epi-alpha-cadinol	10-epi-alpha-cadinol	Q67865683	160799
epi-β-bisabolol	epi-beta-bisabolol			12300148
epi-zonarene	epi-zonarene			
epoxyocimene	epoxy ocimene	trans-epoxyocimene	Q67880127	
ethyl cinnamate	ethyl cinnamate	ethyl cinnamate	Q204182	637758
"butanoic acid, 2-methyl-, ethyl ester"	ethyl ester-2-methyl-butanoic acid	ethyl ester	Q1371466	
ethylene oxide	ethylene oxide	ethylene oxide	Q407473	6354
ethylhexanol	ethylhexanol	2-ethylhexanol	Q209388	7720
eucalyptol	eucalyptol	eucalyptol	Q161572	2758
"eudesm-4(15),7-dien-1α-ol"	"eudesm-4(15),7-dien-1-alpha-ol"	"eudesm-4(15),7-dien-1-alpha-ol"		
"eudesma-4,11-dien-2-ol"	"eudesma-4,11-dien-2-ol"	"eudesma-4,11-dien-2-ol"		
"eudesma-4(15),7-dien-1-β-ol"	"eudesma-4(15),7-dien-1-beta-ol"			
"eudesma-4(15),7-dien-1β-ol"	"eudesma-4(15),7-dien-1β-ol"	"eudesma-4(15),7-dien-1β-ol"		
eugenyl acetate	eugenyl acetate			7136
exo-2-hydroxycineole	exo-2-hydroxycineole	"2-endo-hydroxy-1,8-cineole"	Q27116588	529885
farnesol	farnesol	farnesol	Q60194891	445070
fenchone	fenchone	Fenchone	Q414784	14525
fenchyl butanoate	fenchyl butanoate			
fenchyl isobutanoate	fenchyl isobutanoate			
furfural	furfural	furfural	Q412429	7362
γ-asarone	gamma-asarone			636750
γ-cadinene	gamma-cadinene	(+)-γ-cadinene	Q27132468	6432404
γ-cuprenene	gamma-cuprenene			
γ-curcumene	gamma-curcumene	gamma-curcumene	Q27132733	
γ-elemene	gamma-elemene	elemenes	Q56009873	
γ-epoxy-elemene	gamma-epoxy-elemene			
γ-eudesmol	gamma-eudesmol	gamma-eudesmol	Q27131974	6432005
γ-gurjunene	gamma-gurjunene	gamma-gurjunene	Q67880022	90805
γ-humulene	gamma-humulene	gamma-humulene	Q27121597	5846461
γ-selinene	gamma-selinene	γ-selinene	Q70486252	521334
gamma-terpinene	gamma-terpinene	Î³-terpinene	Q423975	7461
γ-terpineol	gamma-terpineol	γ-terpineol	Q27155106	11467
γ-terpinolene	gamma-terpinolene	"murolan-3,9(11)-diene-10-peroxy"	Q424891	
γ‐cadinene	gamma‐cadinene		Q27132468	
geranial	geranial	geranial	Q410888	638011
geraniol	geraniol	geraniol	Q410836	637566
geraniol formate (cas)	geraniol formate	geranyl formate	Q15726045	5282109
geranyl acetate	geranyl acetate	geranyl acetate	Q426437	1549026
geranyl bromide	geranyl bromide	trans-Geranyl bromide	Q72480173	5365867
geranylisobutyrate	geranyl isobutyrate			
geranyl propionate	geranyl propionate	geranyl propionate	Q10869283	5355853
geranyl-n-butyrate	geranyl-n-butyrate	Geranyl butyrate	Q10864413	
germacerene-d	germacerene d			
"germacra-4(15),5,10(14)-trien-1-α-ol"	"germacra-4(15),5,10(14)-trien-1.alpha.-ol"	10(14)-trien-1-α-ol		
"germacra-4(15),5,10(14)-trien-1α-ol"	"germacra-4(15),5,10(14)-trien-1.alpha.-ol"			
germacrene-a	germacrene a	germacrene A	Q27116867	9548706
germacreneb	germacrene b	germacrene	Q5550970	5281519
and germacrene d	germacrene d	germacrene D	Q27121451	5317570
glycidol	glycidol	glycidol	Q418265	11164
guaia-1(10)-11-diene	guaia-1(10)-11-diene			
heptadiene	heptadiene	"1,6-heptadiene"	Q19833899	5462716
hepten-2-one(6-methyl-5)	hepten-2-one(6-methyl-5)	6-methyl-5-hepten-2-one	Q3209146	
hexadecanol	hexadecanol	cetyl alcohol	Q161632	2682
hexan-1-ol	hexan-1-ol	1-hexanol	Q76933	8103
"hexane-2,3-dione"	"hexane-2,3-dione"	"hexane-2,3-dione"		
himachalene	himachalene	Î²-himachalene	Q27121532	15095
humulene	humulene	humulene	Q1995108	5281520
hydrocinnamic alcohol	hydrocinnamic alcohol	3-phenyl-1-propanol	Q27160792	31234
imonene-10-al	imonene-10-al			
indol	indol	indole	Q319541	798
intermediol	intermediol			
iso spathuelenol	iso spathuelenol			
iso-borneol	iso-borneol	borneol	Q27103499	
iso-dihydro carveol acetate	iso-dihydro carveol acetate			
iso-elemicin	iso-elemicin			
iso-longifolene	iso-longifolene			11127402
iso-pinocamphone	iso-pinocamphone			86707
iso-spathulenol	iso-spathulenol			
isoamyl propionate	isoamyl propionate	isoamyl propionate	Q10869280	7772
isoborneol	isoborneol	(+)-borneol	Q412435	64685
isobornyl propionate	isobornyl propionate	isobornyl propionate	Q27268818	89306
isobutyl 2-methylbutyrate	isobutyl 2-methylbutyrate	Isobutyl 2-methylbutanoate	Q72485061	102820
isobutyl acetate	isobutyl acetate	isobutyl acetate	Q420657	8038
isobutyl angelate	isobutyl angelate	isobutyl angelate	Q27268651	5367807
isocaryophyllene	isocaryophyllene	isocaryophyllene	Q27106968	5281522
isopentyl acetate	isopentyl acetate	isoamyl acetate	Q221307	31276
isopentyl hexanoate	isopentyl hexanoate	isoamyl hexanoate	Q27159714	16617
isopentyl isovalerate	isopentyl isovalerate			12613
isovaleric acid	isovaleric acid	isovaleric acid	Q415536	10430
khusinol	khusinol			13874489
l-carvone	l-carvone	(-)-carvone	Q27089417	439570
l-limonene	l-limonene	(-)-limonene	Q27089405	439250
lactone	lactone	lactone	Q59078	5585
λ-gurjunene	lambda-gurjunene			
ledene oxide-(i)	ledene oxide-(i)			534497
ledene oxide-(ii)	ledene oxide-(ii)			
levomenol	levomenol	levomenol		442343
ligustrazin	ligustrazin			
limonene <dioxide 2‐>	limonene dioxide			232703
limonene epoxide	limonene epoxide	"limonene 1,2-epoxide"	Q27101901	91496
limonone	limonone			
linalool	linalool	(+/-)-linalool	Q410932	6549
linalool-l	linalool-l	(+)-α-pinene	Q27105200	
linalylpropionate	linalyl propionate	linalyl propionate	Q27274686	61098
longifolene aldehyde	longifolene aldehyde			
longipinocarvone	longipinocarvone			535296
m-diaminobenzene	m-diaminobenzene	m-phenylenediamine	Q2410205	7935
"phenol, m-tert-butyl-"	m-tert-butyl-phenol			
massoia lactona	massoia lactona			
"mentha-2,8-diene"	"mentha-2,8-diene"	"mentha-2,8-diene"		
menthone	menthone	Menthone	Q54015201	26447
methallyl angelate	methallyl angelate			6437425
methyl cinnamate	methyl cinnamate	methyl cinnamate	Q204178	637520
methyl citronelate	methyl citronelate			
methyl decyl ketone	methyl decyl ketone	2-dodecanone	Q27161470	22556
methyleugenol	methyl eugenol	methyl eugenol	Q419829	7127
methyl eugenold	methyl eugenol d			
methylgeranate	methyl geranate	methyl geranate	Q27254138	5365910
methyl hinokiate	methyl hinokiate			579826
modheph-2-ene	modheph-2-ene			
"murolan-3,9(11)-diene-10-peroxy"	"murolan-3,9(11)-diene-10-peroxy"			
"muurola-4,10(14)-dien-1β-ol"	"muurola-4,10(14)-dien-1.beta.-ol"			
myltayl-4(12)-ene	myltayl-4(12)-ene			
myrtenol	myrtenol	Myrtenol	Q15425810	10582
n-decanal	n-decanal	decanal	Q903525	8175
n-decane	n-decane	decane	Q150717	15600
n-heptanal	n-heptanal	heptanal	Q425827	8130
n-hexanal	n-hexanal	hexanal	Q420698	6184
n-hexyl acetate	n-hexyl acetate	hexyl acetate	Q418672	8908
n-nonanal	n-nonanal	nonanal	Q419668	31289
n-octylacetate	n-octylacetate	"thuja-2,4(10)-diene"	Q2173897	
n-pentanal	n-pentanal	pentanal	Q420652	8063
nardol	nardol			101286216
"nardosina-1(10),11-diene"	"nardosina-1(10),11-diene"			
neo phytadiene	neo phytadiene			
neo-intermedeol	neo-intermedeol			
neo-iso-3-thujanol	neo-iso-3-thujanol			
neo-iso-menthol	neo-iso-menthol			
neoisomentol	neoisomentol			
neomenthol	neomenthol	(+)-neomenthol	Q27089418	19243
neral	neral	neral	Q27104033	643779
nerolidol	nerolidol	Nerolidol	Q72494054	5284507
neryl acetate	neryl acetate	neryl acetate	Q1368877	1549025
"nona-3,5-dien-2-one"	"nona-3,5-dien-2-one"			
nonadecane	nonadecane	Nonadecane	Q150911	12401
nonane	nonane	nonane	Q150694	8141
nonyl 2-methylbutanoate	nonyl 2-methylbutanoate			6431100
nootkatone	nootkatone	(+)-nootkatone	Q417896	1268142
o-methoxycinnamaldehyde	o-methoxycinnamaldehyde	(Z)-O-methoxycinnamaldehyde	Q27294323	641298
ocimene (z)-beta	ocimene (Z)-beta	"trans‐p‐mentha‐2,8‐dien‐1‐ol"	Q26777005	
oct-1-en-3-ol	oct-1-en-3-ol	oct-1-en-3-ol	Q161667	18827
octanal	octanal	caprylaldehyde	Q416673	454
octanol	octanol	caprylic alcohol	Q161666	957
octyl acetate	octyl acetate	octyl acetate	Q2173897	8164
octylbutyrate	octyl butyrate	octyl butyrate	Q27161916	61030
"propanoic acid, 2-methyl-, octyl ester"	octyl ester-2-methyl-propanoic acid	octyl ester		
"ρ-cymenea,b"	ρ-cymene	ρ-cymene		
ρ-cymene	ρ-cymene			
"oleic acidb,c"	oleic acid	oleic acid	Q207688	445639
orcinol	orcinol	orcinol	Q412476	10436
origanene	origanene	alpha-thujene	Q27121796	17868
ortho‐cymene	ortho‐cymene		Q27161449	
p-allylanisole	p-allylanisole	estragole	Q419495	8815
p-anisaldehyde	p-anisaldehyde	p-anisaldehyde	Q174937	31244
p-cymen-8-ol	p-cymen-8-ol	p-cymen-8-ol	Q27265496	14529
p-cymene	p-cymene	p-cymene	Q284072	7463
p-cymene-8-ol acetate	p-cymene-8-ol acetate			
p-cymenene	p-cymenene	p-Î±-dimethyl styrene	Q27162104	62385
p-isobutyltoluene	p-isobutyltoluene			21240
p-menth-1-en-9-ol	p-menth-1-en-9-ol	p-menth-1-en-9-ol	Q27261954	86753
"p-menth-8-en-1,7-diol"	"p-menth-8-en-1,7-diol"			
"p-mentha-1,5-dien-8-ol"	"p-mentha-1,5-dien-8-ol"	(-)-alpha-gurjunene		
"p-mentha-1(7),8-diene (pseudolimonene)"	"p-mentha-1(7),8-diene"			
p-methylacetophenone	p-methylacetophenone	p-methyl acetophenone	Q2816673	8500
p-thymol	p-thymol	thymol	Q408883	18597
palmitic acid	palmitic acid	palmitic acid	Q209727	985
para-cymen-7-ol	para-cymen-7-ol			325
"penta-1,3-diynylbenzene"	"penta-1,3-diynylbenzene"			
pentacosane	pentacosane	pentacosane	Q151007	12406
pentadec-1-ene	pentadec-1-ene	1-pentadecene	Q3374882	25913
pentadecan‐2‐one	pentadecan‐2‐one		Q27161440	
perillic aldehyde	perillic aldehyde	perillaldehyde	Q3117895	16441
perillyl alcohol	perillyl alcohol	perillyl alcohol		10819
phellandral	phellandral	phellandral	Q27285352	89488
phellandranal	phellandranal			
phenyl ethyl alcohol	phenyl ethyl alcohol	phenylethyl alcohol	Q209463	6054
phenylpropanoid	phenylpropanoid	(+/-)-4-terpineol	Q417181	
phytol	phytol	Phytol	Q415945	5280435
pinocarvyl acetate	pinocarvyl acetate	cis-pinocarvyl acetate	Q67879802	102553
pinol	pinol			101153
piperitone	piperitone	DL-piperitone	Q2041498	6987
platambin	platambin			613194
prenopsan-8-ol	prenopsan-8-ol			
prenyl angelate	prenyl angelate			6432943
propyl angelate	propyl angelate	propyl 2-methylisocrotonate	Q9615235	6437044
pseudolimonen	pseudolimonen			68140
sabinense	sabinense			
safrole	safrole	safrole	Q412424	5144
salicylaldehyde	salicylaldehyde	salicylaldehyde	Q414492	6998
sandaracopimaradiene	sandaracopimaradiene	(-)sandaracopimaradiene	Q27132746	443469
selin-11-en-4-α-ol	selin-11-en-4-alpha-ol			15560330
"selina-3,7-diene"	"selina-3,7-diene"			
"selina-4,11-diene"	"selina-4,11-diene"	"selina-4,11-diene"		
sesquisabinene a	sesquisabinene a	sesquisabinene A	Q74417657	90658542
silphiperfol-5-ene	silphiperfol-5-ene		Q67879650	
silphiperfolan-6-α-ol	silphiperfolan-6-α-ol			
silphiperfolan-7-β-ol	silphiperfolan-7-beta-ol			
soborneol	soborneol			
sobrerol	sobrerol	Sobrerol	Q3963210	91463
sorbic acid vinyl ester	sorbic acid vinyl ester	Vinyl sorbate	Q65225130	5368936
spatulenol	spatulenol			13854258
spirolepechinene	spirolepechinene			15491228
stearic acid	stearic acid	stearic acid	Q209685	5281
τ-muurolol	tau-muurolol	(+)-Tau-muurolol	Q27132742	
terpin-3-en-1-ol	terpin-3-en-1-ol			11468
terpine-4-ol	terpine-4-ol			
terpinene-4-ol	terpinene-4-ol	(+/-)-4-terpineol	Q416114	11230
terpinenol	terpinenol		Q27109437	
terpineol	terpineol	terpineol	Q420786	17100
terpinolene	terpinolene	terpinolene	Q2405051	11463
terpinyl acetate	terpinyl acetate		Q4456134	
t-butylhydroquinone	tert-butylhydroquinone	tert-butylhydroquinone	Q662443	16043
tetradecane	tetradecane	tetradecane	Q150808	12389
tetradecanoic acid	tetradecanoic acid	myristic acid	Q422658	11005
theaspirane b	theaspirane b	Theaspirane	Q27161796	61953
thuj-3-en-10-al	thuj-3-en-10-al			
"thuja-2,4(10)-diene"	"thuja-2,4(10)-diene"			
thymene	thymene			
trans-2-caren-4-ol	trans-2-caren-4-ol			520984
trans-α-ambrinol	trans-alpha-ambrinol			
trans-α-bergamotene	trans-alpha-bergamotene	(E)-(-)-α-bergamotene	Q27132147	6429302
trans-anethole	trans-anethole	anethole	Q255564	637563
trans-ascaridol glycol	trans-ascaridol glycol			
trans-β-farnesene	trans-beta-farnesene	(6E)-β-farnesene	Q27108631	5281517
trans-beta-ocimene	trans-beta-ocimene	(3E)-Î²-ocimene	Q26777012	5281553
"trans-cadina-1,4-diene"	"trans-cadina-1,4-diene"			
"trans-cadina-1(6),4-diene"	"trans-cadina-1(6),4-diene"			
t-calamenene	trans-calamenene	trans-calamenene	Q67880179	6429022
trans-chrysanthenyl acetate	trans-chrysanthenyl acetate			10899521
trans-cinnamic acid	trans-cinnamic acid			444539
trans-γ-bisabolene	trans-gamma-bisabolene			
trans-linalool oxide	trans-linalool oxide	trans-linalool oxide	Q27272093	6432254
"longipinocarveol, trans-"	trans-longipinocarveol			
"trans-muurola-3,5-diene"	"trans-muurola-3,5-diene"			
"trans-muurola-4(14),5-diene"	"trans-muurola-4(14),5-diene"	trans-longipinocarveol	Q27160518	
trans-myrtenol	trans-myrtenol			
trans-nerodilol	trans-nerodilol			
trans-p-menth-2-en-1-ol	trans-p-menth-2-en-1-ol			122484
"trans-p-mentha-2,8-dienol"	"trans-p-mentha-2,8-dienol"			
trans-pinocamphone	trans-pinocamphone			11038
trans-pinocarveol	trans-pinocarveol	trans-(-)-pinocarveol	Q27156713	88302
trans-pinocarveole	trans-pinocarveole			
trans-rose oxide	trans-rose oxide	trans-(+)-rose oxide	Q27162314	7093102
trans-sesquisabinene hydrate	trans-sesquisabinene hydrate			20055539
trans-thujone	trans-thujone	Î²-thujone	Q27121861	91456
"trans‐p‐mentha‐1(7),8‐dien‐2‐ol"	"trans‐p‐mentha‐1(7),8‐dien‐2‐ol"			
transcarveol	transcarveol			
tricosane	tricosane	tricosane	Q150977	12534
tridecan‐2‐one	tridecan‐2‐one	(3E)-β-ocimene	Q27147536	
tridecene	tridecene		Q27162003	
turmerone	turmerone	Terpinene	Q27155090	
umbelullone	umbelullone			
"valeric acid, 3-tridecyl ester"	"valeric acid, 3-tridecyl ester"			
verbenol	verbenol	cis-Verbenol	Q73801834	61126
verbenyl ethyl ether	verbenyl ethyl ether			
vilgarol b	vilgarol b			
viridiflorene	viridiflorene	ledene	Q27132626	10910653
"widdra-2,4(14)-diene"	"widdra-2,4(14)-diene"			
yogomi alcohol	yogomi alcohol			
z-asarone	Z-asarone	β-asarone	Q27089385	
z-verbenol	Z-verbenol			
