	note	Genome	disease	compound	activity	plantparts	species	Fungi	Bacteria	yeast	protozoa	Virus	drug	Traditional medicinal system.	Traditional medicinal system(plant-parts).	Traditional medicinal system(plant-parts)- leaves.	Traditional medicinal system(plant-parts)- seeds.	Traditional medicinal system(diseases).	Traditional medicinal system-fever.	Traditional medicinal system-malaria.	Traditional medicinal system-diarrhea.	Traditional medicinal system-species.	EO composition
	reduced the severity of hydropericardium, hepatitis, myocarditis accompanied with hemorrhages, lung edema, lymphocytic depletion in lymphoid organs and focal interstitial nephritis						O. basilicum																
	reduced the severity of hydropericardium, hepatitis, myocarditis accompanied with hemorrhages, lung edema, lymphocytic depletion in lymphoid organs and focal interstitial nephritis						O. basilicum																
	improved the testicular histopathological alterations in diabetic rats						O. gratissimum																
	nephroprotective effect against mercury toxicity.						O. basilicum																
	antioxidant, anti-inflammatory, and cancer chemopreventive	Caffeic acid																					
	antioxidant, anti-inflammatory, and cancer chemopreventive																						
	increased the activity of xenobiotic metabolizing phase I and phase II enzymes, promotingantioxidant-enzyme responses by significantly increasing activities of the hepatic glutathione reductase, superoxide dismutase, and catalase, increasing glutathione content and decreasing lipid peroxidation and lactate dehydrogenase activity in the liver of mice																						
	anti lipid peroxidation effects in vitro, in addition to exhibiting significant activity in scavenging superoxide radical and nitric oxide radicals, indicating their potent antioxidant effects																						
																							
																							
																							
PMC3778630	antibacterial properties showed a more pronounced effect against the Gram-positive bacteria. The resistance of Gram-negative bacteria to essential oil has been ascribed to their hydrophilic outer membrane which can block the penetration of hydrophobic compounds into target cell membrane		antibacterial				O. gratissimum						erythromycin, amikacin, and amphotericin B										
	the methyl eugenol is more hydrophobic than eugenol; however, hydroxyl group of eugenol may not be involved for hydrogen bonding due to the presence of �OMe group in ortho position of eugenol produced steric hindrance.																						
	This may explain the weaker antimicrobial activity of the eugenol and methyl eugenol against Gram-negative bacteria. The other phenolic components though low in the essential oils of O. gratissimum and O. sanctum could be contributing for antimicrobial activity by causing leakage of intracellular ATP and potassium ions leading to cell death																						
																							
																							
PMC3831728	food additives, preservatives, and as an antiseptic																						
																							
																							
PMC3910118	to categorize PCR marker based interspecific genetic diversity of Ocimum species in India. In one study, O. sanctum (=tenuiflorum) showed highest similarity with O. gratissimum [11]. while, in the other, O. sanctum (=tenuiflorum) showed highest similarity with O. americanum [12].																						
																							
																							
PMC3927567	Acute toxicity study -  non-toxic.																						
																							
																							
PMC3960749	E. jambolana (seeds) and A. marmelos (leaves) produces hypoglycaemic effect by increasing serum insulin levels and decreasing serum lipid levels;		antidiabetic				Azadirachta indica, E. jambolana (seeds) and A. marmelos (leaves) 																
	O. Sanctum leaf extracts have stimulatory effects on physiological pathways of insulin secretion																						
	Azadirachta indica leaves the probable case of reduction of blood glucose level might be due to increased peripheral uptake of glucose and increased sensitivity of insulin receptors																						
																							
																							
PMC3968692	adaptogenic drugs						Asperagus recemosus, Bacopa monniera, Crocus sativus, Curculigo orchioides, Emblica officinalis, Ocimum sanctum, Tinospora cardifolia and Withania sominefera																
																							
PMC3968694	Ocimum sanctum has significant role in protecting animals from arsenic induced oxidative stress and in the depletion of arsenic concentration.																						
	Ocimum extract provides protection against mercury induced toxicity 																						
	 Tulsipatra Swarasa (leaf of Oscimum sanctum Linn.) as Bhavana Dravya																						
																							
PMC3979218	moderate clot lysis activity 						O. sanctum, C. longa, A. indica, A. occidentale																
																							
PMC4003702	 nicotine-stressed cells																						
	neem: tulsi diluted in 3:1 ratio was highly effective and cell recovery was almost 80%. This was followed by tulsi: green tea in the ratio of 1:3 and the least effect was shown by turmeric: green tea in a ratio of 1:5. 																						
																							
PMC4047570	 O. sanctum has been proven to possess immunomodulatory properties, which can contribute to the efficacy of this drug																						
																							
PMC4054046	 antimicrobial effectiveness against target endodontic pathogens  E. faecalis, S. mutans and S. aureus. 				 antimicrobial		 A. Indica (Neem), O. sanctum (Tulsi), M. elengi (Bakul) and T. cardifolia (Giloy)		 E. faecalis, S. mutans and S. aureus. 														
																							
PMC4054046	 bark of M. elengi is acrid, astringent and is used as a gargle for odontopathy, inflammation and bleeding gums				anti-inflammatory, analgesic and antipyretic																		
	Azadirachta indica (Neem) is still regarded as "Village dispensary" in India.																						
	Tinospora cardifolia ayurvedic name of the plant is Guduchi, Giloy or Amrita		diabetes, hepatitis		antimicrobial, anti-inflammatory, analgesic, antipyretic, antiulcer, antidiabetic, antioxidant and anticancer activity. 																		
																							
PMC4061585	Ocimum sanctum mouthrinse may prove to be an effective mouthwash owing to its ability in decreasing periodontal indices by reducing plaque accumulation, gingival inflammation and bleeding. It has no side effect as compared to chlorhexidine.  																						
																							
PMC4097936	PHF - SJT-DI-02 - for the treatment of diabetes was comprised of dried extracts of rhizomes of Acorus calamus, leaves of Aegle marmelose, fruits of Benincasa hispida, roots of Chlorophytum arendinaceum, seeds of Eugenia jambolana, leaves of Ocimum sanctum, pericarp of Punica granatum, seeds of Tamarindus indica						Acorus calamus, Aegle marmelose, Benincasa hispida, Chlorophytum arendinaceum, Eugenia jambolana, Ocimum sanctum,  Punica granatum, Tamarindus indica																
																							
PMC4219006	Ocimum sanctum treated NCI-H460 non- small cell lung cancer cells. 		lung cancer																				
																							
PMC4238170	 OSEO showed strong anti-inflammatory activity by suppressing the expression of MMP-9 in LPS-induced inflammatory cells, which in turn triggered the prevention of cancer cell migration.  appropriate addition of OSEO in the diet may prevent cancer and immune-mediated inflammatory diseases. 																						
																							
PMC4286833	OSEO - reduction of gingival inflammation				anti-inflamation.																		
																							
PMC4296432	 with and without Ocimum sanctum demonstrated nootropic activity						Phyllanthus emblica and Tinospora cordifolia 																
																							
	 memory-enhancing and antiaging properties																						
	Phyllanthus emblica ( Pe, Amala), Tinospora cordifolia ( Tc, Gulavela) and Ocimum sanctum ( Os, Tulsi) are the examples of rasayana drugs.		 pathophysiology, for example, liver diseases, inflammatory conditions like arthritis, diabetes mellitus, acid-peptic disorders																				
	it is claimed that bhavana samskara (process) potentiates the efficacy of the coated drug/s.[ 6] It was decided therefore to coat the formulation of Tc and Pe with Os and to explore whether bhavana of Os potentiates effect of the combination on learning and memory. 																						
																							
	 anti-bacterial and anti-fungal characteristics of a traditional plant called O. sanctum on food-borne Gram-positive, Gram-negative bacteria and Aspergillus species					Compound	Developmental Stages, %																
							RI	Vegetative	Floral Budding	Full Flowering													
						Ethyl Isovalerate	854	-	-	0.83													
						?-Pinene	954	0.76	0.41	0.66													
						Sabinen	985	0.55	0.44	0.49													
						?-Pinene	1010	1.08	1.53	1.73													
						Myrcene	1059	0.53	1.128	0.93													
						1,8-Cineole	1068	20.78	19.41	20.45													
						Linalool	1109	0.22	0.19	0.15													
						Terpinen-4-ol	1184	-	0.28	-													
						?-Terpineol	1211	-	0.37	0.42													
						Estragol	1229	11.49	10.61	11.4													
						Eugenol	1382	15.7	37.15	24.63													
						?-Cis-Bergamotene	1469	3.13	1.3	2.69													
						?-Humlene	1482	2.34	1.29	1.27													
						?-Bisabolen	1542	20.99	13.29	18.76													
						?-Elemene	1565	10.47	7.7	7.8													
																							
																							
																							
PMC4353034						Satureja khuzestanica	Mazhin, Lorestan, Iran	Carvacrol (87.7%)	Antifungal and antibacterial activities, Treatment of common cold and bronchitis														
						Satureja bachtiarica	Semirom, Isfahan, Iran	Caryophyllene oxide (17.0%), Thymol (28.0%), Carvacrol (13.2%)															
						Ocimum sanctum	Borazjan, Bushehr, Iran	1,8-Cineole (20.78%), ?-bisabolene(20.99), Eugenol (15.70%),	anti-oxidative,antibacterial, antifungal, antimalaria, antihelmintic, antidiabetic, treatment of hypertension and skin disease														
						Artemisia sieberi	Fasa, Fars, Iran	1,8-cineole (21.1%), Camphor (16.53%), ?-thujone (13.08%)	antidiabetic,antiviral,anti-spasmolytic,vermicide,poison antidote and antimicrobial effects, Antifungal														
						Zataria multiflora	Darab, Fars, Iran	Thymol (37.88%), Carvacrol (27.16%)	stimulates innate immunity, antibacterial and antifungal activities, antiseptic, analgesic, and carminative														
						Carum copticum	Kazereun, Fars, Iran	Thymol (36.7%), ?- terpinene (36.5%), p- cymene (21.1%)	diuretic, carminative, analgesic, anti-dyspnea and anti-inflammatory, antiseptic														
						Salvia mirzayanii	Bandar Abbas, Hormozgan, Iran	Cineol (41.20%), linalyl acetate (10.72%)	Antibacterial, free radical scavenging, antioxidant, neuroprotective														
																							
																							
PMC4552454					Metabolite	Disease implication	Enzymes involved	No. of hits in Ocimum genome	RPKM value														
					Flavonoids																		
					Apigenin	Anti-cancer	Flavone synthaseI	16	-														
							Naringenin, NADPH oxygen oxidoreductase	17	-														
					Luteolin	Anti-cancer	Flavone synthaseI	7	34.44														
							Naringenin, NADPH oxygen oxidoreductase	9	61.34														
							Flavone 3â€™ monooxygenase	5	5.53														
							Naringenin 3â€™ hydroxylase	26	104.24														
							Eriodictoyl NADPH oxygen oxidoreductase	7	59.79														
					Phenylpropanoids																		
					Rosmarinic acid Pathway1	Anti-cancer, anti-oxidant	4-coumaroyl-4â€™-hydroxyphenyllactate 3-hydroxylase	19	120.52														
							Tyrosine_transaminase	2	0														
					Rosmarinic acid Pathway 2	Anti-cancer, anti-oxidant	Hydroxyphenylpyruvate_reductase	3	45.78														
							tyrosine -3-monooxygenase	0	35.58														
					Eugenol	Anti-infective	Alcohol_o_acetyltransferase	10	4.69														
							Eugenol synthase	5	68.93														
							Isoeugenol synthase	5	68.93														
					Methylchavicol	Anti-fungal, antiparasitic, anti-oxidant	Eugenol-o-methyltransferase	4	132.39														
					Terpenes																		
					Citral	Antiseptic	Geraniol synthase	9	0														
							Geraniol_dehdrogenase	32	46.1														
					Linalool	Anti-infective	Farnesyl-pyrophosphate synthase	6	128.35														
							r-linool_synthase	15	132.39														
							s-linool_synthase	22	32.91														
					Sesquiterpenes																		
					Caryophylene	Anti-inflammatory	Alpha humulene synthase	27	3.92														
							Beta-caryophyllene synthase	17	3.92														
					Selinene	Anti-oxidant	Alpha_selinene_synthase	11	13.31														
							Beta_selinene_synthase	13															
					Taxol	Anti-cancer	Taxadiene synthase	3	9.36														
							Taxadiene 5-alpha hydroxylase	33	3.43														
							Taxadien-5-alpha-ol O-acetyltransferase	6	26.88														
							Taxane 10-beta-hydroxylase	41	3.43														
							Taxoid 14-beta-hydroxylase	22	3.43														
							2-alpha-hydroxytaxane 2-O-benzoyltransferase	3															
							10-deacetylbaccatin III 10-O-acetyltransferase	3															
							3â€™-N-debenzoyl-2â€™-deoxytaxol N-benzoyltransferase	5	4.85														
					Ursolic acid	Anti-cancer	Cytochrome P450 monooxygenase	23	3.43														
					Oleanolic acid	Anti-cancer	Beta-amyrin synthase	7	12.69														
							Cytochrome P450 monooxygenase	23	3.43														
					Sterols																		
					Sitosterol	Anti-cancer	24C_methyltransferase	1	67.25														
																							
																							
																							
PMC4558530 					Compound a	RI b	RI c	Quantity (%)															
					Î±-Thujene	926	924	0.18															
					Î±-Pinene	933	932	1.52															
					Camphene	949	946	1.71															
					Sabinene	971	969	0.36															
					Î²-Pinene	977	974	2.59															
					Myrcene	989	988	1.66															
					Î±-Phellandrene	1003	1002	3.79															
					Î´-3-Carene	1010	1008	0.39															
					Î±-Terpinene	1017	1014	0.83															
					p-Cymene	1021	1020	0.41															
					o-Ocimene	1023	1022	0.24															
					Limonene	1024	1024	3.73															
					Î²-Phellandrene	1027	1025	4.71															
					(E)-Î²-Ocimene	1047	1044	1.3															
					Î³-Terpinene	1057	1054	1.27															
					Linalool	1099	1095	4.94															
					n-Nonanal	1105	1100	0.61															
					trans-Pinocarveol	1140	1139	2.37															
					Camphor	1143	1141	1.7															
					Isoborneol	1156	1155	1.29															
					Pinocarvone	1163	1164	3.86															
					Borneol	1166	1165	1.81															
					Î±-Terpineol	1187	1186	0.29															
					Linalyl acetate	1256	1254	1.29															
					Bornyl acetate	1288	1287	1.37															
					Thymol	1291	1289	2.98															
					Î´-Elemene	1336	1335	0.53															
					Î±-Cubebene	1349	1345	0.68															
					Eugenol	1360	1356	34.7															
					Î±-Ylangene	1372	1373	1.2															
					Î±-Copaene	1377	1374	0.22															
					Î²-Elemene	1390	1389	0.17															
					Î²-Caryophyllene	1420	1417	1.29															
					Î±-Humulene	1455	1452	0.17															
					Î³-Muurolene	1480	1478	0.19															
					Germacrene D	1486	1484	2.89															
					Î²-Selinene	1491	1489	1.23															
					Î±-Muurolene	1506	1500	1.71															
					Î³-Cadinene	1517	1513	1.28															
					Î´-Cadinene	1525	1522	0.52															
					Elemol	1551	1548	0.92															
					Cubenol	1640	1639	1.74															
					Bulnesol	1673	1670	1.39															
