PMCID	Location	Plant	LiteratureActivities	TargetOrganisms	Target species	Activity table	Activity figure	EO composition table
PMC5852288 	Mbanga, Littoral region, Cameroon	Theobroma cacao	Antioxidant				Fig. 2. Changes in antioxidant activity of cocoa beans extracts during processing [DCB = Oven dried cocoa beans; DTRCB 5 min = Dried and traditionally roasted cocoa beans (5 min); 	
PMC5855832 		 Argan oil and Syzygium aromaticum	 antioxidant			Table 2. Phenolics, Flavones/Flavonols, Flavonoids and Total antioxidant capacity (TAC) Content. 		Table 1. Constituents of Syzygium aromaticum Essential Oil and their Relative Percentages of Total Chromatogram Area and Kovats Index. 
PMC5858069 	Zanjan City, Iran	Ziziphora tenuior, Dracocephalum moldavica, Ferula gummosa, and Prangos ferulacea	antimicrobial 	Enterococcus faecalis				
PMC5858457	 Periyar University campus in Tamil Nadu, India	Acacia nilotica	insecticidal		 Anopheles,  Aedes aegypti, Ae. albopictus, Culex quinquefasciatus, 	Table 1. Larvicidal activity of A. nilotica seed extracts and essential oil against the fourth instar larvae of An. stephensi. Table 2. Larvicidal activities of A. nilotica seed extracts and essential oil against the fourth instar larvae of Ae. aegypti. Table 3. Larvicidal activities of A. nilotica seed extracts and essential oil against the fourth instar larvae of Cx. quinquefasciatus. 		Table 5. Chemical constituents GC-MS analysis of A. nilotica seed essential oil. 
PMC5859817	 Go Vap District, Ho Chi Minh City, Vietnam 	Cleistocalyx operculatus	antineuralgic, antioxidant, anti-inflammatory, and antimicrobial					Table 1: Identification of some bioactive compounds in essential oil of Cleistocalyx operculatus leaves.
PMC5867545	Tuder Green Service, Todi, Italy	Cucurbita maxima	 antibacterial, antioxidant, and anti-inflammatory					
PMC5867556	(Corbetta, Milano, Italy	Propolis is a complex material of resinous consistency produced by bees which has a highly 	 Antioxidant,  antiseptic, antifungal, antibacterical, antiviral, anti-inflammatory					Table 1. Molecular composition of the various propolis preparations determined by high-performance liquid chromatography-UV-electrospray ionization mass (HPLC-UV-ESI-MS). 
PMC5871051 	Kashan, Iran	Bunium persicum, Eucalyptus globulus	Antioxidant and Antibacterial 	Listeria		Table 1 - Antimicrobial Resistance of Listeria spp Isolated From Seafood in Kashan, Iran. 		Table 2. The Chemical Components of Bunium persicum, Eucalyptus globulus Essential Oils, and Rose Water.
PMC5871294	 Shiraz University of Medical Sciences, Shiraz, Iran. 	Salvia mirzayanii	Antimicrobial	Escherichia coli,  Pseudomonas aruginosa, Candida albicans, Candida dubliniensis and Candida glabrata 				Table 1 - Chemical Composition of the Essential Oil From Salvia mirzayanii. 
PMC5872285	 Otago Locusts, Dunedin, NZ	Locusta Migratoria						
PMC5872290	San Louis, MI, USA	 Cinnamomum verum, Citrus aurantifolia , Cuminum cyminum , Syzygium aromaticum , Laurus nobilis , Lippia berlandieri , Pimpinella anisum	Oviposition Deterrent and Larvicidal and Pupaecidal		Culex quinquefasciatus	Table 2. LC50 and LC90 (µg/mL) of essential oils on Culex quinquefasciatus at III instar and pupal stages after 24 h of exposure. Table 3. LC50 and LC90 (µg/mL) of the major constituents of the essential oils at III instar and pupal of Culex quinquefasciatus after 24 h of exposure. 		Table 1. Main essential oil components of the seven essential oils investigated for larvicidal toxicity against the filariasis vector Culex quinquefasciatus. 
PMC5874608 	USA	Conradina	Allelopathic, Antibacterial, Antifungal, Cytotoxic, Antileishmanial					Table 2. Chemical composition of essential oils of Conradina species. Figure 2. Chemical structures of common components found in six species of Conradina. 
PMC5876267	CA, USA	O. compactum	Anthelmintic		Anisakis			Table 1. Main essential oil components of the seven essential oils investigated for larvicidal toxicity against the filariasis vector Culex quinquefasciatus. 
PMC5876298	Study over DWH oil spill			Alcanivorax, Alteromonas, Cycloclasticus, Halomonas, Marinobacter, and Pseudoalteromonas				
PMC877547		olive oil	Antineoplastic, anti-cancer,  anti-inflammatory, anti-allergic, anti-atherogenic, anti-thrombotic, and anti-mutagenic					Figure 1 - The chemical composition of olive oil varies depending on the extraction technology that is applied in order to obtain oil form the fruits. 
PMC5878871	 Cercopa Guarapuava, PR, Brazil	Lavandula angustifolia	anticonvulsant, anxiolytic , antioxidant, anticholinesterase , antimicrobial and antifungal 					Table 1: Chemical composition of essential oil of LEO.
PMC5879832	North Sea, Norway				Gadus morhua			
PMC5884000		Nigella sativa	 anti-inflammatory, antioxidant, antihistaminic, immune-modulator, antimicrobial and analgesic				Fig. 1. Nigella sativa fixed oil in management of clinical symptoms of sinusitis.	
PMC5884125	South Oman		anti-bacterial	 Bacillus, Paenibacillus, Brevibacillus, Planococcus, and Flavobacterium				
PMC5885327 	 (Kashan, Iran)	Pelargonium roseum	 antimicrobial, analgesic and anti-inflammatory 	Trichomonas gallinae				Table 3 - Chemical composition of P . roseum essential oil. 
PMC5886561	 Coleâ€™s Plant Centre in Leicester, UK	Wollemia nobilis and Pinus sylvestris. Wollemia nobilis	insect preservation		Drosophila melanogaster			
PMC5896384	Sigma Aldrich, St. Louis, MO, USA	 Sesame and Olive Oils Blended with Linseed Oil 						
PMC5896386 	Northern Iran	Tagetes minuta	antioxidant					Table 1 - Chemical composition of the volatile oil of T.minuta
PMC5897738	PÃ¡l Bobvos (Hungary)	Chamaemelum nobile						Table 2 - Chemical composition of RC essential oil.
PMC5901951	Southern Forest Resources Research Center, Jinju, Republic of Korea		 antioxidant 					
PMC5902937 	Centre of Tunisia	Silybium marianum	antioxidant and anti-arthritic			Table 1 Total policosanol content and antioxidant capacity of milk thistle oil, at three seed maturity stages		Table 2 Policosanol composition of milk thistle oil extracted from mature seeds
PMC5905184								
PMC5905380	USA, CANADA	garlic and asafoetida	Ovicidal and Larvicidal		Culex pipiens Linnaeus and Culex restuans			Table 1 - Chemical composition of garlic and asafoetida essential oils
PMC5905578 		Rosmarinus officinalis	antitumoral, anti-inflammatory, analgesic, neurodegenerative, endocrinal, anti-infective and antioxidant					
PMC5909600 								
PMC5918559	ibeirÃ£o Preto, SP, Brazil	Citrus aurantifolia, Anthemis nobile and Lavandula officinalis	anthelmintic	Haemonchus contortus				Table 1 - Relative percentage (%) of compounds from essential oils determined by CG-MS
PMC5919639	Coconut Research Institute, Chinese Agricultural Academy of Tropical Crops, Wenchang, Hainan, China.	Elaeis guineensis						
PMC5920421 		Allium sativum, Allium vineale	antioxidative, antimicrobial, biopreservatives	Monilinia fructicola, Botrytis cinerea, Escherichia coli				
PMC5920425 	Northern Territory, Australia	Terminalia ferdinandiana	antioxidant , antibacterial , anti-inflammatory , anti-apoptotic, cytoprotective and anticancer					Table 2 - Fatty acid profile of Terminalia ferdinandiana kernels expressed as percentage (±SD) of the total fatty acid profile as determined by FAME GC-MS analysis.
PMc5921405	Darmstadt, Germany	Myrtus communis		Staphylococcus aureus, Staphylococcus epidermidis, Serratia marcescens, and Bacillus subtilis				Table 1 - Chemical compositions of myrtle essential oil
PMC5923693 		Palm oil						Table 1 - Different compositions of palm oil and other fats.
PMC5925846		Origanum vulgare, Cinnamomum zeylanicum, Capsicum annuum	antibiotics					Table 8 - Effects of capsicum oleoresin, carvacrol, cinnamaldehyde and their mixtures added to broilersâ€™ mixed feed on the composition of fatty acids in the breast meat (xâ€‰Â±â€‰SEM) 
PMC5933010 	Biochemistry Department, National Organization for Drug Control and Research (NODCAR), Egypt	Mentha piperita	Antifibrogenic, antioxidant and anti-inflammatory					Table 2 - Chemical composition of MPEO by GC/MS.
PMC5933022 	Germany	Thymus vulgaris	Antifungal, expectorant, antibroncholitic, antispasmodic, Antimicrobial	Staphylococcus aureus,  Pseudomonas aeruginosa,  Salmonella typhimurium,  Escherichia coli,  Klebsiella pneumoniae,  Enterococcus faecalis, and  Candida albicans,  Staphylococcus epidermidis,  Streptococcus sp., and  Pantoea sp., Bacillus spp. , Shigella spp. , Trichophyton spp.,  Microsporum spp. , Aspergillus niger, and  Rhodotorula rubra,   Candida albicans				
PMC5933692	"Raffo Rosso, Monte Cuccio, and Vallone Sagana" (38Â°11â€™07"N 13Â°16â€™05" Eâ€”Sicilyâ€”Palermo).	Glandora rosmarinifolia	antibacterials, antivirals, antifungals, insecticides					Table 1 - Essential oil composition of G. rosmarinifolia. 
PMC5937097	Barbalha, State of CearÃ¡, Brazil	Piper Tuberculatum	Antiparasitic					Table 1 - Chemical composition of the essential oil of Piper tuberculatum Jacq 
PMC5937106 	Iran	Phlomis aucheri	anti inflammatory, antinociceptive , antifibriel , antiallergic , antimalaria  and antimicrobial					Table 1 - Comparative percentage composition of the stem, leaf and flower oils of Phlomis aucheri. Table 2 - Comparative percentage composition of the stem, leaf and root oils of Teucrium polium. Table 3 - Percentage composition of the leaf oil of Ajuga chamaecistus.
PMC5938542 	Santa Cruz Biotechnology (USA).	Pinus Roxburghii	anticancer					Table 1 - Chemical composition of Pinus roxburghii essential oil 
PMC5940754	State of Tocantins, Central Brazil	Siparuna guianensis			Aedes aegypti, Culex quinquefasciatus,  Achroia grisella and Galleria mellonella			Table 1 - Chemical composition of S. guianensis essentials oil samples extracted from plants from different localities of the Gurupi (i.e., Gurupi 1 and Gurupi 2) and Formoso do Araguaia counties (Tocantins State, Central Brazil). 
PMC5945564	ParÃ¡ state, Brazil.	Psidium guineense	anti-inflammatory and antibacterial					Table 2 - Yield and volatile composition of twelve essential oil samples of P. guineense
PMC5946457								
PMC5947909 	National Institute of Lasers and Optronics Islamabad		antioxidant, anticarcinogenic, antidiabetic, antiatherogenic, and antiadipogenic					
PMC5952513	Ailao Mountains, Yunnan Province, China	Zanthoxylum acanthopodium	Larvicidal		Anopheles anthropophagus and Anopheles sinensis			Table 1 - Chemical composition of essential oil of Zanthoxylum acanthopodium.
PMC5954905 		Citrus aurantium	anticancer, antianxiety, antiobesity, antibacterial, antioxidant, pesticidal, and antidiabetic					
