"Species";"Kingdom";"Phylum";"Class";"Order";"Family";"System";
"Corvus splendens";"Animalia";"Chordata";"Aves";"Passeriformes";"Corvidae";"Terrestrial";
"Cotinus coggygria";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Anacardiaceae";"Terrestrial";
"Crassostrea gigas";"Animalia";"Mollusca";"Bivalvia";"Ostreoida";"Ostreidae";"Marine";
"Crassula helmsii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Crassulaceae";"Terrestrial";
"Crepidula fornicata";"Animalia";"Mollusca";"Gastropoda";"Neotaenioglossa";"Calyptraeidae";"Marine";
"Cricetomys gambianus";"Animalia";"Chordata";"Mammalia";"Rodentia";"Muridae";"Terrestrial";
"Crocidura suaveolens";"Animalia";"Chordata";"Mammalia";"Insectivora";"Soricidae";"Terrestrial";
"Cronartium ribicola";"Fungi";"Basidiomycota";"Teliomycetes";"Uredinales";"Cronartiaceae";"Terrestrial";
"Cryphonectria parasitica";"Fungi";"Ascomycota";"Sordariomycetes";"Diaporthales";"Valsaceae";"Terrestrial";
"Cryptococcus fagisuga";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Eriococcidae";"Terrestrial";
"Cryptostegia grandiflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cryptostegia madagascariensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Ctenopharyngodon idella";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Ctenosaura similis";"Animalia";"Chordata";"Reptilia";"Squamata";"Iguanidae";"Terrestrial";
"Cupaniopsis anacardioides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Sapindaceae";"Terrestrial";
"Cuphea ignea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Lythraceae";"Terrestrial";
"Cyathea cooperi";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"Cyatheaceae";"Terrestrial";
"Cygnus olor";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Freshwater_terrestrial";
"Cylindroiulus latestriatus";"Animalia";"Arthropoda";"Diplopoda";"Julida";"Julidae";"Terrestrial";
"Cynanchum rossicum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Asclepiadaceae";"Terrestrial";
"Cynara cardunculus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Cynictis penicillata";"Animalia";"Chordata";"Mammalia";"Carnivora";"Herpestidae";"Terrestrial";
"Cynodon dactylon";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Cynoglossum officinale";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Boraginaceae";"Terrestrial";
"Cyperus rotundus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Cyperaceae";"Terrestrial";
"Cyprinella lutrensis";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Cyprinus carpio";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Cytisus scoparius";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Cytisus striatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Dactylis glomerata";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Dalbergia sissoo";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Dama dama";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Cervidae";"Terrestrial";
"Daphnia lumholtzi";"Animalia";"Arthropoda";"Branchiopoda";"Diplostraca";"";"Terrestrial";
"Delairea odorata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Dendrobaena octaedra";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Terrestrial";
"Dendroctonus valens";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Dendrodrilus rubidus";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Terrestrial";
"Dendrolimus sibiricus";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Lasiocampidae";"Terrestrial";
"Deroceras panormitanum";"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Spiraxidae";"Terrestrial";
"Diaphorina citri";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Psyllidae";"Terrestrial";
"Dichrostachys cinerea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Didemnum spp.";"Animalia";"Chordata";"Ascidiacea";"Enterogona";"Didemnidae";"Marine";
"Didymosphenia geminata";"Plantae";"Bacillariophyta";"Bacillariophyceae";"Cymbellales";"Gomphonemataceae";"Freshwater";
"Dioscorea bulbifera";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Dioscoreaceae";"Terrestrial";
"Dioscorea oppositifolia";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Dioscoreaceae";"Terrestrial";
"Dipogon lignosus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Discoglossus pictus";"Animalia";"Chordata";"Amphibia";"Anura";"Alytidae";"Freshwater_terrestrial";
"Discula destructiva";"Fungi";"Ascomycota";"Sordariomycetes";"Diaporthales";"Gnomoniaceae";"Terrestrial";
"Dreissena bugensis";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Dreissenidae";"Freshwater";
"Dreissena polymorpha";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Dreissenidae";"Marine";
"Duchesnea indica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Duttaphrynus melanostictus";"Animalia";"Chordata";"Amphibia";"Anura";"Bufonidae";"Freshwater_terrestrial";
"Dysdera crocata";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Dysderidae";"Terrestrial";
"Dyssodia tenuiloba";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Egeria densa";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Eichhornia crassipes";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Pontederiaceae";"Terrestrial";
"Elaeagnus angustifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Elaeagnaceae";"Terrestrial";
"Elaeagnus pungens";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Elaeagnaceae";"Terrestrial";
"Elaeagnus umbellata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Elaeagnaceae";"Terrestrial";
"Elaeis guineensis";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Elaphe guttata";"Animalia";"Chordata";"Reptilia";"Squamata";"Colubridae";"Terrestrial";
"Elephantopus mollis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Elettaria cardamomum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Eleutherodactylus coqui";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Eleutherodactylus johnstonei";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Eleutherodactylus planirostris";"Animalia";"Chordata";"Amphibia";"Anura";"Leptodactylidae";"Freshwater_terrestrial";
"Elminius modestus";"Animalia";"Arthropoda";"Maxillopoda";"Sessilia";"Balanidae";"Marine_terrestrial";
"Elodea canadensis";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Epipremnum pinnatum";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Araceae";"Terrestrial";
"Equus asinus";"Animalia";"Chordata";"Mammalia";"Perissodactyla";"Equidae";"Terrestrial";
"Equus caballus";"Animalia";"Chordata";"Mammalia";"Perissodactyla";"Equidae";"Terrestrial";
"Erigeron karvinskianus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Erinaceus europaeus";"Animalia";"Chordata";"Mammalia";"Lipotyphla";"Erinaceidae";"Terrestrial";
"Eriobotrya japonica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Eriocheir sinensis";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Grapsidae";"Freshwater";
"Erodium cicutarium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Geraniaceae";"Terrestrial";
"Erythrocebus patas";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Esox lucius";"Animalia";"Chordata";"Actinopterygii";"Esociformes";"Esocidae";"Freshwater";
"Estrilda astrild";"Animalia";"Chordata";"Aves";"Passeriformes";"Estrildidae";"Terrestrial";
"Eugenia uniflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Euglandina rosea";"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Spiraxidae";"Terrestrial";
"Euonymus alata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Celastrales";"Celastraceae";"Terrestrial";
"Euonymus fortunei";"Plantae";"Magnoliophyta";"Magnoliopsida";"Celastrales";"Celastraceae";"Terrestrial";
"Eupatorium cannabinum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Euphorbia esula";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Euryops multifidus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Falcataria moluccana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Felis catus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Felidae";"Terrestrial";
"Ficopomatus enigmaticus";"Animalia";"Annelida";"Polychaeta";"Canalipalpata";"Serpulidae";"Marine";
"Ficus microcarpus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Ficus rubiginosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Urticales";"Moraceae";"Terrestrial";
"Flacourtia indica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Violales";"Flacourtiaceae";"Terrestrial";
"Flemingia strobilifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Foot-and-mouth disease virus (FMDV)";"Virus";"";"";"";"Picornaviridae";"Terrestrial";
"Fragaria vesca";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Rosaceae";"Terrestrial";
"Frangula alnus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rhamnales";"Rhamnaceae";"Terrestrial";
"Fraxinus floribunda";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Fuchsia boliviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Terrestrial";
"Fuchsia magellanica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Terrestrial";
"Funtumia elastica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Gentianales";"Apocynaceae";"Terrestrial";
"Furcraea foetida";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Agavaceae";"Terrestrial";
"Gallus gallus";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Terrestrial";
"Gallus varius";"Animalia";"Chordata";"Aves";"Galliformes";"Phasianidae";"Terrestrial";
"Gambusia affinis";"Animalia";"Chordata";"Actinopterygii";"Cyprinodontiformes";"Poeciliidae";"Freshwater";
"Gambusia holbrooki";"Animalia";"Chordata";"Actinopterygii";"Cyprinodontiformes";"Poeciliidae";"Freshwater";
"Gastrophryne carolinensis";"Animalia";"Chordata";"Amphibia";"Anura";"	Microhylidae";"Freshwater_terrestrial";
"Gemma gemma";"Animalia";"Mollusca";"Bivalvia";"Veneroida";"Veneridae";"Marine";
"Genetta genetta";"Animalia";"Chordata";"Mammalia";"Carnivora";"Viverridae";"Terrestrial";
"Genista monspessulana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Geukensia demissa";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Marine";
"Glyceria maxima";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Glyptoperichthys gibbiceps";"Animalia";"Chordata";"Actinopterygii";"Siluriformes";"Loricariidae";"Freshwater";
"Gonipterus scutellatus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Gracilaria gracilis";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Gracilariaceae";"Marine";
"Gracilaria salicornia";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Gracilariaceae";"Marine";
"Gracilaria vermiculophylla";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Gracilariaceae";"Marine";
"Grevillea robusta";"Plantae";"Magnoliophyta";"Magnoliopsida";"Proteales";"Proteaceae";"Terrestrial";
"Gunnera manicata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Haloragales";"Gunneraceae";"Terrestrial";
"Gunnera tinctoria";"Plantae";"Magnoliophyta";"Magnoliopsida";"Haloragales";"Gunneraceae";"Terrestrial";
"Gymnocephalus cernuus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Percidae";"Freshwater";
"Gymnocoronis spilanthoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Gymnodinium catenatum";"Plantae";"Pyrrophycophyta";"Dinophyceae";"Gymnodiniales";"Gymnodiniaceae";"Marine";
"Gymnorhina tibicen";"Animalia";"Chordata";"Aves";"Passeriformes";"Cracticidae";"Terrestrial";
"Haematoxylum campechianum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Halophila stipulacea";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Harmonia axyridis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Coccinellidae";"Terrestrial";
"Hedera helix";"Plantae";"Phaeophycophyta";"Phaeophyceae";"Laminariales";"Alariaceae";"Terrestrial";
"Hedychium coccineum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium coronarium";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium flavescens";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Hedychium gardnerianum";"Plantae";"Magnoliophyta";"Liliopsida";"Zingiberales";"Zingiberaceae";"Terrestrial";
"Heliotropium curassavicum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Boraginaceae";"Terrestrial";
"Helix aspersa";"Animalia";"Mollusca";"Gastropoda";"Stylommatophora";"Helicidae";"Terrestrial";
"Hemiberlesia pitysophila";"Animalia";"Arthropoda";"Insecta";"Homoptera";"Diaspidae";"Terrestrial";
"Hemidactylus frenatus";"Animalia";"Chordata";"Reptilia";"Squamata";"Gekkonidae";"Terrestrial";
"Hemidactylus mabouia";"Animalia";"Chordata";"Reptilia";"Squamata";"Gekkonidae";"Terrestrial";
"Hemigrapsus sanguineus";"Animalia";"Arthropoda";"Malacostraca";"Decapoda";"Varunidae";"Marine_terrestrial";
"Hemitragus jemlahicus";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Bovidae";"Terrestrial";
"Heracleum mantegazzianum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Apiales";"Apiaceae";"Freshwater";
"Herpestes javanicus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Herpestidae";"Terrestrial";
"Herpestes pulverulentus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Herpestidae";"Terrestrial";
"Heteropogon contortus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Hieracium aurantiacum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Hieracium floribundum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Hieracium pilosella";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Hiptage benghalensis";"Plantae";"Magnoliophyta";"Magnoliopsida";"Polygalales";"Malpighiaceae";"Terrestrial";
"Holcus lanatus";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Homalodisca vitripennis";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Cicdellidae";"Terrestrial";
"Hoplochelus marginalis";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Melolonthidae";"Terrestrial";
"Houttuynia cordata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Piperales";"Saururaceae";"Terrestrial";
"Hydrilla verticillata";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Hydrocharis morsus-ranae";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Terrestrial";
"Hygrophila polysperma";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Acanthaceae";"Terrestrial";
"Hylastes ater";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Curculionidae";"Terrestrial";
"Hypericum perforatum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Theales";"Clusiaceae";"Terrestrial";
"Hyphantria cunea";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Arctiidae";"Terrestrial";
"Hypnea musciformis";"Plantae";"Rhodophycota";"Rhodophyceae";"Gigartinales";"Hypneaceae";"Marine";
"Hypochaeris radicata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Hypogastura purpurescens";"Animalia";"Arthropoda";"Insecta";"Collembola";"Hypogastura";"Terrestrial";
"Hypogastura viatica";"Animalia";"Arthropoda";"Insecta";"Collembola";"Hypogastura";"Terrestrial";
"Hypophthalmichthys molitrix";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Hypophthalmichthys nobilis";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Icerya purchasi";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Margarodidae";"Terrestrial";
"Iguana iguana";"Animalia";"Chordata";"Reptilia";"Squamata";"Iguanidae";"Terrestrial";
"Ilyanassa obsoleta";"Animalia";"Mollusca";"Gastropoda";"Neogastropoda";"Nassariidae";"Marine";
"Impatiens glandulifera";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Balsaminaceae";"Terrestrial";
"Impatiens walleriana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Geraniales";"Balsaminaceae";"Terrestrial";
"Imperata cylindrica";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ipomoea aquatica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Ipomoea cairica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
"Ips typographus";"Animalia";"Arthropoda";"Insecta";"Coleoptera";"Scolytidae";"Terrestrial";
"Iris pseudacorus";"Plantae";"Magnoliophyta";"Liliopsida";"Liliales";"Iridaceae";"Terrestrial";
"Ischaemum polystachyum";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Ischaemum timorense";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Jatropha gossypiifolia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Euphorbiales";"Euphorbiaceae";"Terrestrial";
"Juncus tenuis";"Plantae";"Magnoliophyta";"Liliopsida";"Juncales";"Juncaceae";"Terrestrial";
"Juniperus bermudiana";"Plantae";"Coniferophyta";"Coniferopsida";"Coniferales";"Cupressaceae";"Terrestrial";
"Kalanchoe pinnata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Rosales";"Crassulaceae";"Terrestrial";
"Kappaphycus spp.";"Plantae";"Rhodophyta";"Florideophiceae";"Gigartinales";"Solieriaceae";"Marine";
"Kunzea ericoides";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Lachnellula willkommii";"Fungi";"Ascomycota";"Leotiomycetes";"Helotiales";"Hyaloscyphaceae";"Terrestrial";
"Lagarosiphon major";"Plantae";"Magnoliophyta";"Liliopsida";"Hydrocharitales";"Hydrocharitaceae";"Freshwater";
"Lama guanicoe";"Animalia";"Chordata";"Mammalia";"Artiodactyla";"Camelidae";"Terrestrial";
"Landoltia punctata";"Plantae";"Magnoliophyta";"Liliopsida";"Arales";"Lemnaceae";"Terrestrial";
"Lantana camara";"Plantae";"Magnoliophyta";"Magnoliopsida";"Lamiales";"Verbenaceae";"Terrestrial";
"Lasius neglectus";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Lates niloticus";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Centropomidae";"Freshwater";
"Launaea intybacea";"Plantae";"Magnoliophyta";"Magnoliopsida";"Asterales";"Asteraceae";"Terrestrial";
"Leiothrix lutea";"Animalia";"Chordata";"Aves";"Passeriformes";"Sylviidae";"Terrestrial";
"Lepidium latifolium";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Lepidium virginicum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Capparales";"Brassicaceae";"Terrestrial";
"Lepus americanus";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Terrestrial";
"Lepus europaeus";"Animalia";"Chordata";"Mammalia";"Lagomorpha";"Leporidae";"Terrestrial";
"Lespedeza cuneata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Leucaena leucocephala";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Leuciscus idus";"Animalia";"Chordata";"Actinopterygii";"Cypriniformes";"Cyprinidae";"Freshwater";
"Ligustrum lucidum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Ligustrum robustum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Ligustrum sinense";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Ligustrum vulgare";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Oleaceae";"Terrestrial";
"Limnocharis flava";"Plantae";"Magnoliophyta";"Liliopsida";"Alismatales";"Limnocharitaceae";"Terrestrial";
"Limnoperna fortunei";"Animalia";"Mollusca";"Bivalvia";"Mytiloida";"Mytilidae";"Freshwater";
"Limnophila sessiliflora";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Linaria vulgaris";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Scrophulariaceae";"Terrestrial";
"Linepithema humile";"Animalia";"Arthropoda";"Insecta";"Hymenoptera";"Formicidae";"Terrestrial";
"Linyphia triangularis";"Animalia";"Arthropoda";"Arachnida";"Araneae";"Linyphiidae";"Terrestrial";
"Lithobates catesbeianus";"Animalia";"Chordata";"Amphibia";"Anura";"Ranidae";"Freshwater_terrestrial";
"Litoria aurea";"Animalia";"Chordata";"Amphibia";"Anura";"Hylidae";"Freshwater_terrestrial";
"Litsea glutinosa";"Plantae";"Magnoliophyta";"Magnoliopsida";"Laurales";"Lauraceae";"Terrestrial";
"Littorina littorea";"Animalia";"Mollusca";"Gastropoda";"Neotaenioglossa";"Littorinidae";"Marine";
"Livistona chinensis";"Plantae";"Magnoliophyta";"Liliopsida";"Arecales";"Arecaceae";"Terrestrial";
"Lonicera japonica";"Plantae";"Magnoliophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Terrestrial";
"Lonicera maackii";"Plantae";"Magnoliophyta";"Magnoliopsida";"Dipsacales";"Caprifoliaceae";"Terrestrial";
"Lotus corniculatus";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Ludwigia peruviana";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Onagraceae";"Terrestrial";
"Lumbricus rubellus";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Terrestrial";
"Lumbricus terrestris";"Animalia";"Annelida";"Clitellata";"Haplotaxida";"Lumbricidae";"Terrestrial";
"Lutjanus kasmira";"Animalia";"Chordata";"Actinopterygii";"Perciformes";"Lutjanidae";"Marine";
"Luzula campestris";"Plantae";"Magnoliophyta";"Liliopsida";"Juncales";"Juncaceae";"Terrestrial";
"Lycalopex griseus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Canidae";"Terrestrial";
"Lygodium japonicum";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"Lygodiaceae";"Terrestrial";
"Lygodium microphyllum";"Plantae";"Pteridophyta";"Filicopsida";"Polypodiales";"Lygodiaceae";"Terrestrial";
"Lymantria dispar";"Animalia";"Arthropoda";"Insecta";"Lepidoptera";"Lymantriidae";"Terrestrial";
"Lythrum salicaria";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Lythraceae";"Terrestrial";
"Macaca fascicularis";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Macaca mulatta";"Animalia";"Chordata";"Mammalia";"Primates";"Cercopithecidae";"Terrestrial";
"Macfadyena unguis-cati";"Plantae";"Magnoliophyta";"Magnoliopsida";"Scrophulariales";"Bignoniaceae";"Terrestrial";
"Maconellicoccus hirsutus";"Animalia";"Arthropoda";"Insecta";"Hemiptera";"Pseudococcidae";"Terrestrial";
"Martes melampus";"Animalia";"Chordata";"Mammalia";"Carnivora";"Mustelidae";"Terrestrial";
"Melaleuca quinquenervia";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Myrtaceae";"Terrestrial";
"Melastoma candidum";"Plantae";"Magnoliophyta";"Magnoliopsida";"Myrtales";"Melastomataceae";"Terrestrial";
"Melia azedarach";"Plantae";"Magnoliophyta";"Magnoliopsida";"Sapindales";"Meliaceae";"Terrestrial";
"Melilotus alba";"Plantae";"Magnoliophyta";"Magnoliopsida";"Fabales";"Fabaceae";"Terrestrial";
"Melinis minutiflora";"Plantae";"Magnoliophyta";"Liliopsida";"Cyperales";"Poaceae";"Terrestrial";
"Merremia peltata";"Plantae";"Magnoliophyta";"Magnoliopsida";"Solanales";"Convolvulaceae";"Terrestrial";
